key,value,date
POS,4,07/01/2009
POS,8,08/01/2009
POS,7,09/01/2009
POS,2,10/01/2009
POS,5,11/01/2009
POS,3,12/01/2009
POS,3,01/01/2010
POS,3,02/01/2010
POS,6,03/01/2010
POS,2,04/01/2010
POS,6,05/01/2010
POS,3,06/01/2010
POS,10,07/01/2010
POS,5,08/01/2010
POS,1,09/01/2010
POS,4,10/01/2010
POS,3,11/01/2010
POS,7,12/01/2010
POS,13,01/01/2011
POS,4,02/01/2011
POS,6,03/01/2011
POS,3,04/01/2011
POS,7,05/01/2011
POS,13,06/01/2011
POS,7,07/01/2011
POS,10,08/01/2011
POS,10,09/01/2011
POS,13,10/01/2011
POS,13,11/01/2011
POS,12,12/01/2011
POS,14,01/01/2012
POS,15,02/01/2012
POS,12,03/01/2012
POS,8,04/01/2012
POS,15,05/01/2012
POS,4,06/01/2012
POS,8,07/01/2012
POS,18,08/01/2012
POS,19,09/01/2012
POS,5,10/01/2012
POS,16,11/01/2012
POS,5,12/01/2012
NEG,2,07/01/2009
NEG,6,08/01/2009
NEG,3,09/01/2009
NEG,2,10/01/2009
NEG,1,11/01/2009
NEG,5,12/01/2009
NEG,3,01/01/2010
NEG,3,02/01/2010
NEG,0,03/01/2010
NEG,2,04/01/2010
NEG,3,05/01/2010
NEG,4,06/01/2010
NEG,3,07/01/2010
NEG,1,08/01/2010
NEG,4,09/01/2010
NEG,2,10/01/2010
NEG,5,11/01/2010
NEG,2,12/01/2010
NEG,9,01/01/2011
NEG,2,02/01/2011
NEG,6,03/01/2011
NEG,1,04/01/2011
NEG,2,05/01/2011
NEG,4,06/01/2011
NEG,3,07/01/2011
NEG,6,08/01/2011
NEG,4,09/01/2011
NEG,3,10/01/2011
NEG,7,11/01/2011
NEG,2,12/01/2011
NEG,6,01/01/2012
NEG,1,02/01/2012
NEG,6,03/01/2012
NEG,1,04/01/2012
NEG,5,05/01/2012
NEG,2,06/01/2012
NEG,1,07/01/2012
NEG,4,08/01/2012
NEG,5,09/01/2012
NEG,5,10/01/2012
NEG,4,11/01/2012
NEG,1,12/01/2012
