key,value,date
POS,2,12/01/2010
POS,7,01/01/2011
POS,2,02/01/2011
POS,3,03/01/2011
POS,7,04/01/2011
POS,7,05/01/2011
POS,12,06/01/2011
POS,6,07/01/2011
POS,15,08/01/2011
POS,10,09/01/2011
POS,10,10/01/2011
POS,13,11/01/2011
POS,10,12/01/2011
POS,9,01/01/2012
POS,8,02/01/2012
POS,9,03/01/2012
POS,9,04/01/2012
POS,9,05/01/2012
POS,8,06/01/2012
POS,25,07/01/2012
POS,35,08/01/2012
POS,16,09/01/2012
POS,22,10/01/2012
POS,8,11/01/2012
POS,4,12/01/2012
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,0,03/01/2011
NEG,7,04/01/2011
NEG,7,05/01/2011
NEG,2,06/01/2011
NEG,4,07/01/2011
NEG,6,08/01/2011
NEG,6,09/01/2011
NEG,4,10/01/2011
NEG,2,11/01/2011
NEG,7,12/01/2011
NEG,3,01/01/2012
NEG,1,02/01/2012
NEG,7,03/01/2012
NEG,6,04/01/2012
NEG,4,05/01/2012
NEG,3,06/01/2012
NEG,8,07/01/2012
NEG,3,08/01/2012
NEG,2,09/01/2012
NEG,8,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
