key,value,date
POS,1,06/01/2002
POS,1,07/01/2002
POS,1,11/01/2002
POS,2,12/01/2002
POS,1,01/01/2003
POS,1,02/01/2003
POS,2,03/01/2003
POS,1,04/01/2003
POS,2,06/01/2003
POS,2,07/01/2003
POS,0,08/01/2003
POS,1,09/01/2003
POS,3,10/01/2003
POS,6,11/01/2003
POS,2,12/01/2003
POS,6,01/01/2004
POS,0,02/01/2004
POS,3,03/01/2004
POS,3,04/01/2004
POS,5,05/01/2004
POS,8,06/01/2004
POS,5,07/01/2004
POS,5,08/01/2004
POS,5,09/01/2004
POS,5,10/01/2004
POS,6,11/01/2004
POS,9,12/01/2004
POS,3,01/01/2005
POS,6,02/01/2005
POS,6,03/01/2005
POS,5,04/01/2005
POS,10,05/01/2005
POS,9,06/01/2005
POS,3,07/01/2005
POS,7,08/01/2005
POS,5,09/01/2005
POS,8,10/01/2005
POS,9,11/01/2005
POS,4,12/01/2005
POS,10,01/01/2006
POS,7,02/01/2006
POS,5,03/01/2006
POS,13,04/01/2006
POS,10,05/01/2006
POS,11,06/01/2006
POS,4,07/01/2006
POS,7,08/01/2006
POS,4,09/01/2006
POS,12,10/01/2006
POS,6,11/01/2006
POS,9,12/01/2006
POS,9,01/01/2007
POS,9,02/01/2007
POS,5,03/01/2007
POS,12,04/01/2007
POS,9,05/01/2007
POS,8,06/01/2007
POS,7,07/01/2007
POS,8,08/01/2007
POS,15,09/01/2007
POS,20,10/01/2007
POS,5,11/01/2007
POS,13,12/01/2007
POS,12,01/01/2008
POS,10,02/01/2008
POS,12,03/01/2008
POS,10,04/01/2008
POS,9,05/01/2008
POS,3,06/01/2008
POS,14,07/01/2008
POS,19,08/01/2008
POS,7,09/01/2008
POS,11,10/01/2008
POS,10,11/01/2008
POS,14,12/01/2008
POS,7,01/01/2009
POS,7,02/01/2009
POS,9,03/01/2009
POS,9,04/01/2009
POS,4,05/01/2009
POS,7,06/01/2009
POS,9,07/01/2009
POS,15,08/01/2009
POS,14,09/01/2009
POS,28,10/01/2009
POS,16,11/01/2009
POS,12,12/01/2009
POS,19,01/01/2010
POS,7,02/01/2010
POS,31,03/01/2010
POS,33,04/01/2010
POS,40,05/01/2010
POS,35,06/01/2010
POS,23,07/01/2010
POS,20,08/01/2010
POS,27,09/01/2010
POS,37,10/01/2010
POS,23,11/01/2010
POS,21,12/01/2010
POS,21,01/01/2011
POS,17,02/01/2011
POS,20,03/01/2011
POS,28,04/01/2011
POS,31,05/01/2011
POS,28,06/01/2011
POS,38,07/01/2011
POS,36,08/01/2011
POS,43,09/01/2011
POS,34,10/01/2011
POS,40,11/01/2011
POS,58,12/01/2011
POS,61,01/01/2012
POS,53,02/01/2012
POS,63,03/01/2012
POS,64,04/01/2012
POS,36,05/01/2012
POS,42,06/01/2012
POS,56,07/01/2012
POS,55,08/01/2012
POS,47,09/01/2012
POS,59,10/01/2012
POS,52,11/01/2012
POS,37,12/01/2012
NEG,0,06/01/2002
NEG,0,07/01/2002
NEG,0,11/01/2002
NEG,0,12/01/2002
NEG,0,01/01/2003
NEG,0,02/01/2003
NEG,1,03/01/2003
NEG,0,04/01/2003
NEG,0,06/01/2003
NEG,1,07/01/2003
NEG,1,08/01/2003
NEG,0,09/01/2003
NEG,1,10/01/2003
NEG,1,11/01/2003
NEG,1,12/01/2003
NEG,0,01/01/2004
NEG,2,02/01/2004
NEG,0,03/01/2004
NEG,0,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,1,07/01/2004
NEG,3,08/01/2004
NEG,1,09/01/2004
NEG,1,10/01/2004
NEG,3,11/01/2004
NEG,2,12/01/2004
NEG,1,01/01/2005
NEG,2,02/01/2005
NEG,2,03/01/2005
NEG,1,04/01/2005
NEG,1,05/01/2005
NEG,1,06/01/2005
NEG,5,07/01/2005
NEG,3,08/01/2005
NEG,3,09/01/2005
NEG,6,10/01/2005
NEG,4,11/01/2005
NEG,2,12/01/2005
NEG,3,01/01/2006
NEG,0,02/01/2006
NEG,3,03/01/2006
NEG,1,04/01/2006
NEG,3,05/01/2006
NEG,1,06/01/2006
NEG,2,07/01/2006
NEG,5,08/01/2006
NEG,2,09/01/2006
NEG,4,10/01/2006
NEG,1,11/01/2006
NEG,1,12/01/2006
NEG,3,01/01/2007
NEG,4,02/01/2007
NEG,2,03/01/2007
NEG,1,04/01/2007
NEG,1,05/01/2007
NEG,3,06/01/2007
NEG,7,07/01/2007
NEG,3,08/01/2007
NEG,7,09/01/2007
NEG,6,10/01/2007
NEG,4,11/01/2007
NEG,4,12/01/2007
NEG,4,01/01/2008
NEG,4,02/01/2008
NEG,4,03/01/2008
NEG,5,04/01/2008
NEG,6,05/01/2008
NEG,5,06/01/2008
NEG,11,07/01/2008
NEG,6,08/01/2008
NEG,9,09/01/2008
NEG,10,10/01/2008
NEG,10,11/01/2008
NEG,3,12/01/2008
NEG,2,01/01/2009
NEG,2,02/01/2009
NEG,6,03/01/2009
NEG,1,04/01/2009
NEG,4,05/01/2009
NEG,5,06/01/2009
NEG,2,07/01/2009
NEG,7,08/01/2009
NEG,12,09/01/2009
NEG,17,10/01/2009
NEG,11,11/01/2009
NEG,7,12/01/2009
NEG,13,01/01/2010
NEG,9,02/01/2010
NEG,5,03/01/2010
NEG,11,04/01/2010
NEG,17,05/01/2010
NEG,11,06/01/2010
NEG,10,07/01/2010
NEG,16,08/01/2010
NEG,21,09/01/2010
NEG,19,10/01/2010
NEG,9,11/01/2010
NEG,10,12/01/2010
NEG,25,01/01/2011
NEG,18,02/01/2011
NEG,29,03/01/2011
NEG,33,04/01/2011
NEG,32,05/01/2011
NEG,31,06/01/2011
NEG,31,07/01/2011
NEG,35,08/01/2011
NEG,31,09/01/2011
NEG,28,10/01/2011
NEG,29,11/01/2011
NEG,44,12/01/2011
NEG,24,01/01/2012
NEG,18,02/01/2012
NEG,25,03/01/2012
NEG,34,04/01/2012
NEG,20,05/01/2012
NEG,20,06/01/2012
NEG,20,07/01/2012
NEG,18,08/01/2012
NEG,17,09/01/2012
NEG,30,10/01/2012
NEG,21,11/01/2012
NEG,14,12/01/2012
