key,value,date
POS,7,01/01/2011
POS,23,02/01/2011
POS,20,03/01/2011
POS,26,04/01/2011
POS,28,05/01/2011
POS,29,06/01/2011
POS,29,07/01/2011
POS,35,08/01/2011
POS,21,09/01/2011
POS,20,10/01/2011
POS,31,11/01/2011
POS,33,12/01/2011
POS,36,01/01/2012
POS,27,02/01/2012
POS,28,03/01/2012
POS,37,04/01/2012
POS,23,05/01/2012
POS,35,06/01/2012
POS,40,07/01/2012
POS,28,08/01/2012
POS,21,09/01/2012
POS,25,10/01/2012
POS,19,11/01/2012
POS,13,12/01/2012
NEG,1,01/01/2011
NEG,10,02/01/2011
NEG,9,03/01/2011
NEG,25,04/01/2011
NEG,11,05/01/2011
NEG,19,06/01/2011
NEG,15,07/01/2011
NEG,20,08/01/2011
NEG,15,09/01/2011
NEG,13,10/01/2011
NEG,14,11/01/2011
NEG,7,12/01/2011
NEG,15,01/01/2012
NEG,10,02/01/2012
NEG,7,03/01/2012
NEG,11,04/01/2012
NEG,14,05/01/2012
NEG,14,06/01/2012
NEG,15,07/01/2012
NEG,18,08/01/2012
NEG,9,09/01/2012
NEG,9,10/01/2012
NEG,12,11/01/2012
NEG,12,12/01/2012
