key,value,date
POS,7,05/01/2010
POS,33,06/01/2010
POS,19,07/01/2010
POS,20,08/01/2010
POS,8,09/01/2010
POS,13,10/01/2010
POS,28,11/01/2010
POS,37,12/01/2010
POS,24,01/01/2011
POS,17,02/01/2011
POS,14,03/01/2011
POS,22,04/01/2011
POS,21,05/01/2011
POS,35,06/01/2011
POS,38,07/01/2011
POS,45,08/01/2011
POS,44,09/01/2011
POS,22,10/01/2011
POS,40,11/01/2011
POS,30,12/01/2011
POS,38,01/01/2012
POS,21,02/01/2012
POS,27,03/01/2012
POS,40,04/01/2012
POS,46,05/01/2012
POS,37,06/01/2012
POS,41,07/01/2012
POS,56,08/01/2012
POS,52,09/01/2012
POS,42,10/01/2012
POS,31,11/01/2012
POS,21,12/01/2012
NEG,1,05/01/2010
NEG,1,06/01/2010
NEG,2,07/01/2010
NEG,5,08/01/2010
NEG,2,09/01/2010
NEG,1,10/01/2010
NEG,1,11/01/2010
NEG,3,12/01/2010
NEG,4,01/01/2011
NEG,3,02/01/2011
NEG,1,03/01/2011
NEG,3,04/01/2011
NEG,6,05/01/2011
NEG,4,06/01/2011
NEG,9,07/01/2011
NEG,7,08/01/2011
NEG,3,09/01/2011
NEG,2,10/01/2011
NEG,6,11/01/2011
NEG,4,12/01/2011
NEG,9,01/01/2012
NEG,2,02/01/2012
NEG,3,03/01/2012
NEG,6,04/01/2012
NEG,8,05/01/2012
NEG,5,06/01/2012
NEG,5,07/01/2012
NEG,6,08/01/2012
NEG,5,09/01/2012
NEG,3,10/01/2012
NEG,8,11/01/2012
NEG,0,12/01/2012
