label,count,month
POS,4,12/01/2010
POS,2,01/01/2011
POS,4,02/01/2011
POS,1,03/01/2011
POS,4,04/01/2011
POS,4,05/01/2011
POS,7,06/01/2011
POS,2,07/01/2011
POS,10,08/01/2011
POS,7,09/01/2011
POS,3,10/01/2011
POS,5,11/01/2011
POS,7,12/01/2011
POS,15,01/01/2012
POS,15,02/01/2012
POS,7,03/01/2012
POS,4,04/01/2012
POS,8,05/01/2012
POS,11,06/01/2012
POS,7,07/01/2012
POS,11,08/01/2012
POS,5,09/01/2012
POS,2,10/01/2012
POS,3,11/01/2012
POS,3,12/01/2012
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,0,06/01/2011
NEG,0,07/01/2011
NEG,1,08/01/2011
NEG,3,09/01/2011
NEG,0,10/01/2011
NEG,3,11/01/2011
NEG,0,12/01/2011
NEG,0,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,3,04/01/2012
NEG,0,05/01/2012
NEG,2,06/01/2012
NEG,0,07/01/2012
NEG,1,08/01/2012
NEG,1,09/01/2012
NEG,1,10/01/2012
NEG,3,11/01/2012
NEG,1,12/01/2012
