label,count,month
POS,1,11/01/2009
POS,2,01/01/2010
POS,2,02/01/2010
POS,7,04/01/2010
POS,3,05/01/2010
POS,3,06/01/2010
POS,2,07/01/2010
POS,2,08/01/2010
POS,2,09/01/2010
POS,5,10/01/2010
POS,1,11/01/2010
POS,4,12/01/2010
POS,2,01/01/2011
POS,4,02/01/2011
POS,4,03/01/2011
POS,5,04/01/2011
POS,3,05/01/2011
POS,3,06/01/2011
POS,1,07/01/2011
POS,4,08/01/2011
POS,7,09/01/2011
POS,3,10/01/2011
POS,2,11/01/2011
POS,8,12/01/2011
POS,4,01/01/2012
POS,6,02/01/2012
POS,5,03/01/2012
POS,5,04/01/2012
POS,3,05/01/2012
POS,3,06/01/2012
POS,11,07/01/2012
POS,5,08/01/2012
POS,2,09/01/2012
POS,5,10/01/2012
POS,4,11/01/2012
POS,2,12/01/2012
NEG,0,11/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,0,04/01/2010
NEG,2,05/01/2010
NEG,2,06/01/2010
NEG,2,07/01/2010
NEG,0,08/01/2010
NEG,0,09/01/2010
NEG,1,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,2,02/01/2011
NEG,0,03/01/2011
NEG,2,04/01/2011
NEG,2,05/01/2011
NEG,2,06/01/2011
NEG,2,07/01/2011
NEG,1,08/01/2011
NEG,2,09/01/2011
NEG,0,10/01/2011
NEG,0,11/01/2011
NEG,0,12/01/2011
NEG,1,01/01/2012
NEG,2,02/01/2012
NEG,2,03/01/2012
NEG,2,04/01/2012
NEG,3,05/01/2012
NEG,2,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,0,09/01/2012
NEG,0,10/01/2012
NEG,1,11/01/2012
NEG,2,12/01/2012
