key,value,date
POS,2,03/01/2009
POS,5,04/01/2009
POS,5,05/01/2009
POS,7,06/01/2009
POS,4,07/01/2009
POS,7,08/01/2009
POS,6,09/01/2009
POS,4,10/01/2009
POS,8,11/01/2009
POS,2,12/01/2009
POS,4,01/01/2010
POS,2,02/01/2010
POS,8,03/01/2010
POS,9,04/01/2010
POS,7,05/01/2010
POS,4,06/01/2010
POS,5,07/01/2010
POS,6,08/01/2010
POS,5,09/01/2010
POS,6,10/01/2010
POS,3,11/01/2010
POS,4,12/01/2010
POS,5,01/01/2011
POS,8,02/01/2011
POS,2,03/01/2011
POS,3,04/01/2011
POS,9,05/01/2011
POS,3,06/01/2011
POS,12,07/01/2011
POS,8,08/01/2011
POS,17,09/01/2011
POS,10,10/01/2011
POS,12,11/01/2011
POS,13,12/01/2011
POS,13,01/01/2012
POS,6,02/01/2012
POS,17,03/01/2012
POS,10,04/01/2012
POS,13,05/01/2012
POS,14,06/01/2012
POS,14,07/01/2012
POS,12,08/01/2012
POS,7,09/01/2012
POS,15,10/01/2012
POS,17,11/01/2012
POS,5,12/01/2012
NEG,0,03/01/2009
NEG,2,04/01/2009
NEG,1,05/01/2009
NEG,0,06/01/2009
NEG,1,07/01/2009
NEG,0,08/01/2009
NEG,1,09/01/2009
NEG,0,10/01/2009
NEG,1,11/01/2009
NEG,1,12/01/2009
NEG,1,01/01/2010
NEG,2,02/01/2010
NEG,0,03/01/2010
NEG,2,04/01/2010
NEG,4,05/01/2010
NEG,1,06/01/2010
NEG,1,07/01/2010
NEG,2,08/01/2010
NEG,2,09/01/2010
NEG,1,10/01/2010
NEG,2,11/01/2010
NEG,2,12/01/2010
NEG,2,01/01/2011
NEG,1,02/01/2011
NEG,0,03/01/2011
NEG,0,04/01/2011
NEG,1,05/01/2011
NEG,0,06/01/2011
NEG,5,07/01/2011
NEG,6,08/01/2011
NEG,3,09/01/2011
NEG,2,10/01/2011
NEG,4,11/01/2011
NEG,5,12/01/2011
NEG,4,01/01/2012
NEG,3,02/01/2012
NEG,3,03/01/2012
NEG,7,04/01/2012
NEG,1,05/01/2012
NEG,5,06/01/2012
NEG,3,07/01/2012
NEG,8,08/01/2012
NEG,6,09/01/2012
NEG,7,10/01/2012
NEG,3,11/01/2012
NEG,1,12/01/2012
