label,count,month
POS,2,08/01/2011
POS,3,09/01/2011
POS,15,10/01/2011
POS,12,11/01/2011
POS,19,12/01/2011
POS,12,01/01/2012
POS,17,02/01/2012
POS,11,03/01/2012
POS,18,04/01/2012
POS,11,05/01/2012
POS,9,06/01/2012
POS,7,07/01/2012
POS,6,08/01/2012
POS,9,09/01/2012
POS,9,10/01/2012
POS,10,11/01/2012
POS,4,12/01/2012
NEG,0,08/01/2011
NEG,2,09/01/2011
NEG,4,10/01/2011
NEG,4,11/01/2011
NEG,3,12/01/2011
NEG,0,01/01/2012
NEG,3,02/01/2012
NEG,3,03/01/2012
NEG,1,04/01/2012
NEG,5,05/01/2012
NEG,1,06/01/2012
NEG,4,07/01/2012
NEG,0,08/01/2012
NEG,4,09/01/2012
NEG,1,10/01/2012
NEG,3,11/01/2012
NEG,3,12/01/2012
