key,value,date
POS,0,09/01/2008
POS,2,10/01/2008
POS,5,11/01/2008
POS,2,12/01/2008
POS,2,01/01/2009
POS,1,02/01/2009
POS,4,03/01/2009
POS,1,04/01/2009
POS,5,05/01/2009
POS,4,06/01/2009
POS,8,07/01/2009
POS,5,08/01/2009
POS,6,09/01/2009
POS,10,10/01/2009
POS,3,11/01/2009
POS,2,12/01/2009
POS,8,01/01/2010
POS,6,02/01/2010
POS,4,03/01/2010
POS,1,04/01/2010
POS,7,05/01/2010
POS,11,06/01/2010
POS,11,07/01/2010
POS,10,08/01/2010
POS,5,09/01/2010
POS,9,10/01/2010
POS,2,11/01/2010
POS,3,12/01/2010
POS,5,01/01/2011
POS,7,02/01/2011
POS,10,03/01/2011
POS,3,04/01/2011
POS,5,05/01/2011
POS,9,06/01/2011
POS,13,07/01/2011
POS,17,08/01/2011
POS,12,09/01/2011
POS,3,10/01/2011
POS,4,11/01/2011
POS,8,12/01/2011
POS,23,01/01/2012
POS,8,02/01/2012
POS,13,03/01/2012
POS,13,04/01/2012
POS,7,05/01/2012
POS,11,06/01/2012
POS,12,07/01/2012
POS,9,08/01/2012
POS,11,09/01/2012
POS,12,10/01/2012
POS,11,11/01/2012
POS,2,12/01/2012
NEG,1,09/01/2008
NEG,0,10/01/2008
NEG,0,11/01/2008
NEG,2,12/01/2008
NEG,1,01/01/2009
NEG,1,02/01/2009
NEG,1,03/01/2009
NEG,1,04/01/2009
NEG,1,05/01/2009
NEG,2,06/01/2009
NEG,4,07/01/2009
NEG,3,08/01/2009
NEG,4,09/01/2009
NEG,0,10/01/2009
NEG,1,11/01/2009
NEG,1,12/01/2009
NEG,1,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,2,04/01/2010
NEG,1,05/01/2010
NEG,0,06/01/2010
NEG,3,07/01/2010
NEG,0,08/01/2010
NEG,1,09/01/2010
NEG,5,10/01/2010
NEG,1,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,3,02/01/2011
NEG,0,03/01/2011
NEG,2,04/01/2011
NEG,1,05/01/2011
NEG,4,06/01/2011
NEG,4,07/01/2011
NEG,6,08/01/2011
NEG,2,09/01/2011
NEG,3,10/01/2011
NEG,3,11/01/2011
NEG,0,12/01/2011
NEG,1,01/01/2012
NEG,0,02/01/2012
NEG,0,03/01/2012
NEG,1,04/01/2012
NEG,1,05/01/2012
NEG,1,06/01/2012
NEG,2,07/01/2012
NEG,1,08/01/2012
NEG,4,09/01/2012
NEG,4,10/01/2012
NEG,7,11/01/2012
NEG,1,12/01/2012
