key,value,date
POS,5,06/01/2009
POS,11,07/01/2009
POS,14,08/01/2009
POS,7,09/01/2009
POS,11,10/01/2009
POS,5,11/01/2009
POS,3,12/01/2009
POS,7,01/01/2010
POS,6,02/01/2010
POS,3,03/01/2010
POS,5,04/01/2010
POS,9,05/01/2010
POS,10,06/01/2010
POS,13,07/01/2010
POS,16,08/01/2010
POS,11,09/01/2010
POS,8,10/01/2010
POS,6,11/01/2010
POS,9,12/01/2010
POS,7,01/01/2011
POS,3,02/01/2011
POS,7,03/01/2011
POS,6,04/01/2011
POS,7,05/01/2011
POS,12,06/01/2011
POS,22,07/01/2011
POS,16,08/01/2011
POS,16,09/01/2011
POS,17,10/01/2011
POS,16,11/01/2011
POS,17,12/01/2011
POS,18,01/01/2012
POS,18,02/01/2012
POS,16,03/01/2012
POS,18,04/01/2012
POS,16,05/01/2012
POS,13,06/01/2012
POS,18,07/01/2012
POS,9,08/01/2012
POS,14,09/01/2012
POS,23,10/01/2012
POS,11,11/01/2012
POS,5,12/01/2012
NEG,1,06/01/2009
NEG,3,07/01/2009
NEG,4,08/01/2009
NEG,3,09/01/2009
NEG,2,10/01/2009
NEG,0,11/01/2009
NEG,2,12/01/2009
NEG,2,01/01/2010
NEG,1,02/01/2010
NEG,4,03/01/2010
NEG,2,04/01/2010
NEG,1,05/01/2010
NEG,2,06/01/2010
NEG,6,07/01/2010
NEG,4,08/01/2010
NEG,3,09/01/2010
NEG,2,10/01/2010
NEG,2,11/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,2,03/01/2011
NEG,8,04/01/2011
NEG,9,05/01/2011
NEG,1,06/01/2011
NEG,4,07/01/2011
NEG,5,08/01/2011
NEG,5,09/01/2011
NEG,6,10/01/2011
NEG,6,11/01/2011
NEG,2,12/01/2011
NEG,4,01/01/2012
NEG,6,02/01/2012
NEG,7,03/01/2012
NEG,3,04/01/2012
NEG,0,05/01/2012
NEG,5,06/01/2012
NEG,11,07/01/2012
NEG,4,08/01/2012
NEG,5,09/01/2012
NEG,6,10/01/2012
NEG,10,11/01/2012
NEG,2,12/01/2012
