key,value,date
POS,1,08/01/2010
POS,15,09/01/2010
POS,15,10/01/2010
POS,15,11/01/2010
POS,11,12/01/2010
POS,16,01/01/2011
POS,9,02/01/2011
POS,13,03/01/2011
POS,10,04/01/2011
POS,13,05/01/2011
POS,10,06/01/2011
POS,16,07/01/2011
POS,11,08/01/2011
POS,12,09/01/2011
POS,11,10/01/2011
POS,12,11/01/2011
POS,13,12/01/2011
POS,14,01/01/2012
POS,13,02/01/2012
POS,14,03/01/2012
POS,19,04/01/2012
POS,22,05/01/2012
POS,17,06/01/2012
POS,17,07/01/2012
POS,14,08/01/2012
POS,20,09/01/2012
POS,11,10/01/2012
POS,13,11/01/2012
POS,4,12/01/2012
NEG,0,08/01/2010
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,3,11/01/2010
NEG,0,12/01/2010
NEG,2,01/01/2011
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,1,05/01/2011
NEG,4,06/01/2011
NEG,4,07/01/2011
NEG,1,08/01/2011
NEG,1,09/01/2011
NEG,5,10/01/2011
NEG,3,11/01/2011
NEG,0,12/01/2011
NEG,3,01/01/2012
NEG,3,02/01/2012
NEG,1,03/01/2012
NEG,2,04/01/2012
NEG,0,05/01/2012
NEG,3,06/01/2012
NEG,2,07/01/2012
NEG,1,08/01/2012
NEG,6,09/01/2012
NEG,3,10/01/2012
NEG,1,11/01/2012
NEG,6,12/01/2012
