key,value,date
POS,1,03/01/2002
POS,0,12/01/2002
POS,1,01/01/2003
POS,0,03/01/2003
POS,1,04/01/2003
POS,2,05/01/2003
POS,3,06/01/2003
POS,3,07/01/2003
POS,1,08/01/2003
POS,1,09/01/2003
POS,4,10/01/2003
POS,3,11/01/2003
POS,4,12/01/2003
POS,0,01/01/2004
POS,2,02/01/2004
POS,2,03/01/2004
POS,4,04/01/2004
POS,2,05/01/2004
POS,4,06/01/2004
POS,1,07/01/2004
POS,5,08/01/2004
POS,1,09/01/2004
POS,7,10/01/2004
POS,3,11/01/2004
POS,5,12/01/2004
POS,9,01/01/2005
POS,6,02/01/2005
POS,5,03/01/2005
POS,8,04/01/2005
POS,4,05/01/2005
POS,11,06/01/2005
POS,6,07/01/2005
POS,7,08/01/2005
POS,3,09/01/2005
POS,7,10/01/2005
POS,9,11/01/2005
POS,8,12/01/2005
POS,17,01/01/2006
POS,9,02/01/2006
POS,7,03/01/2006
POS,14,04/01/2006
POS,6,05/01/2006
POS,8,06/01/2006
POS,15,07/01/2006
POS,5,08/01/2006
POS,4,09/01/2006
POS,4,10/01/2006
POS,11,11/01/2006
POS,8,12/01/2006
POS,16,01/01/2007
POS,17,02/01/2007
POS,10,03/01/2007
POS,7,04/01/2007
POS,6,05/01/2007
POS,7,06/01/2007
POS,17,07/01/2007
POS,15,08/01/2007
POS,3,09/01/2007
POS,9,10/01/2007
POS,12,11/01/2007
POS,14,12/01/2007
POS,20,01/01/2008
POS,20,02/01/2008
POS,17,03/01/2008
POS,18,04/01/2008
POS,17,05/01/2008
POS,16,06/01/2008
POS,5,07/01/2008
POS,17,08/01/2008
POS,9,09/01/2008
POS,16,10/01/2008
POS,9,11/01/2008
POS,13,12/01/2008
POS,26,01/01/2009
POS,15,02/01/2009
POS,13,03/01/2009
POS,22,04/01/2009
POS,21,05/01/2009
POS,13,06/01/2009
POS,30,07/01/2009
POS,28,08/01/2009
POS,21,09/01/2009
POS,22,10/01/2009
POS,28,11/01/2009
POS,19,12/01/2009
POS,35,01/01/2010
POS,40,02/01/2010
POS,15,03/01/2010
POS,22,04/01/2010
POS,19,05/01/2010
POS,34,06/01/2010
POS,31,07/01/2010
POS,22,08/01/2010
POS,26,09/01/2010
POS,33,10/01/2010
POS,16,11/01/2010
POS,18,12/01/2010
POS,16,01/01/2011
POS,16,02/01/2011
POS,14,03/01/2011
POS,17,04/01/2011
POS,25,05/01/2011
POS,28,06/01/2011
POS,29,07/01/2011
POS,35,08/01/2011
POS,32,09/01/2011
POS,48,10/01/2011
POS,49,11/01/2011
POS,47,12/01/2011
POS,75,01/01/2012
POS,54,02/01/2012
POS,46,03/01/2012
POS,54,04/01/2012
POS,43,05/01/2012
POS,49,06/01/2012
POS,64,07/01/2012
POS,59,08/01/2012
POS,44,09/01/2012
POS,48,10/01/2012
POS,61,11/01/2012
POS,34,12/01/2012
NEG,1,03/01/2002
NEG,1,12/01/2002
NEG,0,01/01/2003
NEG,1,03/01/2003
NEG,4,04/01/2003
NEG,0,05/01/2003
NEG,0,06/01/2003
NEG,2,07/01/2003
NEG,1,08/01/2003
NEG,0,09/01/2003
NEG,1,10/01/2003
NEG,2,11/01/2003
NEG,2,12/01/2003
NEG,2,01/01/2004
NEG,0,02/01/2004
NEG,2,03/01/2004
NEG,5,04/01/2004
NEG,0,05/01/2004
NEG,1,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,1,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,1,01/01/2005
NEG,0,02/01/2005
NEG,1,03/01/2005
NEG,2,04/01/2005
NEG,0,05/01/2005
NEG,2,06/01/2005
NEG,0,07/01/2005
NEG,0,08/01/2005
NEG,0,09/01/2005
NEG,3,10/01/2005
NEG,1,11/01/2005
NEG,2,12/01/2005
NEG,7,01/01/2006
NEG,2,02/01/2006
NEG,2,03/01/2006
NEG,3,04/01/2006
NEG,3,05/01/2006
NEG,3,06/01/2006
NEG,4,07/01/2006
NEG,1,08/01/2006
NEG,2,09/01/2006
NEG,5,10/01/2006
NEG,3,11/01/2006
NEG,4,12/01/2006
NEG,5,01/01/2007
NEG,1,02/01/2007
NEG,0,03/01/2007
NEG,1,04/01/2007
NEG,3,05/01/2007
NEG,4,06/01/2007
NEG,7,07/01/2007
NEG,1,08/01/2007
NEG,4,09/01/2007
NEG,3,10/01/2007
NEG,5,11/01/2007
NEG,3,12/01/2007
NEG,2,01/01/2008
NEG,2,02/01/2008
NEG,1,03/01/2008
NEG,6,04/01/2008
NEG,3,05/01/2008
NEG,4,06/01/2008
NEG,7,07/01/2008
NEG,7,08/01/2008
NEG,6,09/01/2008
NEG,4,10/01/2008
NEG,3,11/01/2008
NEG,6,12/01/2008
NEG,3,01/01/2009
NEG,6,02/01/2009
NEG,3,03/01/2009
NEG,6,04/01/2009
NEG,8,05/01/2009
NEG,6,06/01/2009
NEG,10,07/01/2009
NEG,18,08/01/2009
NEG,12,09/01/2009
NEG,11,10/01/2009
NEG,14,11/01/2009
NEG,13,12/01/2009
NEG,11,01/01/2010
NEG,9,02/01/2010
NEG,10,03/01/2010
NEG,16,04/01/2010
NEG,3,05/01/2010
NEG,14,06/01/2010
NEG,11,07/01/2010
NEG,9,08/01/2010
NEG,8,09/01/2010
NEG,8,10/01/2010
NEG,9,11/01/2010
NEG,3,12/01/2010
NEG,9,01/01/2011
NEG,8,02/01/2011
NEG,8,03/01/2011
NEG,6,04/01/2011
NEG,14,05/01/2011
NEG,6,06/01/2011
NEG,12,07/01/2011
NEG,11,08/01/2011
NEG,14,09/01/2011
NEG,28,10/01/2011
NEG,11,11/01/2011
NEG,18,12/01/2011
NEG,20,01/01/2012
NEG,14,02/01/2012
NEG,22,03/01/2012
NEG,20,04/01/2012
NEG,16,05/01/2012
NEG,21,06/01/2012
NEG,23,07/01/2012
NEG,26,08/01/2012
NEG,15,09/01/2012
NEG,15,10/01/2012
NEG,19,11/01/2012
