key,value,date
POS,1,09/01/2008
POS,2,10/01/2008
POS,2,11/01/2008
POS,7,12/01/2008
POS,11,01/01/2009
POS,1,02/01/2009
POS,4,03/01/2009
POS,3,04/01/2009
POS,7,05/01/2009
POS,5,06/01/2009
POS,7,07/01/2009
POS,12,08/01/2009
POS,11,09/01/2009
POS,15,10/01/2009
POS,5,11/01/2009
POS,11,12/01/2009
POS,6,01/01/2010
POS,10,02/01/2010
POS,7,03/01/2010
POS,6,04/01/2010
POS,5,05/01/2010
POS,5,06/01/2010
POS,9,07/01/2010
POS,9,08/01/2010
POS,10,09/01/2010
POS,7,10/01/2010
POS,3,11/01/2010
POS,6,12/01/2010
POS,6,01/01/2011
POS,5,02/01/2011
POS,10,03/01/2011
POS,12,04/01/2011
POS,11,05/01/2011
POS,16,06/01/2011
POS,17,07/01/2011
POS,8,08/01/2011
POS,11,09/01/2011
POS,11,10/01/2011
POS,16,11/01/2011
POS,11,12/01/2011
POS,15,01/01/2012
POS,10,02/01/2012
POS,19,03/01/2012
POS,17,04/01/2012
POS,14,05/01/2012
POS,12,06/01/2012
POS,9,07/01/2012
POS,14,08/01/2012
POS,11,09/01/2012
POS,9,10/01/2012
POS,12,11/01/2012
POS,10,12/01/2012
NEG,0,09/01/2008
NEG,0,10/01/2008
NEG,0,11/01/2008
NEG,0,12/01/2008
NEG,3,01/01/2009
NEG,1,02/01/2009
NEG,3,03/01/2009
NEG,4,04/01/2009
NEG,3,05/01/2009
NEG,1,06/01/2009
NEG,3,07/01/2009
NEG,3,08/01/2009
NEG,6,09/01/2009
NEG,5,10/01/2009
NEG,2,11/01/2009
NEG,3,12/01/2009
NEG,3,01/01/2010
NEG,1,02/01/2010
NEG,5,03/01/2010
NEG,10,04/01/2010
NEG,4,05/01/2010
NEG,4,06/01/2010
NEG,5,07/01/2010
NEG,7,08/01/2010
NEG,1,09/01/2010
NEG,2,10/01/2010
NEG,2,11/01/2010
NEG,1,12/01/2010
NEG,1,01/01/2011
NEG,2,02/01/2011
NEG,1,03/01/2011
NEG,9,04/01/2011
NEG,8,05/01/2011
NEG,9,06/01/2011
NEG,5,07/01/2011
NEG,3,08/01/2011
NEG,10,09/01/2011
NEG,6,10/01/2011
NEG,5,11/01/2011
NEG,4,12/01/2011
NEG,5,01/01/2012
NEG,3,02/01/2012
NEG,8,03/01/2012
NEG,8,04/01/2012
NEG,6,05/01/2012
NEG,2,06/01/2012
NEG,4,07/01/2012
NEG,4,08/01/2012
NEG,10,09/01/2012
NEG,4,10/01/2012
NEG,0,11/01/2012
NEG,4,12/01/2012
