key,value,date
POS,2,08/01/2009
POS,6,09/01/2009
POS,5,10/01/2009
POS,4,11/01/2009
POS,4,12/01/2009
POS,6,01/01/2010
POS,3,02/01/2010
POS,6,03/01/2010
POS,3,04/01/2010
POS,4,05/01/2010
POS,6,06/01/2010
POS,6,07/01/2010
POS,10,08/01/2010
POS,3,09/01/2010
POS,7,10/01/2010
POS,3,11/01/2010
POS,4,12/01/2010
POS,6,01/01/2011
POS,2,02/01/2011
POS,8,03/01/2011
POS,10,04/01/2011
POS,5,05/01/2011
POS,14,06/01/2011
POS,19,07/01/2011
POS,13,08/01/2011
POS,13,09/01/2011
POS,7,10/01/2011
POS,14,11/01/2011
POS,15,12/01/2011
POS,16,01/01/2012
POS,13,02/01/2012
POS,13,03/01/2012
POS,24,04/01/2012
POS,23,05/01/2012
POS,11,06/01/2012
POS,22,07/01/2012
POS,17,08/01/2012
POS,21,09/01/2012
POS,15,10/01/2012
POS,20,11/01/2012
POS,17,12/01/2012
NEG,6,08/01/2009
NEG,0,09/01/2009
NEG,1,10/01/2009
NEG,0,11/01/2009
NEG,2,12/01/2009
NEG,1,01/01/2010
NEG,2,02/01/2010
NEG,1,03/01/2010
NEG,1,04/01/2010
NEG,2,05/01/2010
NEG,1,06/01/2010
NEG,0,07/01/2010
NEG,3,08/01/2010
NEG,4,09/01/2010
NEG,2,10/01/2010
NEG,1,11/01/2010
NEG,2,12/01/2010
NEG,3,01/01/2011
NEG,3,02/01/2011
NEG,3,03/01/2011
NEG,4,04/01/2011
NEG,8,05/01/2011
NEG,2,06/01/2011
NEG,6,07/01/2011
NEG,10,08/01/2011
NEG,10,09/01/2011
NEG,8,10/01/2011
NEG,4,11/01/2011
NEG,6,12/01/2011
NEG,5,01/01/2012
NEG,6,02/01/2012
NEG,2,03/01/2012
NEG,7,04/01/2012
NEG,4,05/01/2012
NEG,2,06/01/2012
NEG,4,07/01/2012
NEG,9,08/01/2012
NEG,5,09/01/2012
NEG,4,10/01/2012
NEG,6,11/01/2012
NEG,4,12/01/2012
