key,value,date
POS,2,02/01/2009
POS,4,03/01/2009
POS,6,04/01/2009
POS,8,05/01/2009
POS,5,07/01/2009
POS,3,08/01/2009
POS,5,09/01/2009
POS,4,10/01/2009
POS,2,11/01/2009
POS,5,12/01/2009
POS,5,01/01/2010
POS,3,02/01/2010
POS,4,03/01/2010
POS,5,04/01/2010
POS,5,05/01/2010
POS,4,06/01/2010
POS,11,07/01/2010
POS,9,08/01/2010
POS,8,09/01/2010
POS,7,10/01/2010
POS,5,11/01/2010
POS,5,12/01/2010
POS,4,01/01/2011
POS,5,02/01/2011
POS,3,03/01/2011
POS,7,04/01/2011
POS,6,05/01/2011
POS,8,06/01/2011
POS,9,07/01/2011
POS,10,08/01/2011
POS,14,09/01/2011
POS,7,10/01/2011
POS,9,11/01/2011
POS,12,12/01/2011
POS,3,01/01/2012
POS,9,02/01/2012
POS,11,03/01/2012
POS,10,04/01/2012
POS,8,05/01/2012
POS,9,06/01/2012
POS,9,07/01/2012
POS,12,08/01/2012
POS,8,09/01/2012
POS,13,10/01/2012
POS,8,11/01/2012
POS,4,12/01/2012
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,2,04/01/2009
NEG,3,05/01/2009
NEG,1,07/01/2009
NEG,3,08/01/2009
NEG,3,09/01/2009
NEG,6,10/01/2009
NEG,1,11/01/2009
NEG,0,12/01/2009
NEG,5,01/01/2010
NEG,0,02/01/2010
NEG,1,03/01/2010
NEG,8,04/01/2010
NEG,2,05/01/2010
NEG,5,06/01/2010
NEG,5,07/01/2010
NEG,3,08/01/2010
NEG,7,09/01/2010
NEG,12,10/01/2010
NEG,1,11/01/2010
NEG,3,12/01/2010
NEG,2,01/01/2011
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,2,04/01/2011
NEG,2,05/01/2011
NEG,1,06/01/2011
NEG,3,07/01/2011
NEG,4,08/01/2011
NEG,3,09/01/2011
NEG,4,10/01/2011
NEG,0,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,3,02/01/2012
NEG,1,03/01/2012
NEG,2,04/01/2012
NEG,2,05/01/2012
NEG,4,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,2,09/01/2012
NEG,1,10/01/2012
NEG,0,11/01/2012
NEG,4,12/01/2012
