key,value,date
POS,4,11/01/2007
POS,5,12/01/2007
POS,10,01/01/2008
POS,7,02/01/2008
POS,6,03/01/2008
POS,6,04/01/2008
POS,7,05/01/2008
POS,5,06/01/2008
POS,8,07/01/2008
POS,7,08/01/2008
POS,4,09/01/2008
POS,4,10/01/2008
POS,2,11/01/2008
POS,2,12/01/2008
POS,0,01/01/2009
POS,6,02/01/2009
POS,8,03/01/2009
POS,4,04/01/2009
POS,10,05/01/2009
POS,13,06/01/2009
POS,11,07/01/2009
POS,6,08/01/2009
POS,12,09/01/2009
POS,9,10/01/2009
POS,10,11/01/2009
POS,9,12/01/2009
POS,8,01/01/2010
POS,9,02/01/2010
POS,9,03/01/2010
POS,12,04/01/2010
POS,10,05/01/2010
POS,17,06/01/2010
POS,10,07/01/2010
POS,12,08/01/2010
POS,6,09/01/2010
POS,10,10/01/2010
POS,9,11/01/2010
POS,6,12/01/2010
POS,4,01/01/2011
POS,8,02/01/2011
POS,11,03/01/2011
POS,18,04/01/2011
POS,16,05/01/2011
POS,11,06/01/2011
POS,19,07/01/2011
POS,16,08/01/2011
POS,15,09/01/2011
POS,16,10/01/2011
POS,14,11/01/2011
POS,12,12/01/2011
POS,11,01/01/2012
POS,6,02/01/2012
POS,12,03/01/2012
POS,33,04/01/2012
POS,23,05/01/2012
POS,16,06/01/2012
POS,13,07/01/2012
POS,22,08/01/2012
POS,16,09/01/2012
POS,16,10/01/2012
POS,16,11/01/2012
POS,7,12/01/2012
NEG,0,11/01/2007
NEG,1,12/01/2007
NEG,4,01/01/2008
NEG,0,02/01/2008
NEG,3,03/01/2008
NEG,3,04/01/2008
NEG,4,05/01/2008
NEG,1,06/01/2008
NEG,1,07/01/2008
NEG,0,08/01/2008
NEG,1,09/01/2008
NEG,1,10/01/2008
NEG,0,11/01/2008
NEG,5,12/01/2008
NEG,4,01/01/2009
NEG,1,02/01/2009
NEG,3,03/01/2009
NEG,3,04/01/2009
NEG,4,05/01/2009
NEG,2,06/01/2009
NEG,1,07/01/2009
NEG,3,08/01/2009
NEG,5,09/01/2009
NEG,5,10/01/2009
NEG,3,11/01/2009
NEG,2,12/01/2009
NEG,2,01/01/2010
NEG,0,02/01/2010
NEG,5,03/01/2010
NEG,4,04/01/2010
NEG,5,05/01/2010
NEG,1,06/01/2010
NEG,1,07/01/2010
NEG,6,08/01/2010
NEG,6,09/01/2010
NEG,2,10/01/2010
NEG,0,11/01/2010
NEG,4,12/01/2010
NEG,4,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,6,04/01/2011
NEG,10,05/01/2011
NEG,1,06/01/2011
NEG,4,07/01/2011
NEG,3,08/01/2011
NEG,6,09/01/2011
NEG,3,10/01/2011
NEG,6,11/01/2011
NEG,2,12/01/2011
NEG,5,01/01/2012
NEG,0,02/01/2012
NEG,2,03/01/2012
NEG,4,04/01/2012
NEG,5,05/01/2012
NEG,4,06/01/2012
NEG,4,07/01/2012
NEG,3,08/01/2012
NEG,3,09/01/2012
NEG,1,10/01/2012
NEG,6,11/01/2012
NEG,2,12/01/2012
