label,count,month
POS,12,03/01/2009
POS,24,04/01/2009
POS,15,05/01/2009
POS,20,06/01/2009
POS,19,07/01/2009
POS,30,08/01/2009
POS,32,09/01/2009
POS,26,10/01/2009
POS,27,11/01/2009
POS,17,12/01/2009
POS,19,01/01/2010
POS,23,02/01/2010
POS,14,03/01/2010
POS,21,04/01/2010
POS,27,05/01/2010
POS,21,06/01/2010
POS,24,07/01/2010
POS,23,08/01/2010
POS,34,09/01/2010
POS,34,10/01/2010
POS,32,11/01/2010
POS,39,12/01/2010
POS,34,01/01/2011
POS,37,02/01/2011
POS,23,03/01/2011
POS,30,04/01/2011
POS,36,05/01/2011
POS,42,06/01/2011
POS,55,07/01/2011
POS,42,08/01/2011
POS,44,09/01/2011
POS,71,10/01/2011
POS,60,11/01/2011
POS,43,12/01/2011
POS,66,01/01/2012
POS,48,02/01/2012
POS,48,03/01/2012
POS,43,04/01/2012
POS,52,05/01/2012
POS,34,06/01/2012
POS,46,07/01/2012
POS,35,08/01/2012
POS,32,09/01/2012
POS,49,10/01/2012
POS,45,11/01/2012
POS,10,12/01/2012
NEG,0,03/01/2009
NEG,3,04/01/2009
NEG,2,05/01/2009
NEG,4,06/01/2009
NEG,4,07/01/2009
NEG,8,08/01/2009
NEG,21,09/01/2009
NEG,11,10/01/2009
NEG,5,11/01/2009
NEG,1,12/01/2009
NEG,11,01/01/2010
NEG,3,02/01/2010
NEG,11,03/01/2010
NEG,12,04/01/2010
NEG,7,05/01/2010
NEG,10,06/01/2010
NEG,4,07/01/2010
NEG,5,08/01/2010
NEG,12,09/01/2010
NEG,16,10/01/2010
NEG,10,11/01/2010
NEG,6,12/01/2010
NEG,8,01/01/2011
NEG,6,02/01/2011
NEG,10,03/01/2011
NEG,8,04/01/2011
NEG,11,05/01/2011
NEG,3,06/01/2011
NEG,6,07/01/2011
NEG,14,08/01/2011
NEG,13,09/01/2011
NEG,8,10/01/2011
NEG,6,11/01/2011
NEG,12,12/01/2011
NEG,10,01/01/2012
NEG,3,02/01/2012
NEG,9,03/01/2012
NEG,8,04/01/2012
NEG,5,05/01/2012
NEG,4,06/01/2012
NEG,9,07/01/2012
NEG,5,08/01/2012
NEG,8,09/01/2012
NEG,5,10/01/2012
NEG,6,11/01/2012
NEG,2,12/01/2012
