key,value,date
POS,1,09/01/2005
POS,4,10/01/2005
POS,8,11/01/2005
POS,7,12/01/2005
POS,8,01/01/2006
POS,9,02/01/2006
POS,7,03/01/2006
POS,9,04/01/2006
POS,4,05/01/2006
POS,7,06/01/2006
POS,12,07/01/2006
POS,7,08/01/2006
POS,4,09/01/2006
POS,4,10/01/2006
POS,10,11/01/2006
POS,9,12/01/2006
POS,12,01/01/2007
POS,4,02/01/2007
POS,10,03/01/2007
POS,10,04/01/2007
POS,9,05/01/2007
POS,12,06/01/2007
POS,12,07/01/2007
POS,6,08/01/2007
POS,15,09/01/2007
POS,11,10/01/2007
POS,10,11/01/2007
POS,8,12/01/2007
POS,15,01/01/2008
POS,6,02/01/2008
POS,14,03/01/2008
POS,11,04/01/2008
POS,7,05/01/2008
POS,13,06/01/2008
POS,13,07/01/2008
POS,11,08/01/2008
POS,21,09/01/2008
POS,9,10/01/2008
POS,10,11/01/2008
POS,9,12/01/2008
POS,17,01/01/2009
POS,22,02/01/2009
POS,15,03/01/2009
POS,13,04/01/2009
POS,17,05/01/2009
POS,20,06/01/2009
POS,25,07/01/2009
POS,16,08/01/2009
POS,19,09/01/2009
POS,27,10/01/2009
POS,16,11/01/2009
POS,10,12/01/2009
POS,24,01/01/2010
POS,23,02/01/2010
POS,30,03/01/2010
POS,33,04/01/2010
POS,31,05/01/2010
POS,34,06/01/2010
POS,25,07/01/2010
POS,39,08/01/2010
POS,27,09/01/2010
POS,38,10/01/2010
POS,34,11/01/2010
POS,27,12/01/2010
POS,32,01/01/2011
POS,41,02/01/2011
POS,33,03/01/2011
POS,26,04/01/2011
POS,36,05/01/2011
POS,44,06/01/2011
POS,59,07/01/2011
POS,56,08/01/2011
POS,62,09/01/2011
POS,73,10/01/2011
POS,70,11/01/2011
POS,39,12/01/2011
POS,65,01/01/2012
POS,47,02/01/2012
POS,40,03/01/2012
POS,66,04/01/2012
POS,57,05/01/2012
POS,70,06/01/2012
POS,73,07/01/2012
POS,65,08/01/2012
POS,68,09/01/2012
POS,48,10/01/2012
POS,44,11/01/2012
POS,31,12/01/2012
NEG,0,09/01/2005
NEG,1,10/01/2005
NEG,1,11/01/2005
NEG,1,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,1,04/01/2006
NEG,2,05/01/2006
NEG,0,06/01/2006
NEG,1,07/01/2006
NEG,1,08/01/2006
NEG,1,09/01/2006
NEG,2,10/01/2006
NEG,0,11/01/2006
NEG,2,12/01/2006
NEG,3,01/01/2007
NEG,0,02/01/2007
NEG,2,03/01/2007
NEG,4,04/01/2007
NEG,1,05/01/2007
NEG,3,06/01/2007
NEG,1,07/01/2007
NEG,1,08/01/2007
NEG,1,09/01/2007
NEG,0,10/01/2007
NEG,1,11/01/2007
NEG,1,12/01/2007
NEG,2,01/01/2008
NEG,1,02/01/2008
NEG,1,03/01/2008
NEG,2,04/01/2008
NEG,4,05/01/2008
NEG,2,06/01/2008
NEG,1,07/01/2008
NEG,4,08/01/2008
NEG,4,09/01/2008
NEG,3,10/01/2008
NEG,3,11/01/2008
NEG,3,12/01/2008
NEG,7,01/01/2009
NEG,7,02/01/2009
NEG,9,03/01/2009
NEG,6,04/01/2009
NEG,5,05/01/2009
NEG,4,06/01/2009
NEG,10,07/01/2009
NEG,10,08/01/2009
NEG,14,09/01/2009
NEG,6,10/01/2009
NEG,13,11/01/2009
NEG,10,12/01/2009
NEG,7,01/01/2010
NEG,6,02/01/2010
NEG,10,03/01/2010
NEG,7,04/01/2010
NEG,4,05/01/2010
NEG,11,06/01/2010
NEG,10,07/01/2010
NEG,9,08/01/2010
NEG,6,09/01/2010
NEG,5,10/01/2010
NEG,5,11/01/2010
NEG,7,12/01/2010
NEG,11,01/01/2011
NEG,4,02/01/2011
NEG,10,03/01/2011
NEG,4,04/01/2011
NEG,11,05/01/2011
NEG,8,06/01/2011
NEG,5,07/01/2011
NEG,16,08/01/2011
NEG,16,09/01/2011
NEG,12,10/01/2011
NEG,7,11/01/2011
NEG,13,12/01/2011
NEG,11,01/01/2012
NEG,10,02/01/2012
NEG,7,03/01/2012
NEG,8,04/01/2012
NEG,7,05/01/2012
NEG,5,06/01/2012
NEG,5,07/01/2012
NEG,11,08/01/2012
NEG,9,09/01/2012
NEG,11,10/01/2012
NEG,10,11/01/2012
NEG,2,12/01/2012
