label,count,month
POS,1,03/01/2002
POS,2,02/01/2003
POS,1,03/01/2003
POS,1,04/01/2003
POS,2,05/01/2003
POS,1,06/01/2003
POS,2,07/01/2003
POS,4,08/01/2003
POS,3,09/01/2003
POS,4,10/01/2003
POS,3,11/01/2003
POS,4,12/01/2003
POS,2,01/01/2004
POS,4,02/01/2004
POS,4,03/01/2004
POS,8,04/01/2004
POS,3,05/01/2004
POS,8,06/01/2004
POS,7,07/01/2004
POS,6,08/01/2004
POS,13,09/01/2004
POS,5,10/01/2004
POS,5,11/01/2004
POS,4,12/01/2004
POS,4,01/01/2005
POS,4,02/01/2005
POS,8,03/01/2005
POS,5,04/01/2005
POS,7,05/01/2005
POS,6,06/01/2005
POS,5,07/01/2005
POS,5,08/01/2005
POS,5,09/01/2005
POS,6,10/01/2005
POS,3,11/01/2005
POS,6,12/01/2005
POS,5,01/01/2006
POS,5,02/01/2006
POS,12,03/01/2006
POS,11,04/01/2006
POS,7,05/01/2006
POS,8,06/01/2006
POS,10,07/01/2006
POS,7,08/01/2006
POS,11,09/01/2006
POS,9,10/01/2006
POS,8,11/01/2006
POS,4,12/01/2006
POS,12,01/01/2007
POS,9,02/01/2007
POS,12,03/01/2007
POS,13,04/01/2007
POS,11,05/01/2007
POS,11,06/01/2007
POS,9,07/01/2007
POS,11,08/01/2007
POS,9,09/01/2007
POS,9,10/01/2007
POS,12,11/01/2007
POS,5,12/01/2007
POS,11,01/01/2008
POS,7,02/01/2008
POS,12,03/01/2008
POS,15,04/01/2008
POS,18,05/01/2008
POS,11,06/01/2008
POS,13,07/01/2008
POS,12,08/01/2008
POS,15,09/01/2008
POS,12,10/01/2008
POS,10,11/01/2008
POS,14,12/01/2008
POS,14,01/01/2009
POS,8,02/01/2009
POS,7,03/01/2009
POS,14,04/01/2009
POS,12,05/01/2009
POS,13,06/01/2009
POS,14,07/01/2009
POS,19,08/01/2009
POS,10,09/01/2009
POS,10,10/01/2009
POS,2,11/01/2009
POS,15,12/01/2009
POS,22,01/01/2010
POS,6,02/01/2010
POS,15,03/01/2010
POS,24,04/01/2010
POS,15,05/01/2010
POS,35,06/01/2010
POS,23,07/01/2010
POS,17,08/01/2010
POS,13,09/01/2010
POS,22,10/01/2010
POS,17,11/01/2010
POS,11,12/01/2010
POS,23,01/01/2011
POS,20,02/01/2011
POS,12,03/01/2011
POS,25,04/01/2011
POS,17,05/01/2011
POS,30,06/01/2011
POS,46,07/01/2011
POS,46,08/01/2011
POS,42,09/01/2011
POS,49,10/01/2011
POS,47,11/01/2011
POS,51,12/01/2011
POS,72,01/01/2012
POS,36,02/01/2012
POS,42,03/01/2012
POS,77,04/01/2012
POS,75,05/01/2012
POS,56,06/01/2012
POS,78,07/01/2012
POS,61,08/01/2012
POS,39,09/01/2012
POS,62,10/01/2012
POS,56,11/01/2012
POS,35,12/01/2012
NEG,0,03/01/2002
NEG,0,02/01/2003
NEG,0,03/01/2003
NEG,0,04/01/2003
NEG,1,05/01/2003
NEG,1,06/01/2003
NEG,1,07/01/2003
NEG,0,08/01/2003
NEG,0,09/01/2003
NEG,1,10/01/2003
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,3,03/01/2004
NEG,2,04/01/2004
NEG,1,05/01/2004
NEG,2,06/01/2004
NEG,0,07/01/2004
NEG,4,08/01/2004
NEG,2,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,2,12/01/2004
NEG,0,01/01/2005
NEG,1,02/01/2005
NEG,5,03/01/2005
NEG,3,04/01/2005
NEG,0,05/01/2005
NEG,2,06/01/2005
NEG,1,07/01/2005
NEG,0,08/01/2005
NEG,0,09/01/2005
NEG,1,10/01/2005
NEG,2,11/01/2005
NEG,5,12/01/2005
NEG,1,01/01/2006
NEG,1,02/01/2006
NEG,0,03/01/2006
NEG,2,04/01/2006
NEG,2,05/01/2006
NEG,1,06/01/2006
NEG,1,07/01/2006
NEG,2,08/01/2006
NEG,3,09/01/2006
NEG,1,10/01/2006
NEG,3,11/01/2006
NEG,2,12/01/2006
NEG,6,01/01/2007
NEG,3,02/01/2007
NEG,1,03/01/2007
NEG,3,04/01/2007
NEG,2,05/01/2007
NEG,5,06/01/2007
NEG,2,07/01/2007
NEG,3,08/01/2007
NEG,4,09/01/2007
NEG,2,10/01/2007
NEG,6,11/01/2007
NEG,3,12/01/2007
NEG,2,01/01/2008
NEG,1,02/01/2008
NEG,8,03/01/2008
NEG,1,04/01/2008
NEG,8,05/01/2008
NEG,5,06/01/2008
NEG,8,07/01/2008
NEG,12,08/01/2008
NEG,15,09/01/2008
NEG,9,10/01/2008
NEG,6,11/01/2008
NEG,6,12/01/2008
NEG,7,01/01/2009
NEG,5,02/01/2009
NEG,10,03/01/2009
NEG,9,04/01/2009
NEG,3,05/01/2009
NEG,6,06/01/2009
NEG,8,07/01/2009
NEG,15,08/01/2009
NEG,15,09/01/2009
NEG,10,10/01/2009
NEG,7,11/01/2009
NEG,9,12/01/2009
NEG,21,01/01/2010
NEG,5,02/01/2010
NEG,9,03/01/2010
NEG,13,04/01/2010
NEG,11,05/01/2010
NEG,12,06/01/2010
NEG,18,07/01/2010
NEG,17,08/01/2010
NEG,17,09/01/2010
NEG,15,10/01/2010
NEG,19,11/01/2010
NEG,11,12/01/2010
NEG,13,01/01/2011
NEG,6,02/01/2011
NEG,18,03/01/2011
NEG,16,04/01/2011
NEG,17,05/01/2011
NEG,17,06/01/2011
NEG,24,07/01/2011
NEG,29,08/01/2011
NEG,31,09/01/2011
NEG,23,10/01/2011
NEG,26,11/01/2011
NEG,28,12/01/2011
NEG,27,01/01/2012
NEG,18,02/01/2012
NEG,25,03/01/2012
NEG,37,04/01/2012
NEG,15,05/01/2012
NEG,32,06/01/2012
NEG,25,07/01/2012
NEG,27,08/01/2012
NEG,42,09/01/2012
NEG,31,10/01/2012
NEG,20,11/01/2012
NEG,19,12/01/2012
