label,count,month
POS,17,04/01/2010
POS,40,05/01/2010
POS,43,06/01/2010
POS,34,07/01/2010
POS,39,08/01/2010
POS,28,09/01/2010
POS,40,10/01/2010
POS,49,11/01/2010
POS,33,12/01/2010
POS,44,01/01/2011
POS,27,02/01/2011
POS,27,03/01/2011
POS,17,04/01/2011
POS,27,05/01/2011
POS,36,06/01/2011
POS,24,07/01/2011
POS,26,08/01/2011
POS,16,09/01/2011
POS,34,10/01/2011
POS,22,11/01/2011
POS,29,12/01/2011
POS,31,01/01/2012
POS,22,02/01/2012
POS,13,03/01/2012
POS,29,04/01/2012
POS,27,05/01/2012
POS,40,06/01/2012
POS,37,07/01/2012
POS,28,08/01/2012
POS,30,09/01/2012
POS,30,10/01/2012
POS,25,11/01/2012
POS,12,12/01/2012
NEG,2,04/01/2010
NEG,8,05/01/2010
NEG,9,06/01/2010
NEG,5,07/01/2010
NEG,10,08/01/2010
NEG,6,09/01/2010
NEG,12,10/01/2010
NEG,5,11/01/2010
NEG,5,12/01/2010
NEG,23,01/01/2011
NEG,14,02/01/2011
NEG,12,03/01/2011
NEG,6,04/01/2011
NEG,13,05/01/2011
NEG,10,06/01/2011
NEG,4,07/01/2011
NEG,14,08/01/2011
NEG,11,09/01/2011
NEG,9,10/01/2011
NEG,5,11/01/2011
NEG,6,12/01/2011
NEG,5,01/01/2012
NEG,4,02/01/2012
NEG,7,03/01/2012
NEG,8,04/01/2012
NEG,4,05/01/2012
NEG,5,06/01/2012
NEG,9,07/01/2012
NEG,8,08/01/2012
NEG,6,09/01/2012
NEG,6,10/01/2012
NEG,7,11/01/2012
NEG,4,12/01/2012
