key,value,date
POS,1,07/01/2002
POS,1,09/01/2002
POS,1,03/01/2003
POS,1,05/01/2003
POS,3,06/01/2003
POS,4,07/01/2003
POS,1,08/01/2003
POS,0,10/01/2003
POS,2,12/01/2003
POS,4,01/01/2004
POS,1,02/01/2004
POS,5,03/01/2004
POS,2,04/01/2004
POS,6,05/01/2004
POS,6,06/01/2004
POS,5,07/01/2004
POS,4,08/01/2004
POS,5,09/01/2004
POS,3,10/01/2004
POS,9,11/01/2004
POS,3,12/01/2004
POS,7,01/01/2005
POS,5,02/01/2005
POS,10,03/01/2005
POS,11,04/01/2005
POS,4,05/01/2005
POS,5,06/01/2005
POS,7,07/01/2005
POS,4,08/01/2005
POS,10,09/01/2005
POS,5,10/01/2005
POS,7,11/01/2005
POS,4,12/01/2005
POS,9,01/01/2006
POS,11,02/01/2006
POS,10,03/01/2006
POS,7,04/01/2006
POS,5,05/01/2006
POS,7,06/01/2006
POS,3,07/01/2006
POS,5,08/01/2006
POS,4,09/01/2006
POS,8,10/01/2006
POS,3,11/01/2006
POS,2,12/01/2006
POS,11,01/01/2007
POS,7,02/01/2007
POS,6,03/01/2007
POS,8,04/01/2007
POS,8,05/01/2007
POS,9,06/01/2007
POS,3,07/01/2007
POS,5,08/01/2007
POS,7,09/01/2007
POS,8,10/01/2007
POS,6,11/01/2007
POS,12,12/01/2007
POS,10,01/01/2008
POS,6,02/01/2008
POS,7,03/01/2008
POS,5,04/01/2008
POS,5,05/01/2008
POS,9,06/01/2008
POS,7,07/01/2008
POS,5,08/01/2008
POS,13,09/01/2008
POS,5,10/01/2008
POS,4,11/01/2008
POS,4,12/01/2008
POS,11,01/01/2009
POS,9,02/01/2009
POS,3,03/01/2009
POS,4,04/01/2009
POS,5,05/01/2009
POS,7,06/01/2009
POS,6,07/01/2009
POS,3,08/01/2009
POS,6,09/01/2009
POS,13,10/01/2009
POS,6,11/01/2009
POS,11,12/01/2009
POS,5,01/01/2010
POS,9,02/01/2010
POS,4,03/01/2010
POS,9,04/01/2010
POS,5,05/01/2010
POS,12,06/01/2010
POS,9,07/01/2010
POS,10,08/01/2010
POS,14,09/01/2010
POS,10,10/01/2010
POS,9,11/01/2010
POS,10,12/01/2010
POS,7,01/01/2011
POS,15,02/01/2011
POS,8,03/01/2011
POS,7,04/01/2011
POS,16,05/01/2011
POS,17,06/01/2011
POS,31,07/01/2011
POS,48,08/01/2011
POS,40,09/01/2011
POS,40,10/01/2011
POS,34,11/01/2011
POS,34,12/01/2011
POS,47,01/01/2012
POS,33,02/01/2012
POS,37,03/01/2012
POS,33,04/01/2012
POS,36,05/01/2012
POS,58,06/01/2012
POS,66,07/01/2012
POS,75,08/01/2012
POS,44,09/01/2012
POS,66,10/01/2012
POS,51,11/01/2012
POS,24,12/01/2012
NEG,0,07/01/2002
NEG,0,09/01/2002
NEG,0,03/01/2003
NEG,0,05/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,1,10/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,0,03/01/2004
NEG,1,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,1,11/01/2004
NEG,1,12/01/2004
NEG,1,01/01/2005
NEG,1,02/01/2005
NEG,1,03/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,1,07/01/2005
NEG,0,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,1,11/01/2005
NEG,1,12/01/2005
NEG,0,01/01/2006
NEG,1,02/01/2006
NEG,1,03/01/2006
NEG,0,04/01/2006
NEG,1,05/01/2006
NEG,1,06/01/2006
NEG,1,07/01/2006
NEG,0,08/01/2006
NEG,3,09/01/2006
NEG,0,10/01/2006
NEG,0,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,1,02/01/2007
NEG,0,03/01/2007
NEG,4,04/01/2007
NEG,1,05/01/2007
NEG,1,06/01/2007
NEG,2,07/01/2007
NEG,2,08/01/2007
NEG,0,09/01/2007
NEG,1,10/01/2007
NEG,1,11/01/2007
NEG,1,12/01/2007
NEG,4,01/01/2008
NEG,2,02/01/2008
NEG,1,03/01/2008
NEG,0,04/01/2008
NEG,1,05/01/2008
NEG,1,06/01/2008
NEG,2,07/01/2008
NEG,1,08/01/2008
NEG,2,09/01/2008
NEG,0,10/01/2008
NEG,3,11/01/2008
NEG,2,12/01/2008
NEG,2,01/01/2009
NEG,1,02/01/2009
NEG,1,03/01/2009
NEG,3,04/01/2009
NEG,1,05/01/2009
NEG,1,06/01/2009
NEG,3,07/01/2009
NEG,3,08/01/2009
NEG,5,09/01/2009
NEG,4,10/01/2009
NEG,1,11/01/2009
NEG,2,12/01/2009
NEG,4,01/01/2010
