label,count,month
POS,8,11/01/2006
POS,5,12/01/2006
POS,8,01/01/2007
POS,11,02/01/2007
POS,8,03/01/2007
POS,8,04/01/2007
POS,3,05/01/2007
POS,7,06/01/2007
POS,4,07/01/2007
POS,3,08/01/2007
POS,1,09/01/2007
POS,3,10/01/2007
POS,4,11/01/2007
POS,4,12/01/2007
POS,10,01/01/2008
POS,7,02/01/2008
POS,5,03/01/2008
POS,5,04/01/2008
POS,2,05/01/2008
POS,5,06/01/2008
POS,2,07/01/2008
POS,5,08/01/2008
POS,4,09/01/2008
POS,7,10/01/2008
POS,2,11/01/2008
POS,9,12/01/2008
POS,6,01/01/2009
POS,6,02/01/2009
POS,3,03/01/2009
POS,8,04/01/2009
POS,8,05/01/2009
POS,7,06/01/2009
POS,10,07/01/2009
POS,6,08/01/2009
POS,5,09/01/2009
POS,5,10/01/2009
POS,9,11/01/2009
POS,2,12/01/2009
POS,7,01/01/2010
POS,5,02/01/2010
POS,9,03/01/2010
POS,9,04/01/2010
POS,6,05/01/2010
POS,4,06/01/2010
POS,8,07/01/2010
POS,14,08/01/2010
POS,9,09/01/2010
POS,4,10/01/2010
POS,10,11/01/2010
POS,7,12/01/2010
POS,7,01/01/2011
POS,4,02/01/2011
POS,8,03/01/2011
POS,14,04/01/2011
POS,9,05/01/2011
POS,7,06/01/2011
POS,8,07/01/2011
POS,14,08/01/2011
POS,10,09/01/2011
POS,9,10/01/2011
POS,13,11/01/2011
POS,9,12/01/2011
POS,14,01/01/2012
POS,12,02/01/2012
POS,11,03/01/2012
POS,9,04/01/2012
POS,8,05/01/2012
POS,10,06/01/2012
POS,15,07/01/2012
POS,17,08/01/2012
POS,13,09/01/2012
POS,13,10/01/2012
POS,10,11/01/2012
POS,5,12/01/2012
NEG,0,11/01/2006
NEG,1,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,2,03/01/2007
NEG,2,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,0,07/01/2007
NEG,4,08/01/2007
NEG,1,09/01/2007
NEG,1,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,2,02/01/2008
NEG,0,03/01/2008
NEG,0,04/01/2008
NEG,1,05/01/2008
NEG,0,06/01/2008
NEG,3,07/01/2008
NEG,1,08/01/2008
NEG,0,09/01/2008
NEG,1,10/01/2008
NEG,2,11/01/2008
NEG,2,12/01/2008
NEG,1,01/01/2009
NEG,1,02/01/2009
NEG,1,03/01/2009
NEG,2,04/01/2009
NEG,4,05/01/2009
NEG,2,06/01/2009
NEG,1,07/01/2009
NEG,3,08/01/2009
NEG,0,09/01/2009
NEG,3,10/01/2009
NEG,3,11/01/2009
NEG,2,12/01/2009
NEG,5,01/01/2010
NEG,2,02/01/2010
NEG,5,03/01/2010
NEG,4,04/01/2010
NEG,0,05/01/2010
NEG,2,06/01/2010
NEG,6,07/01/2010
NEG,6,08/01/2010
NEG,1,09/01/2010
NEG,4,10/01/2010
NEG,2,11/01/2010
NEG,2,12/01/2010
NEG,2,01/01/2011
NEG,4,02/01/2011
NEG,5,03/01/2011
NEG,8,04/01/2011
NEG,4,05/01/2011
NEG,0,06/01/2011
NEG,5,07/01/2011
NEG,8,08/01/2011
NEG,7,09/01/2011
NEG,6,10/01/2011
NEG,8,11/01/2011
NEG,5,12/01/2011
NEG,5,01/01/2012
NEG,5,02/01/2012
NEG,7,03/01/2012
NEG,7,04/01/2012
NEG,4,05/01/2012
NEG,4,06/01/2012
NEG,7,07/01/2012
NEG,8,08/01/2012
NEG,3,09/01/2012
NEG,5,10/01/2012
NEG,3,11/01/2012
NEG,2,12/01/2012
