key,value,date
POS,1,06/01/2010
POS,1,07/01/2010
POS,3,08/01/2010
POS,7,09/01/2010
POS,4,10/01/2010
POS,3,11/01/2010
POS,2,12/01/2010
POS,2,01/01/2011
POS,0,02/01/2011
POS,5,03/01/2011
POS,2,04/01/2011
POS,1,05/01/2011
POS,1,06/01/2011
POS,4,07/01/2011
POS,4,08/01/2011
POS,8,09/01/2011
POS,0,10/01/2011
POS,6,11/01/2011
POS,7,12/01/2011
POS,0,01/01/2012
POS,5,02/01/2012
POS,4,03/01/2012
POS,5,04/01/2012
POS,4,05/01/2012
POS,5,06/01/2012
POS,6,07/01/2012
POS,1,08/01/2012
POS,3,09/01/2012
POS,2,10/01/2012
POS,3,11/01/2012
POS,0,12/01/2012
NEG,0,06/01/2010
NEG,1,07/01/2010
NEG,2,08/01/2010
NEG,2,09/01/2010
NEG,3,10/01/2010
NEG,1,11/01/2010
NEG,3,12/01/2010
NEG,0,01/01/2011
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,4,04/01/2011
NEG,3,05/01/2011
NEG,1,06/01/2011
NEG,4,07/01/2011
NEG,1,08/01/2011
NEG,8,09/01/2011
NEG,3,10/01/2011
NEG,4,11/01/2011
NEG,3,12/01/2011
NEG,2,01/01/2012
NEG,3,02/01/2012
NEG,1,03/01/2012
NEG,3,04/01/2012
NEG,2,05/01/2012
NEG,1,06/01/2012
NEG,0,07/01/2012
NEG,1,08/01/2012
NEG,1,09/01/2012
NEG,0,10/01/2012
NEG,0,11/01/2012
NEG,1,12/01/2012
