label,count,month
POS,0,03/01/2009
POS,1,05/01/2009
POS,1,07/01/2009
POS,1,08/01/2009
POS,8,09/01/2009
POS,12,10/01/2009
POS,2,11/01/2009
POS,4,12/01/2009
POS,2,01/01/2010
POS,2,02/01/2010
POS,4,03/01/2010
POS,3,04/01/2010
POS,5,05/01/2010
POS,5,06/01/2010
POS,8,07/01/2010
POS,8,08/01/2010
POS,2,09/01/2010
POS,10,10/01/2010
POS,6,11/01/2010
POS,7,12/01/2010
POS,7,01/01/2011
POS,9,02/01/2011
POS,9,03/01/2011
POS,16,04/01/2011
POS,21,05/01/2011
POS,8,06/01/2011
POS,22,07/01/2011
POS,11,08/01/2011
POS,13,09/01/2011
POS,21,10/01/2011
POS,22,11/01/2011
POS,13,12/01/2011
POS,23,01/01/2012
POS,19,02/01/2012
POS,25,03/01/2012
POS,27,04/01/2012
POS,28,05/01/2012
POS,24,06/01/2012
POS,20,07/01/2012
POS,21,08/01/2012
POS,24,09/01/2012
POS,28,10/01/2012
POS,20,11/01/2012
POS,15,12/01/2012
NEG,1,03/01/2009
NEG,0,05/01/2009
NEG,1,07/01/2009
NEG,0,08/01/2009
NEG,2,09/01/2009
NEG,2,10/01/2009
NEG,2,11/01/2009
NEG,3,12/01/2009
NEG,3,01/01/2010
NEG,1,02/01/2010
NEG,6,03/01/2010
NEG,0,04/01/2010
NEG,3,05/01/2010
NEG,2,06/01/2010
NEG,5,07/01/2010
NEG,1,08/01/2010
NEG,2,09/01/2010
NEG,8,10/01/2010
NEG,2,11/01/2010
NEG,4,12/01/2010
NEG,3,01/01/2011
NEG,0,02/01/2011
NEG,4,03/01/2011
NEG,8,04/01/2011
NEG,9,05/01/2011
NEG,7,06/01/2011
NEG,4,07/01/2011
NEG,9,08/01/2011
NEG,9,09/01/2011
NEG,11,10/01/2011
NEG,6,11/01/2011
NEG,5,12/01/2011
NEG,2,01/01/2012
NEG,2,02/01/2012
NEG,0,03/01/2012
NEG,3,04/01/2012
NEG,10,05/01/2012
NEG,6,06/01/2012
NEG,3,07/01/2012
NEG,4,08/01/2012
NEG,4,09/01/2012
NEG,9,10/01/2012
NEG,6,11/01/2012
NEG,0,12/01/2012
