label,count,month
POS,1,11/01/2002
POS,1,01/01/2003
POS,1,07/01/2003
POS,1,08/01/2003
POS,0,09/01/2003
POS,1,10/01/2003
POS,2,11/01/2003
POS,1,12/01/2003
POS,3,01/01/2004
POS,0,02/01/2004
POS,1,03/01/2004
POS,1,04/01/2004
POS,2,05/01/2004
POS,1,06/01/2004
POS,4,07/01/2004
POS,2,08/01/2004
POS,0,09/01/2004
POS,1,10/01/2004
POS,7,11/01/2004
POS,3,12/01/2004
POS,3,01/01/2005
POS,4,02/01/2005
POS,2,04/01/2005
POS,4,05/01/2005
POS,2,06/01/2005
POS,5,07/01/2005
POS,3,08/01/2005
POS,5,09/01/2005
POS,5,10/01/2005
POS,2,11/01/2005
POS,5,12/01/2005
POS,1,01/01/2006
POS,3,02/01/2006
POS,6,03/01/2006
POS,5,04/01/2006
POS,3,05/01/2006
POS,8,06/01/2006
POS,6,07/01/2006
POS,6,08/01/2006
POS,3,09/01/2006
POS,4,10/01/2006
POS,5,11/01/2006
POS,3,12/01/2006
POS,9,01/01/2007
POS,1,02/01/2007
POS,7,03/01/2007
POS,4,04/01/2007
POS,4,05/01/2007
POS,5,06/01/2007
POS,6,07/01/2007
POS,4,08/01/2007
POS,3,09/01/2007
POS,3,10/01/2007
POS,10,11/01/2007
POS,7,12/01/2007
POS,6,01/01/2008
POS,4,02/01/2008
POS,6,03/01/2008
POS,8,04/01/2008
POS,5,05/01/2008
POS,5,06/01/2008
POS,5,07/01/2008
POS,11,08/01/2008
POS,12,09/01/2008
POS,7,10/01/2008
POS,12,11/01/2008
POS,7,12/01/2008
POS,3,01/01/2009
POS,8,02/01/2009
POS,6,03/01/2009
POS,9,04/01/2009
POS,9,05/01/2009
POS,13,06/01/2009
POS,10,07/01/2009
POS,13,08/01/2009
POS,11,09/01/2009
POS,12,10/01/2009
POS,15,11/01/2009
POS,13,12/01/2009
POS,9,01/01/2010
POS,8,02/01/2010
POS,10,03/01/2010
POS,11,04/01/2010
POS,10,05/01/2010
POS,11,06/01/2010
POS,6,07/01/2010
POS,13,08/01/2010
POS,11,09/01/2010
POS,6,10/01/2010
POS,16,11/01/2010
POS,9,12/01/2010
POS,7,01/01/2011
POS,4,02/01/2011
POS,17,03/01/2011
POS,17,04/01/2011
POS,8,05/01/2011
POS,18,06/01/2011
POS,23,07/01/2011
POS,23,08/01/2011
POS,24,09/01/2011
POS,20,10/01/2011
POS,23,11/01/2011
POS,22,12/01/2011
POS,31,01/01/2012
POS,18,02/01/2012
POS,27,03/01/2012
POS,17,04/01/2012
POS,20,05/01/2012
POS,22,06/01/2012
POS,32,07/01/2012
POS,18,08/01/2012
POS,20,09/01/2012
POS,21,10/01/2012
POS,27,11/01/2012
POS,9,12/01/2012
NEG,0,11/01/2002
NEG,0,01/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,1,09/01/2003
NEG,0,10/01/2003
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,2,01/01/2004
NEG,1,02/01/2004
NEG,0,03/01/2004
NEG,1,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,2,08/01/2004
NEG,2,09/01/2004
NEG,2,10/01/2004
NEG,1,11/01/2004
NEG,0,12/01/2004
NEG,4,01/01/2005
NEG,0,02/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,1,06/01/2005
NEG,1,07/01/2005
NEG,4,08/01/2005
NEG,3,09/01/2005
NEG,1,10/01/2005
NEG,4,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,1,04/01/2006
NEG,0,05/01/2006
NEG,1,06/01/2006
NEG,1,07/01/2006
NEG,1,08/01/2006
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,1,11/01/2006
NEG,0,12/01/2006
NEG,2,01/01/2007
NEG,0,02/01/2007
NEG,2,03/01/2007
NEG,2,04/01/2007
NEG,4,05/01/2007
NEG,2,06/01/2007
NEG,1,07/01/2007
NEG,1,08/01/2007
NEG,3,09/01/2007
NEG,3,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,1,02/01/2008
NEG,4,03/01/2008
NEG,4,04/01/2008
NEG,1,05/01/2008
NEG,5,06/01/2008
NEG,1,07/01/2008
NEG,4,08/01/2008
NEG,2,09/01/2008
NEG,1,10/01/2008
NEG,3,11/01/2008
NEG,1,12/01/2008
NEG,3,01/01/2009
NEG,2,02/01/2009
NEG,5,03/01/2009
NEG,9,04/01/2009
NEG,6,05/01/2009
NEG,10,06/01/2009
NEG,7,07/01/2009
NEG,8,08/01/2009
NEG,9,09/01/2009
NEG,6,10/01/2009
NEG,7,11/01/2009
NEG,6,12/01/2009
NEG,7,01/01/2010
NEG,1,02/01/2010
NEG,3,03/01/2010
NEG,11,04/01/2010
NEG,8,05/01/2010
NEG,7,06/01/2010
NEG,10,07/01/2010
NEG,7,08/01/2010
NEG,8,09/01/2010
NEG,11,10/01/2010
NEG,12,11/01/2010
NEG,11,12/01/2010
NEG,9,01/01/2011
NEG,7,02/01/2011
NEG,5,03/01/2011
NEG,12,04/01/2011
NEG,6,05/01/2011
NEG,13,06/01/2011
NEG,20,07/01/2011
NEG,19,08/01/2011
NEG,13,09/01/2011
NEG,15,10/01/2011
NEG,13,11/01/2011
NEG,15,12/01/2011
NEG,14,01/01/2012
NEG,15,02/01/2012
NEG,12,03/01/2012
NEG,16,04/01/2012
NEG,11,05/01/2012
NEG,9,06/01/2012
NEG,24,07/01/2012
NEG,15,08/01/2012
NEG,15,09/01/2012
NEG,14,10/01/2012
NEG,12,11/01/2012
NEG,10,12/01/2012
