label,count,month
POS,4,02/01/2007
POS,7,03/01/2007
POS,9,04/01/2007
POS,4,05/01/2007
POS,2,06/01/2007
POS,4,07/01/2007
POS,5,08/01/2007
POS,3,09/01/2007
POS,5,10/01/2007
POS,0,11/01/2007
POS,3,12/01/2007
POS,3,01/01/2008
POS,8,02/01/2008
POS,10,03/01/2008
POS,6,04/01/2008
POS,4,05/01/2008
POS,7,06/01/2008
POS,4,07/01/2008
POS,5,08/01/2008
POS,5,09/01/2008
POS,3,10/01/2008
POS,3,11/01/2008
POS,2,12/01/2008
POS,6,01/01/2009
POS,3,02/01/2009
POS,4,03/01/2009
POS,3,04/01/2009
POS,2,05/01/2009
POS,2,06/01/2009
POS,1,07/01/2009
POS,2,08/01/2009
POS,3,09/01/2009
POS,9,10/01/2009
POS,1,11/01/2009
POS,6,12/01/2009
POS,1,01/01/2010
POS,1,02/01/2010
POS,2,03/01/2010
POS,1,04/01/2010
POS,5,05/01/2010
POS,1,06/01/2010
POS,7,07/01/2010
POS,1,08/01/2010
POS,8,09/01/2010
POS,8,10/01/2010
POS,4,11/01/2010
POS,1,12/01/2010
POS,4,01/01/2011
POS,8,02/01/2011
POS,4,03/01/2011
POS,5,04/01/2011
POS,9,05/01/2011
POS,9,06/01/2011
POS,8,07/01/2011
POS,11,08/01/2011
POS,12,09/01/2011
POS,5,10/01/2011
POS,5,11/01/2011
POS,10,12/01/2011
POS,10,01/01/2012
POS,5,02/01/2012
POS,9,03/01/2012
POS,11,04/01/2012
POS,15,05/01/2012
POS,6,06/01/2012
POS,9,07/01/2012
POS,19,08/01/2012
POS,10,09/01/2012
POS,8,10/01/2012
POS,11,11/01/2012
POS,4,12/01/2012
NEG,1,02/01/2007
NEG,1,03/01/2007
NEG,0,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,1,07/01/2007
NEG,0,08/01/2007
NEG,0,09/01/2007
NEG,1,10/01/2007
NEG,2,11/01/2007
NEG,0,12/01/2007
NEG,0,01/01/2008
NEG,0,02/01/2008
NEG,3,03/01/2008
NEG,5,04/01/2008
NEG,5,05/01/2008
NEG,4,06/01/2008
NEG,3,07/01/2008
NEG,6,08/01/2008
NEG,1,09/01/2008
NEG,5,10/01/2008
NEG,1,11/01/2008
NEG,3,12/01/2008
NEG,0,01/01/2009
NEG,1,02/01/2009
NEG,0,03/01/2009
NEG,2,04/01/2009
NEG,3,05/01/2009
NEG,3,06/01/2009
NEG,4,07/01/2009
NEG,2,08/01/2009
NEG,2,09/01/2009
NEG,1,10/01/2009
NEG,1,11/01/2009
NEG,1,12/01/2009
NEG,0,01/01/2010
NEG,2,02/01/2010
NEG,1,03/01/2010
NEG,3,04/01/2010
NEG,0,05/01/2010
NEG,4,06/01/2010
NEG,1,07/01/2010
NEG,5,08/01/2010
NEG,3,09/01/2010
NEG,5,10/01/2010
NEG,5,11/01/2010
NEG,6,12/01/2010
NEG,3,01/01/2011
NEG,2,02/01/2011
NEG,6,03/01/2011
NEG,6,04/01/2011
NEG,5,05/01/2011
NEG,3,06/01/2011
NEG,3,07/01/2011
NEG,2,08/01/2011
NEG,5,09/01/2011
NEG,2,10/01/2011
NEG,4,11/01/2011
NEG,4,12/01/2011
NEG,2,01/01/2012
NEG,2,02/01/2012
NEG,0,03/01/2012
NEG,3,04/01/2012
NEG,3,05/01/2012
NEG,1,06/01/2012
NEG,1,07/01/2012
NEG,2,08/01/2012
NEG,0,09/01/2012
NEG,3,10/01/2012
NEG,1,11/01/2012
NEG,1,12/01/2012
