key,value,date
POS,1,08/01/2002
POS,2,11/01/2002
POS,3,01/01/2003
POS,2,03/01/2003
POS,1,04/01/2003
POS,1,05/01/2003
POS,1,06/01/2003
POS,5,07/01/2003
POS,2,08/01/2003
POS,2,09/01/2003
POS,4,10/01/2003
POS,0,11/01/2003
POS,3,12/01/2003
POS,4,01/01/2004
POS,2,02/01/2004
POS,2,03/01/2004
POS,4,04/01/2004
POS,3,05/01/2004
POS,6,06/01/2004
POS,3,07/01/2004
POS,4,08/01/2004
POS,3,09/01/2004
POS,7,10/01/2004
POS,5,11/01/2004
POS,6,12/01/2004
POS,10,01/01/2005
POS,3,02/01/2005
POS,5,03/01/2005
POS,10,04/01/2005
POS,6,05/01/2005
POS,4,06/01/2005
POS,3,07/01/2005
POS,3,08/01/2005
POS,5,09/01/2005
POS,7,10/01/2005
POS,6,11/01/2005
POS,8,12/01/2005
POS,7,01/01/2006
POS,3,02/01/2006
POS,6,03/01/2006
POS,8,04/01/2006
POS,5,05/01/2006
POS,2,06/01/2006
POS,6,07/01/2006
POS,6,08/01/2006
POS,6,09/01/2006
POS,12,10/01/2006
POS,6,11/01/2006
POS,6,12/01/2006
POS,3,01/01/2007
POS,4,02/01/2007
POS,4,03/01/2007
POS,5,04/01/2007
POS,7,05/01/2007
POS,6,06/01/2007
POS,5,07/01/2007
POS,6,08/01/2007
POS,7,09/01/2007
POS,2,10/01/2007
POS,9,11/01/2007
POS,2,12/01/2007
POS,5,01/01/2008
POS,2,02/01/2008
POS,3,03/01/2008
POS,4,04/01/2008
POS,1,05/01/2008
POS,3,06/01/2008
POS,7,07/01/2008
POS,8,08/01/2008
POS,7,09/01/2008
POS,8,10/01/2008
POS,2,11/01/2008
POS,4,12/01/2008
POS,6,01/01/2009
POS,4,02/01/2009
POS,5,03/01/2009
POS,6,04/01/2009
POS,6,05/01/2009
POS,3,06/01/2009
POS,8,07/01/2009
POS,12,08/01/2009
POS,9,09/01/2009
POS,12,10/01/2009
POS,11,11/01/2009
POS,11,12/01/2009
POS,11,01/01/2010
POS,3,02/01/2010
POS,6,03/01/2010
POS,7,04/01/2010
POS,14,05/01/2010
POS,5,06/01/2010
POS,11,07/01/2010
POS,13,08/01/2010
POS,18,09/01/2010
POS,27,10/01/2010
POS,14,11/01/2010
POS,13,12/01/2010
POS,15,01/01/2011
POS,9,02/01/2011
POS,8,03/01/2011
POS,13,04/01/2011
POS,18,05/01/2011
POS,17,06/01/2011
POS,26,07/01/2011
POS,27,08/01/2011
POS,23,09/01/2011
POS,36,10/01/2011
POS,38,11/01/2011
POS,22,12/01/2011
POS,30,01/01/2012
POS,19,02/01/2012
POS,15,03/01/2012
POS,39,04/01/2012
POS,25,05/01/2012
POS,30,06/01/2012
POS,36,07/01/2012
POS,35,08/01/2012
POS,31,09/01/2012
POS,34,10/01/2012
POS,34,11/01/2012
POS,23,12/01/2012
NEG,0,08/01/2002
NEG,0,11/01/2002
NEG,0,01/01/2003
NEG,0,03/01/2003
NEG,1,04/01/2003
