key,value,date
POS,1,07/01/2002
POS,2,10/01/2002
POS,1,11/01/2002
POS,1,06/01/2003
POS,2,08/01/2003
POS,2,09/01/2003
POS,3,10/01/2003
POS,2,11/01/2003
POS,2,12/01/2003
POS,1,01/01/2004
POS,4,02/01/2004
POS,2,03/01/2004
POS,3,05/01/2004
POS,7,06/01/2004
POS,2,07/01/2004
POS,7,08/01/2004
POS,2,09/01/2004
POS,3,10/01/2004
POS,6,11/01/2004
POS,1,12/01/2004
POS,1,01/01/2005
POS,4,03/01/2005
POS,5,04/01/2005
POS,2,05/01/2005
POS,4,06/01/2005
POS,8,07/01/2005
POS,5,08/01/2005
POS,0,09/01/2005
POS,5,10/01/2005
POS,7,11/01/2005
POS,3,12/01/2005
POS,5,01/01/2006
POS,2,02/01/2006
POS,3,03/01/2006
POS,7,04/01/2006
POS,8,05/01/2006
POS,9,06/01/2006
POS,4,07/01/2006
POS,2,08/01/2006
POS,10,09/01/2006
POS,13,10/01/2006
POS,6,11/01/2006
POS,6,12/01/2006
POS,5,01/01/2007
POS,1,02/01/2007
POS,8,03/01/2007
POS,7,04/01/2007
POS,11,05/01/2007
POS,6,06/01/2007
POS,7,07/01/2007
POS,2,08/01/2007
POS,7,09/01/2007
POS,6,10/01/2007
POS,11,11/01/2007
POS,3,12/01/2007
POS,9,01/01/2008
POS,7,02/01/2008
POS,6,03/01/2008
POS,10,04/01/2008
POS,9,05/01/2008
POS,9,06/01/2008
POS,12,07/01/2008
POS,7,08/01/2008
POS,8,09/01/2008
POS,10,10/01/2008
POS,8,11/01/2008
POS,1,12/01/2008
POS,13,01/01/2009
POS,13,02/01/2009
POS,13,03/01/2009
POS,6,04/01/2009
POS,9,05/01/2009
POS,6,06/01/2009
POS,7,07/01/2009
POS,12,08/01/2009
POS,7,09/01/2009
POS,18,10/01/2009
POS,6,11/01/2009
POS,4,12/01/2009
POS,11,01/01/2010
POS,6,02/01/2010
POS,8,03/01/2010
POS,12,04/01/2010
POS,13,05/01/2010
POS,11,06/01/2010
POS,14,07/01/2010
POS,8,08/01/2010
POS,11,09/01/2010
POS,14,10/01/2010
POS,7,11/01/2010
POS,8,12/01/2010
POS,19,01/01/2011
POS,9,02/01/2011
POS,15,03/01/2011
POS,15,04/01/2011
POS,14,05/01/2011
POS,17,06/01/2011
POS,19,07/01/2011
POS,33,08/01/2011
POS,19,09/01/2011
POS,19,10/01/2011
POS,20,11/01/2011
POS,19,12/01/2011
POS,16,01/01/2012
POS,12,02/01/2012
POS,14,03/01/2012
POS,19,04/01/2012
POS,8,05/01/2012
POS,21,06/01/2012
POS,26,07/01/2012
POS,19,08/01/2012
POS,14,09/01/2012
POS,8,10/01/2012
POS,15,11/01/2012
POS,6,12/01/2012
NEG,0,07/01/2002
NEG,0,10/01/2002
NEG,0,11/01/2002
NEG,0,06/01/2003
NEG,0,08/01/2003
NEG,0,09/01/2003
NEG,0,10/01/2003
NEG,1,11/01/2003
NEG,1,12/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,0,03/01/2004
NEG,0,05/01/2004
NEG,2,06/01/2004
NEG,2,07/01/2004
NEG,1,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,2,11/01/2004
NEG,2,12/01/2004
NEG,1,01/01/2005
NEG,0,03/01/2005
NEG,2,04/01/2005
NEG,2,05/01/2005
NEG,0,06/01/2005
NEG,1,07/01/2005
NEG,3,08/01/2005
NEG,1,09/01/2005
NEG,1,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,1,01/01/2006
NEG,0,02/01/2006
NEG,2,03/01/2006
NEG,1,04/01/2006
NEG,2,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,1,08/01/2006
NEG,1,09/01/2006
NEG,4,10/01/2006
NEG,2,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,1,02/01/2007
NEG,2,03/01/2007
NEG,1,04/01/2007
NEG,3,05/01/2007
NEG,0,06/01/2007
NEG,2,07/01/2007
NEG,3,08/01/2007
NEG,2,09/01/2007
NEG,4,10/01/2007
NEG,3,11/01/2007
NEG,6,12/01/2007
NEG,5,01/01/2008
NEG,2,02/01/2008
NEG,6,03/01/2008
NEG,9,04/01/2008
NEG,5,05/01/2008
NEG,4,06/01/2008
NEG,11,07/01/2008
NEG,5,08/01/2008
NEG,10,09/01/2008
NEG,11,10/01/2008
NEG,4,11/01/2008
NEG,7,12/01/2008
NEG,11,01/01/2009
NEG,2,02/01/2009
NEG,5,03/01/2009
NEG,9,04/01/2009
NEG,9,05/01/2009
NEG,9,06/01/2009
NEG,5,07/01/2009
NEG,12,08/01/2009
NEG,7,09/01/2009
NEG,12,10/01/2009
NEG,4,11/01/2009
NEG,7,12/01/2009
NEG,0,01/01/2010
NEG,1,02/01/2010
NEG,1,03/01/2010
NEG,4,04/01/2010
NEG,7,05/01/2010
NEG,8,06/01/2010
NEG,12,07/01/2010
NEG,11,08/01/2010
NEG,15,09/01/2010
NEG,8,10/01/2010
NEG,10,11/01/2010
NEG,2,12/01/2010
NEG,2,01/01/2011
NEG,7,02/01/2011
NEG,5,03/01/2011
NEG,8,04/01/2011
NEG,5,05/01/2011
NEG,6,06/01/2011
NEG,13,07/01/2011
NEG,13,08/01/2011
NEG,10,09/01/2011
NEG,9,10/01/2011
NEG,7,11/01/2011
NEG,3,12/01/2011
NEG,11,01/01/2012
NEG,5,02/01/2012
NEG,10,03/01/2012
NEG,4,04/01/2012
NEG,3,05/01/2012
NEG,3,06/01/2012
NEG,12,07/01/2012
NEG,7,08/01/2012
NEG,4,09/01/2012
NEG,6,10/01/2012
NEG,3,11/01/2012
NEG,3,12/01/2012
