label,count,month
POS,0,10/01/2002
POS,0,12/01/2002
POS,1,01/01/2003
POS,1,02/01/2003
POS,1,03/01/2003
POS,1,05/01/2003
POS,1,06/01/2003
POS,0,07/01/2003
POS,1,08/01/2003
POS,2,10/01/2003
POS,1,11/01/2003
POS,3,12/01/2003
POS,2,01/01/2004
POS,1,02/01/2004
POS,2,03/01/2004
POS,1,04/01/2004
POS,4,05/01/2004
POS,3,06/01/2004
POS,4,07/01/2004
POS,2,08/01/2004
POS,3,09/01/2004
POS,3,10/01/2004
POS,4,11/01/2004
POS,3,12/01/2004
POS,3,01/01/2005
POS,3,02/01/2005
POS,4,03/01/2005
POS,1,04/01/2005
POS,7,05/01/2005
POS,1,06/01/2005
POS,10,07/01/2005
POS,4,08/01/2005
POS,2,09/01/2005
POS,5,10/01/2005
POS,1,11/01/2005
POS,10,12/01/2005
POS,4,01/01/2006
POS,3,02/01/2006
POS,4,03/01/2006
POS,2,04/01/2006
POS,1,05/01/2006
POS,2,06/01/2006
POS,1,07/01/2006
POS,2,08/01/2006
POS,3,09/01/2006
POS,7,10/01/2006
POS,5,11/01/2006
POS,2,12/01/2006
POS,7,01/01/2007
POS,2,02/01/2007
POS,0,03/01/2007
POS,1,04/01/2007
POS,6,05/01/2007
POS,3,06/01/2007
POS,3,07/01/2007
POS,4,08/01/2007
POS,10,09/01/2007
POS,12,10/01/2007
POS,7,11/01/2007
POS,9,12/01/2007
POS,7,01/01/2008
POS,2,02/01/2008
POS,8,03/01/2008
POS,4,04/01/2008
POS,3,05/01/2008
POS,6,06/01/2008
POS,6,07/01/2008
POS,5,08/01/2008
POS,9,09/01/2008
POS,6,10/01/2008
POS,5,11/01/2008
POS,9,12/01/2008
POS,3,01/01/2009
POS,6,02/01/2009
POS,2,03/01/2009
POS,3,04/01/2009
POS,1,05/01/2009
POS,1,06/01/2009
POS,2,07/01/2009
POS,2,08/01/2009
POS,9,09/01/2009
POS,6,10/01/2009
POS,5,11/01/2009
POS,6,12/01/2009
POS,4,01/01/2010
POS,4,02/01/2010
POS,3,03/01/2010
POS,1,04/01/2010
POS,4,05/01/2010
POS,5,06/01/2010
POS,5,07/01/2010
POS,5,08/01/2010
POS,3,09/01/2010
POS,10,10/01/2010
POS,3,11/01/2010
POS,9,12/01/2010
POS,4,01/01/2011
POS,4,02/01/2011
POS,1,03/01/2011
POS,8,04/01/2011
POS,26,05/01/2011
POS,32,06/01/2011
POS,21,07/01/2011
POS,26,08/01/2011
POS,30,09/01/2011
POS,47,10/01/2011
POS,35,11/01/2011
POS,29,12/01/2011
POS,22,01/01/2012
POS,12,02/01/2012
POS,22,03/01/2012
POS,27,04/01/2012
POS,23,05/01/2012
POS,15,06/01/2012
POS,16,07/01/2012
POS,23,08/01/2012
POS,25,09/01/2012
POS,23,10/01/2012
POS,39,11/01/2012
POS,19,12/01/2012
NEG,1,10/01/2002
NEG,2,12/01/2002
NEG,2,01/01/2003
NEG,0,02/01/2003
NEG,0,03/01/2003
NEG,0,05/01/2003
NEG,1,06/01/2003
NEG,1,07/01/2003
NEG,0,08/01/2003
NEG,4,10/01/2003
NEG,1,11/01/2003
NEG,0,12/01/2003
NEG,3,01/01/2004
NEG,2,02/01/2004
NEG,0,03/01/2004
NEG,5,04/01/2004
NEG,3,05/01/2004
NEG,6,06/01/2004
NEG,1,07/01/2004
NEG,4,08/01/2004
NEG,5,09/01/2004
NEG,4,10/01/2004
NEG,9,11/01/2004
NEG,14,12/01/2004
NEG,9,01/01/2005
NEG,4,02/01/2005
NEG,13,03/01/2005
NEG,12,04/01/2005
NEG,9,05/01/2005
NEG,11,06/01/2005
NEG,5,07/01/2005
NEG,6,08/01/2005
NEG,9,09/01/2005
NEG,11,10/01/2005
NEG,8,11/01/2005
NEG,15,12/01/2005
NEG,17,01/01/2006
NEG,4,02/01/2006
NEG,3,03/01/2006
NEG,6,04/01/2006
NEG,1,05/01/2006
NEG,1,06/01/2006
NEG,2,07/01/2006
NEG,6,08/01/2006
NEG,6,09/01/2006
NEG,4,10/01/2006
NEG,10,11/01/2006
NEG,12,12/01/2006
NEG,14,01/01/2007
NEG,7,02/01/2007
NEG,4,03/01/2007
NEG,8,04/01/2007
NEG,7,05/01/2007
NEG,5,06/01/2007
NEG,7,07/01/2007
NEG,8,08/01/2007
NEG,20,09/01/2007
NEG,13,10/01/2007
NEG,13,11/01/2007
NEG,14,12/01/2007
NEG,15,01/01/2008
NEG,11,02/01/2008
NEG,13,03/01/2008
NEG,8,04/01/2008
NEG,13,05/01/2008
NEG,10,06/01/2008
NEG,3,07/01/2008
NEG,12,08/01/2008
NEG,12,09/01/2008
NEG,17,10/01/2008
NEG,6,11/01/2008
NEG,17,12/01/2008
NEG,15,01/01/2009
NEG,7,02/01/2009
NEG,14,03/01/2009
NEG,2,04/01/2009
NEG,5,05/01/2009
NEG,8,06/01/2009
NEG,4,07/01/2009
NEG,8,08/01/2009
NEG,6,09/01/2009
NEG,8,10/01/2009
NEG,8,11/01/2009
NEG,3,12/01/2009
NEG,7,01/01/2010
NEG,5,02/01/2010
NEG,4,03/01/2010
NEG,1,04/01/2010
NEG,4,05/01/2010
NEG,3,06/01/2010
NEG,7,07/01/2010
NEG,7,08/01/2010
NEG,13,09/01/2010
NEG,10,10/01/2010
NEG,9,11/01/2010
NEG,8,12/01/2010
NEG,16,01/01/2011
NEG,5,02/01/2011
NEG,4,03/01/2011
NEG,19,04/01/2011
NEG,32,05/01/2011
NEG,40,06/01/2011
NEG,36,07/01/2011
NEG,65,08/01/2011
NEG,56,09/01/2011
NEG,62,10/01/2011
NEG,70,11/01/2011
NEG,38,12/01/2011
NEG,21,01/01/2012
NEG,6,02/01/2012
NEG,17,03/01/2012
NEG,44,04/01/2012
NEG,30,05/01/2012
NEG,18,06/01/2012
NEG,25,07/01/2012
NEG,34,08/01/2012
NEG,32,09/01/2012
NEG,39,10/01/2012
NEG,22,11/01/2012
NEG,18,12/01/2012
