label,count,month
POS,1,08/01/2002
POS,1,11/01/2002
POS,1,01/01/2003
POS,1,02/01/2003
POS,1,03/01/2003
POS,2,05/01/2003
POS,3,06/01/2003
POS,2,07/01/2003
POS,1,11/01/2003
POS,1,01/01/2004
POS,1,02/01/2004
POS,2,05/01/2004
POS,2,06/01/2004
POS,2,07/01/2004
POS,1,08/01/2004
POS,2,09/01/2004
POS,2,10/01/2004
POS,1,12/01/2004
POS,1,01/01/2005
POS,0,02/01/2005
POS,0,04/01/2005
POS,1,05/01/2005
POS,1,06/01/2005
POS,1,07/01/2005
POS,1,08/01/2005
POS,1,10/01/2005
POS,2,11/01/2005
POS,1,12/01/2005
POS,2,01/01/2006
POS,1,03/01/2006
POS,1,04/01/2006
POS,2,05/01/2006
POS,3,06/01/2006
POS,3,07/01/2006
POS,5,09/01/2006
POS,6,10/01/2006
POS,3,11/01/2006
POS,4,12/01/2006
POS,1,01/01/2007
POS,2,02/01/2007
POS,2,04/01/2007
POS,2,05/01/2007
POS,5,06/01/2007
POS,3,07/01/2007
POS,4,08/01/2007
POS,4,09/01/2007
POS,4,10/01/2007
POS,5,11/01/2007
POS,6,12/01/2007
POS,3,01/01/2008
POS,4,02/01/2008
POS,3,03/01/2008
POS,11,04/01/2008
POS,7,05/01/2008
POS,6,06/01/2008
POS,10,07/01/2008
POS,6,08/01/2008
POS,4,09/01/2008
POS,9,10/01/2008
POS,14,11/01/2008
POS,10,12/01/2008
POS,5,01/01/2009
POS,12,02/01/2009
POS,8,03/01/2009
POS,13,04/01/2009
POS,22,05/01/2009
POS,21,06/01/2009
POS,8,07/01/2009
POS,17,08/01/2009
POS,15,09/01/2009
POS,12,10/01/2009
POS,8,11/01/2009
POS,8,12/01/2009
POS,18,01/01/2010
POS,9,02/01/2010
POS,6,03/01/2010
POS,10,04/01/2010
POS,17,05/01/2010
POS,14,06/01/2010
POS,13,07/01/2010
POS,14,08/01/2010
POS,10,09/01/2010
POS,11,10/01/2010
POS,8,11/01/2010
POS,6,12/01/2010
POS,12,01/01/2011
POS,4,02/01/2011
POS,11,03/01/2011
POS,10,04/01/2011
POS,18,05/01/2011
POS,16,06/01/2011
POS,22,07/01/2011
POS,19,08/01/2011
POS,12,09/01/2011
POS,9,10/01/2011
POS,14,11/01/2011
POS,9,12/01/2011
POS,22,01/01/2012
POS,18,02/01/2012
POS,8,03/01/2012
POS,14,04/01/2012
POS,29,05/01/2012
POS,32,06/01/2012
POS,29,07/01/2012
POS,33,08/01/2012
POS,17,09/01/2012
POS,22,10/01/2012
POS,25,11/01/2012
POS,5,12/01/2012
NEG,0,08/01/2002
NEG,0,11/01/2002
NEG,0,01/01/2003
NEG,1,02/01/2003
NEG,0,03/01/2003
NEG,0,05/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,0,11/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,1,05/01/2004
NEG,0,06/01/2004
NEG,1,07/01/2004
NEG,0,08/01/2004
NEG,2,09/01/2004
NEG,1,10/01/2004
NEG,0,12/01/2004
NEG,1,01/01/2005
NEG,1,02/01/2005
NEG,1,04/01/2005
NEG,0,05/01/2005
NEG,1,06/01/2005
NEG,1,07/01/2005
NEG,0,08/01/2005
NEG,1,10/01/2005
NEG,1,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,03/01/2006
NEG,0,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,0,09/01/2006
NEG,3,10/01/2006
NEG,1,11/01/2006
NEG,1,12/01/2006
NEG,1,01/01/2007
NEG,0,02/01/2007
NEG,0,04/01/2007
NEG,2,05/01/2007
NEG,1,06/01/2007
NEG,1,07/01/2007
NEG,0,08/01/2007
NEG,6,09/01/2007
NEG,2,10/01/2007
NEG,0,11/01/2007
NEG,1,12/01/2007
NEG,2,01/01/2008
NEG,0,02/01/2008
NEG,1,03/01/2008
NEG,6,04/01/2008
NEG,8,05/01/2008
NEG,3,06/01/2008
NEG,5,07/01/2008
NEG,5,08/01/2008
NEG,3,09/01/2008
NEG,6,10/01/2008
NEG,3,11/01/2008
NEG,0,12/01/2008
NEG,4,01/01/2009
NEG,4,02/01/2009
NEG,4,03/01/2009
NEG,8,04/01/2009
NEG,11,05/01/2009
NEG,5,06/01/2009
NEG,9,07/01/2009
NEG,8,08/01/2009
NEG,7,09/01/2009
NEG,5,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,5,01/01/2010
NEG,2,02/01/2010
NEG,1,03/01/2010
NEG,9,04/01/2010
NEG,5,05/01/2010
NEG,8,06/01/2010
NEG,5,07/01/2010
NEG,5,08/01/2010
NEG,4,09/01/2010
NEG,6,10/01/2010
NEG,2,11/01/2010
NEG,4,12/01/2010
NEG,6,01/01/2011
NEG,1,02/01/2011
NEG,4,03/01/2011
NEG,7,04/01/2011
NEG,7,05/01/2011
NEG,10,06/01/2011
NEG,9,07/01/2011
NEG,10,08/01/2011
NEG,4,09/01/2011
NEG,1,10/01/2011
NEG,5,11/01/2011
NEG,5,12/01/2011
NEG,1,01/01/2012
NEG,4,02/01/2012
NEG,4,03/01/2012
NEG,8,04/01/2012
NEG,2,05/01/2012
NEG,2,06/01/2012
NEG,8,07/01/2012
NEG,6,08/01/2012
NEG,5,09/01/2012
NEG,1,10/01/2012
NEG,2,11/01/2012
NEG,2,12/01/2012
