label,count,month
POS,5,11/01/2009
POS,7,12/01/2009
POS,7,01/01/2010
POS,6,02/01/2010
POS,13,03/01/2010
POS,11,04/01/2010
POS,13,05/01/2010
POS,10,06/01/2010
POS,16,07/01/2010
POS,14,08/01/2010
POS,16,09/01/2010
POS,13,10/01/2010
POS,15,11/01/2010
POS,7,12/01/2010
POS,9,01/01/2011
POS,7,02/01/2011
POS,7,03/01/2011
POS,17,04/01/2011
POS,10,05/01/2011
POS,8,06/01/2011
POS,15,07/01/2011
POS,21,08/01/2011
POS,17,09/01/2011
POS,27,10/01/2011
POS,23,11/01/2011
POS,16,12/01/2011
POS,25,01/01/2012
POS,11,02/01/2012
POS,14,03/01/2012
POS,13,04/01/2012
POS,16,05/01/2012
POS,21,06/01/2012
POS,22,07/01/2012
POS,12,08/01/2012
POS,11,09/01/2012
POS,13,10/01/2012
POS,10,11/01/2012
POS,5,12/01/2012
NEG,1,11/01/2009
NEG,3,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,0,04/01/2010
NEG,2,05/01/2010
NEG,5,06/01/2010
NEG,0,07/01/2010
NEG,0,08/01/2010
NEG,3,09/01/2010
NEG,7,10/01/2010
NEG,3,11/01/2010
NEG,2,12/01/2010
NEG,3,01/01/2011
NEG,1,02/01/2011
NEG,3,03/01/2011
NEG,3,04/01/2011
NEG,2,05/01/2011
NEG,2,06/01/2011
NEG,2,07/01/2011
NEG,4,08/01/2011
NEG,6,09/01/2011
NEG,1,10/01/2011
NEG,6,11/01/2011
NEG,2,12/01/2011
NEG,9,01/01/2012
NEG,1,02/01/2012
NEG,3,03/01/2012
NEG,3,04/01/2012
NEG,2,05/01/2012
NEG,1,06/01/2012
NEG,3,07/01/2012
NEG,3,08/01/2012
NEG,1,09/01/2012
NEG,3,10/01/2012
NEG,6,11/01/2012
NEG,3,12/01/2012
