key,value,date
POS,1,12/01/2006
POS,2,01/01/2007
POS,7,02/01/2007
POS,9,03/01/2007
POS,11,04/01/2007
POS,9,05/01/2007
POS,4,06/01/2007
POS,6,07/01/2007
POS,17,08/01/2007
POS,6,09/01/2007
POS,9,10/01/2007
POS,8,11/01/2007
POS,10,12/01/2007
POS,16,01/01/2008
POS,9,02/01/2008
POS,22,03/01/2008
POS,11,04/01/2008
POS,8,05/01/2008
POS,14,06/01/2008
POS,14,07/01/2008
POS,21,08/01/2008
POS,6,09/01/2008
POS,9,10/01/2008
POS,12,11/01/2008
POS,6,12/01/2008
POS,7,01/01/2009
POS,15,02/01/2009
POS,16,03/01/2009
POS,13,04/01/2009
POS,11,05/01/2009
POS,16,06/01/2009
POS,10,07/01/2009
POS,11,08/01/2009
POS,8,09/01/2009
POS,10,10/01/2009
POS,6,11/01/2009
POS,15,12/01/2009
POS,13,01/01/2010
POS,7,02/01/2010
POS,13,03/01/2010
POS,14,04/01/2010
POS,12,05/01/2010
POS,15,06/01/2010
POS,9,07/01/2010
POS,11,08/01/2010
POS,14,09/01/2010
POS,19,10/01/2010
POS,9,11/01/2010
POS,11,12/01/2010
POS,20,01/01/2011
POS,16,02/01/2011
POS,18,03/01/2011
POS,15,04/01/2011
POS,13,05/01/2011
POS,15,06/01/2011
POS,20,07/01/2011
POS,27,08/01/2011
POS,17,09/01/2011
POS,30,10/01/2011
POS,23,11/01/2011
POS,27,12/01/2011
POS,38,01/01/2012
POS,25,02/01/2012
POS,38,03/01/2012
POS,57,04/01/2012
POS,40,05/01/2012
POS,27,06/01/2012
POS,21,07/01/2012
POS,30,08/01/2012
POS,28,09/01/2012
POS,36,10/01/2012
POS,28,11/01/2012
POS,16,12/01/2012
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,2,03/01/2007
NEG,0,04/01/2007
NEG,2,05/01/2007
NEG,1,06/01/2007
NEG,3,07/01/2007
NEG,2,08/01/2007
NEG,2,09/01/2007
NEG,1,10/01/2007
NEG,2,11/01/2007
NEG,3,12/01/2007
NEG,1,01/01/2008
NEG,2,02/01/2008
NEG,7,03/01/2008
NEG,2,04/01/2008
NEG,2,05/01/2008
NEG,2,06/01/2008
NEG,3,07/01/2008
NEG,1,08/01/2008
NEG,1,09/01/2008
NEG,5,10/01/2008
NEG,3,11/01/2008
NEG,3,12/01/2008
NEG,2,01/01/2009
NEG,3,02/01/2009
NEG,6,03/01/2009
NEG,7,04/01/2009
NEG,0,05/01/2009
NEG,4,06/01/2009
NEG,4,07/01/2009
NEG,9,08/01/2009
NEG,3,09/01/2009
NEG,1,10/01/2009
NEG,6,11/01/2009
NEG,2,12/01/2009
NEG,3,01/01/2010
NEG,2,02/01/2010
NEG,4,03/01/2010
NEG,4,04/01/2010
NEG,1,05/01/2010
NEG,3,06/01/2010
NEG,1,07/01/2010
NEG,7,08/01/2010
NEG,9,09/01/2010
NEG,6,10/01/2010
NEG,5,11/01/2010
NEG,1,12/01/2010
NEG,8,01/01/2011
NEG,2,02/01/2011
NEG,5,03/01/2011
NEG,7,04/01/2011
NEG,4,05/01/2011
NEG,6,06/01/2011
NEG,8,07/01/2011
NEG,6,08/01/2011
NEG,12,09/01/2011
NEG,7,10/01/2011
NEG,12,11/01/2011
NEG,8,12/01/2011
NEG,7,01/01/2012
NEG,8,02/01/2012
NEG,7,03/01/2012
NEG,10,04/01/2012
NEG,8,05/01/2012
NEG,9,06/01/2012
NEG,10,07/01/2012
NEG,4,08/01/2012
NEG,5,09/01/2012
NEG,7,10/01/2012
NEG,13,11/01/2012
NEG,4,12/01/2012
