label,count,month
POS,0,04/01/2002
POS,1,05/01/2002
POS,0,06/01/2002
POS,0,08/01/2002
POS,1,09/01/2002
POS,0,10/01/2002
POS,1,11/01/2002
POS,5,12/01/2002
POS,2,01/01/2003
POS,1,02/01/2003
POS,1,03/01/2003
POS,3,04/01/2003
POS,1,05/01/2003
POS,6,06/01/2003
POS,4,07/01/2003
POS,2,08/01/2003
POS,1,09/01/2003
POS,3,10/01/2003
POS,9,11/01/2003
POS,11,12/01/2003
POS,13,01/01/2004
POS,13,02/01/2004
POS,9,03/01/2004
POS,14,04/01/2004
POS,9,05/01/2004
POS,13,06/01/2004
POS,5,07/01/2004
POS,14,08/01/2004
POS,8,09/01/2004
POS,5,10/01/2004
POS,18,11/01/2004
POS,17,12/01/2004
POS,18,01/01/2005
POS,8,02/01/2005
POS,13,03/01/2005
POS,10,04/01/2005
POS,17,05/01/2005
POS,10,06/01/2005
POS,8,07/01/2005
POS,11,08/01/2005
POS,6,09/01/2005
POS,7,10/01/2005
POS,11,11/01/2005
POS,16,12/01/2005
POS,13,01/01/2006
POS,10,02/01/2006
POS,18,03/01/2006
POS,16,04/01/2006
POS,11,05/01/2006
POS,11,06/01/2006
POS,8,07/01/2006
POS,9,08/01/2006
POS,8,09/01/2006
POS,21,10/01/2006
POS,17,11/01/2006
POS,14,12/01/2006
POS,18,01/01/2007
POS,8,02/01/2007
POS,13,03/01/2007
POS,9,04/01/2007
POS,9,05/01/2007
POS,11,06/01/2007
POS,7,07/01/2007
POS,13,08/01/2007
POS,21,09/01/2007
POS,20,10/01/2007
POS,17,11/01/2007
POS,16,12/01/2007
POS,17,01/01/2008
POS,12,02/01/2008
POS,11,03/01/2008
POS,14,04/01/2008
POS,16,05/01/2008
POS,16,06/01/2008
POS,12,07/01/2008
POS,8,08/01/2008
POS,21,09/01/2008
POS,16,10/01/2008
POS,6,11/01/2008
POS,16,12/01/2008
POS,9,01/01/2009
POS,9,02/01/2009
POS,8,03/01/2009
POS,16,04/01/2009
POS,17,05/01/2009
POS,12,06/01/2009
POS,23,07/01/2009
POS,27,08/01/2009
POS,17,09/01/2009
POS,19,10/01/2009
POS,11,11/01/2009
POS,26,12/01/2009
POS,8,01/01/2010
POS,15,02/01/2010
POS,17,03/01/2010
POS,17,04/01/2010
POS,41,05/01/2010
POS,33,06/01/2010
POS,28,07/01/2010
POS,25,08/01/2010
POS,43,09/01/2010
POS,25,10/01/2010
POS,36,11/01/2010
POS,31,12/01/2010
POS,25,01/01/2011
POS,23,02/01/2011
POS,40,03/01/2011
POS,42,04/01/2011
POS,49,05/01/2011
POS,34,06/01/2011
POS,34,07/01/2011
POS,47,08/01/2011
POS,29,09/01/2011
POS,49,10/01/2011
POS,45,11/01/2011
POS,29,12/01/2011
POS,43,01/01/2012
POS,25,02/01/2012
POS,30,03/01/2012
POS,37,04/01/2012
POS,31,05/01/2012
POS,59,06/01/2012
POS,50,07/01/2012
POS,50,08/01/2012
POS,40,09/01/2012
POS,36,10/01/2012
POS,40,11/01/2012
POS,35,12/01/2012
NEG,1,04/01/2002
NEG,0,05/01/2002
NEG,1,06/01/2002
NEG,1,08/01/2002
NEG,0,09/01/2002
NEG,2,10/01/2002
NEG,3,11/01/2002
NEG,9,12/01/2002
NEG,0,01/01/2003
NEG,4,02/01/2003
NEG,0,03/01/2003
NEG,0,04/01/2003
NEG,1,05/01/2003
NEG,3,06/01/2003
NEG,3,07/01/2003
NEG,1,08/01/2003
NEG,2,09/01/2003
NEG,10,10/01/2003
NEG,7,11/01/2003
NEG,10,12/01/2003
NEG,12,01/01/2004
NEG,6,02/01/2004
NEG,9,03/01/2004
NEG,17,04/01/2004
NEG,7,05/01/2004
NEG,14,06/01/2004
NEG,9,07/01/2004
NEG,9,08/01/2004
NEG,12,09/01/2004
NEG,16,10/01/2004
NEG,18,11/01/2004
NEG,18,12/01/2004
NEG,14,01/01/2005
NEG,8,02/01/2005
NEG,11,03/01/2005
NEG,10,04/01/2005
NEG,15,05/01/2005
NEG,8,06/01/2005
NEG,15,07/01/2005
NEG,8,08/01/2005
NEG,9,09/01/2005
NEG,23,10/01/2005
NEG,14,11/01/2005
NEG,16,12/01/2005
NEG,11,01/01/2006
NEG,10,02/01/2006
NEG,7,03/01/2006
NEG,13,04/01/2006
NEG,14,05/01/2006
NEG,5,06/01/2006
NEG,8,07/01/2006
NEG,12,08/01/2006
NEG,12,09/01/2006
NEG,15,10/01/2006
NEG,20,11/01/2006
NEG,13,12/01/2006
NEG,12,01/01/2007
NEG,4,02/01/2007
NEG,12,03/01/2007
NEG,10,04/01/2007
NEG,14,05/01/2007
NEG,10,06/01/2007
NEG,13,07/01/2007
NEG,13,08/01/2007
NEG,18,09/01/2007
NEG,19,10/01/2007
NEG,20,11/01/2007
NEG,19,12/01/2007
NEG,33,01/01/2008
NEG,9,02/01/2008
NEG,14,03/01/2008
NEG,24,04/01/2008
NEG,23,05/01/2008
NEG,24,06/01/2008
NEG,15,07/01/2008
NEG,22,08/01/2008
NEG,30,09/01/2008
NEG,27,10/01/2008
NEG,13,11/01/2008
NEG,21,12/01/2008
NEG,24,01/01/2009
NEG,10,02/01/2009
NEG,13,03/01/2009
NEG,18,04/01/2009
NEG,15,05/01/2009
NEG,21,06/01/2009
NEG,24,07/01/2009
NEG,38,08/01/2009
NEG,35,09/01/2009
NEG,29,10/01/2009
NEG,31,11/01/2009
NEG,41,12/01/2009
NEG,35,01/01/2010
NEG,31,02/01/2010
NEG,34,03/01/2010
NEG,38,04/01/2010
NEG,51,05/01/2010
NEG,49,06/01/2010
NEG,41,07/01/2010
NEG,57,08/01/2010
NEG,50,09/01/2010
NEG,57,10/01/2010
NEG,45,11/01/2010
NEG,37,12/01/2010
NEG,45,01/01/2011
NEG,25,02/01/2011
NEG,52,03/01/2011
NEG,77,04/01/2011
NEG,65,05/01/2011
NEG,49,06/01/2011
NEG,69,07/01/2011
NEG,74,08/01/2011
NEG,79,09/01/2011
NEG,74,10/01/2011
NEG,68,11/01/2011
NEG,72,12/01/2011
NEG,68,01/01/2012
NEG,49,02/01/2012
NEG,50,03/01/2012
NEG,70,04/01/2012
NEG,54,05/01/2012
NEG,52,06/01/2012
NEG,60,07/01/2012
NEG,68,08/01/2012
NEG,59,09/01/2012
NEG,81,10/01/2012
NEG,71,11/01/2012
NEG,43,12/01/2012
