label,count,month
POS,1,06/01/2002
POS,2,07/01/2002
POS,1,09/01/2002
POS,1,10/01/2002
POS,5,11/01/2002
POS,0,12/01/2002
POS,2,02/01/2003
POS,2,03/01/2003
POS,1,04/01/2003
POS,1,05/01/2003
POS,1,06/01/2003
POS,4,07/01/2003
POS,3,08/01/2003
POS,2,09/01/2003
POS,4,10/01/2003
POS,2,11/01/2003
POS,4,12/01/2003
POS,8,01/01/2004
POS,5,02/01/2004
POS,12,03/01/2004
POS,5,04/01/2004
POS,8,05/01/2004
POS,5,06/01/2004
POS,8,07/01/2004
POS,7,08/01/2004
POS,3,09/01/2004
POS,5,10/01/2004
POS,8,11/01/2004
POS,3,12/01/2004
POS,9,01/01/2005
POS,8,02/01/2005
POS,9,03/01/2005
POS,10,04/01/2005
POS,9,05/01/2005
POS,6,06/01/2005
POS,8,07/01/2005
POS,5,08/01/2005
POS,5,09/01/2005
POS,8,10/01/2005
POS,3,11/01/2005
POS,4,12/01/2005
POS,4,01/01/2006
POS,12,02/01/2006
POS,8,03/01/2006
POS,9,04/01/2006
POS,7,05/01/2006
POS,7,06/01/2006
POS,11,07/01/2006
POS,11,08/01/2006
POS,10,09/01/2006
POS,17,10/01/2006
POS,6,11/01/2006
POS,13,12/01/2006
POS,12,01/01/2007
POS,8,02/01/2007
POS,13,03/01/2007
POS,18,04/01/2007
POS,20,05/01/2007
POS,8,06/01/2007
POS,14,07/01/2007
POS,14,08/01/2007
POS,13,09/01/2007
POS,15,10/01/2007
POS,10,11/01/2007
POS,20,12/01/2007
POS,26,01/01/2008
POS,18,02/01/2008
POS,14,03/01/2008
POS,10,04/01/2008
POS,14,05/01/2008
POS,19,06/01/2008
POS,24,07/01/2008
POS,25,08/01/2008
POS,16,09/01/2008
POS,12,10/01/2008
POS,7,11/01/2008
POS,17,12/01/2008
POS,23,01/01/2009
POS,10,02/01/2009
POS,13,03/01/2009
POS,19,04/01/2009
POS,20,05/01/2009
POS,24,06/01/2009
POS,33,07/01/2009
POS,16,08/01/2009
POS,23,09/01/2009
POS,34,10/01/2009
POS,14,11/01/2009
POS,15,12/01/2009
POS,18,01/01/2010
POS,14,02/01/2010
POS,23,03/01/2010
POS,21,04/01/2010
POS,23,05/01/2010
POS,37,06/01/2010
POS,30,07/01/2010
POS,21,08/01/2010
POS,24,09/01/2010
POS,18,10/01/2010
POS,10,11/01/2010
POS,16,12/01/2010
POS,27,01/01/2011
POS,17,02/01/2011
POS,20,03/01/2011
POS,14,04/01/2011
POS,26,05/01/2011
POS,38,06/01/2011
POS,41,07/01/2011
POS,35,08/01/2011
POS,33,09/01/2011
POS,35,10/01/2011
POS,41,11/01/2011
POS,32,12/01/2011
POS,33,01/01/2012
POS,25,02/01/2012
POS,30,03/01/2012
POS,31,04/01/2012
POS,35,05/01/2012
POS,34,06/01/2012
POS,34,07/01/2012
POS,33,08/01/2012
POS,35,09/01/2012
POS,46,10/01/2012
POS,43,11/01/2012
POS,21,12/01/2012
NEG,1,06/01/2002
NEG,0,07/01/2002
NEG,0,09/01/2002
NEG,3,10/01/2002
NEG,3,11/01/2002
NEG,6,12/01/2002
NEG,3,02/01/2003
NEG,3,03/01/2003
NEG,1,04/01/2003
NEG,2,05/01/2003
NEG,2,06/01/2003
NEG,0,07/01/2003
NEG,1,08/01/2003
NEG,1,09/01/2003
NEG,3,10/01/2003
NEG,1,11/01/2003
NEG,3,12/01/2003
NEG,3,01/01/2004
NEG,0,02/01/2004
NEG,3,03/01/2004
NEG,4,04/01/2004
NEG,6,05/01/2004
NEG,4,06/01/2004
NEG,2,07/01/2004
NEG,1,08/01/2004
NEG,7,09/01/2004
NEG,10,10/01/2004
