label,count,month
POS,1,07/01/2011
POS,1,09/01/2011
POS,9,10/01/2011
POS,7,11/01/2011
POS,17,12/01/2011
POS,20,01/01/2012
POS,9,02/01/2012
POS,17,03/01/2012
POS,16,04/01/2012
POS,22,05/01/2012
POS,11,06/01/2012
POS,13,07/01/2012
POS,13,08/01/2012
POS,24,09/01/2012
POS,12,10/01/2012
POS,14,11/01/2012
POS,7,12/01/2012
NEG,0,07/01/2011
NEG,2,09/01/2011
NEG,2,10/01/2011
NEG,3,11/01/2011
NEG,2,12/01/2011
NEG,2,01/01/2012
NEG,1,02/01/2012
NEG,1,03/01/2012
NEG,1,04/01/2012
NEG,2,05/01/2012
NEG,1,06/01/2012
NEG,1,07/01/2012
NEG,1,08/01/2012
NEG,2,09/01/2012
NEG,3,10/01/2012
NEG,3,11/01/2012
NEG,2,12/01/2012
