key,value,date
POS,7,09/01/2009
POS,16,10/01/2009
POS,22,11/01/2009
POS,15,12/01/2009
POS,6,01/01/2010
POS,8,02/01/2010
POS,14,03/01/2010
POS,15,04/01/2010
POS,15,05/01/2010
POS,23,06/01/2010
POS,16,07/01/2010
POS,12,08/01/2010
POS,14,09/01/2010
POS,16,10/01/2010
POS,17,11/01/2010
POS,11,12/01/2010
POS,20,01/01/2011
POS,12,02/01/2011
POS,33,03/01/2011
POS,33,04/01/2011
POS,29,05/01/2011
POS,47,06/01/2011
POS,55,07/01/2011
POS,76,08/01/2011
POS,48,09/01/2011
POS,41,10/01/2011
POS,37,11/01/2011
POS,39,12/01/2011
POS,55,01/01/2012
POS,34,02/01/2012
POS,36,03/01/2012
POS,29,04/01/2012
POS,34,05/01/2012
POS,31,06/01/2012
POS,31,07/01/2012
POS,27,08/01/2012
POS,31,09/01/2012
POS,23,10/01/2012
POS,24,11/01/2012
POS,13,12/01/2012
NEG,0,09/01/2009
NEG,6,10/01/2009
NEG,0,11/01/2009
NEG,2,12/01/2009
NEG,3,01/01/2010
NEG,1,02/01/2010
NEG,2,03/01/2010
NEG,3,04/01/2010
NEG,7,05/01/2010
NEG,4,06/01/2010
NEG,6,07/01/2010
NEG,4,08/01/2010
NEG,2,09/01/2010
NEG,3,10/01/2010
NEG,2,11/01/2010
NEG,4,12/01/2010
NEG,3,01/01/2011
NEG,2,02/01/2011
NEG,1,03/01/2011
NEG,3,04/01/2011
NEG,3,05/01/2011
NEG,2,06/01/2011
NEG,6,07/01/2011
NEG,5,08/01/2011
NEG,3,09/01/2011
NEG,2,10/01/2011
NEG,5,11/01/2011
NEG,4,12/01/2011
NEG,6,01/01/2012
NEG,2,02/01/2012
NEG,8,03/01/2012
NEG,2,04/01/2012
NEG,5,05/01/2012
NEG,2,06/01/2012
NEG,3,07/01/2012
NEG,3,08/01/2012
NEG,3,09/01/2012
NEG,2,10/01/2012
NEG,8,11/01/2012
NEG,3,12/01/2012
