label,count,month
POS,1,03/01/2002
POS,1,11/01/2002
POS,2,02/01/2003
POS,2,03/01/2003
POS,1,04/01/2003
POS,2,06/01/2003
POS,1,07/01/2003
POS,2,09/01/2003
POS,4,10/01/2003
POS,2,11/01/2003
POS,2,12/01/2003
POS,7,01/01/2004
POS,3,02/01/2004
POS,7,03/01/2004
POS,6,04/01/2004
POS,7,06/01/2004
POS,5,07/01/2004
POS,4,08/01/2004
POS,4,09/01/2004
POS,7,10/01/2004
POS,4,11/01/2004
POS,4,12/01/2004
POS,5,01/01/2005
POS,6,02/01/2005
POS,7,03/01/2005
POS,7,04/01/2005
POS,3,05/01/2005
POS,8,06/01/2005
POS,8,07/01/2005
POS,9,08/01/2005
POS,2,09/01/2005
POS,7,10/01/2005
POS,4,11/01/2005
POS,1,12/01/2005
POS,7,01/01/2006
POS,10,02/01/2006
POS,9,03/01/2006
POS,8,04/01/2006
POS,7,05/01/2006
POS,4,06/01/2006
POS,10,07/01/2006
POS,9,08/01/2006
POS,5,09/01/2006
POS,3,10/01/2006
POS,2,11/01/2006
POS,10,01/01/2007
POS,11,02/01/2007
POS,9,03/01/2007
POS,6,04/01/2007
POS,9,05/01/2007
POS,6,06/01/2007
POS,3,07/01/2007
POS,11,08/01/2007
POS,5,09/01/2007
POS,7,10/01/2007
POS,8,11/01/2007
POS,7,12/01/2007
POS,15,01/01/2008
POS,13,02/01/2008
POS,17,03/01/2008
POS,7,04/01/2008
POS,3,05/01/2008
POS,9,06/01/2008
POS,5,07/01/2008
POS,6,08/01/2008
POS,6,09/01/2008
POS,6,10/01/2008
POS,8,11/01/2008
POS,5,12/01/2008
POS,16,01/01/2009
POS,7,02/01/2009
POS,10,03/01/2009
POS,15,04/01/2009
POS,18,05/01/2009
POS,8,06/01/2009
POS,13,07/01/2009
POS,10,08/01/2009
POS,7,09/01/2009
POS,11,10/01/2009
POS,8,11/01/2009
POS,14,12/01/2009
POS,13,01/01/2010
POS,6,02/01/2010
POS,6,03/01/2010
POS,4,04/01/2010
POS,12,05/01/2010
POS,8,06/01/2010
POS,13,07/01/2010
POS,23,08/01/2010
POS,20,09/01/2010
POS,22,10/01/2010
POS,16,11/01/2010
POS,20,12/01/2010
POS,21,01/01/2011
POS,14,02/01/2011
POS,27,03/01/2011
POS,35,04/01/2011
POS,22,05/01/2011
POS,34,06/01/2011
POS,43,07/01/2011
POS,38,08/01/2011
POS,72,09/01/2011
POS,35,10/01/2011
POS,40,11/01/2011
POS,35,12/01/2011
POS,52,01/01/2012
POS,39,02/01/2012
POS,45,03/01/2012
POS,48,04/01/2012
POS,44,05/01/2012
POS,42,06/01/2012
POS,53,07/01/2012
POS,46,08/01/2012
POS,38,09/01/2012
POS,50,10/01/2012
POS,32,11/01/2012
POS,13,12/01/2012
NEG,0,03/01/2002
NEG,0,11/01/2002
NEG,1,02/01/2003
NEG,0,03/01/2003
NEG,0,04/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,0,09/01/2003
NEG,0,10/01/2003
NEG,0,11/01/2003
NEG,1,12/01/2003
NEG,1,01/01/2004
NEG,2,02/01/2004
NEG,1,03/01/2004
NEG,3,04/01/2004
NEG,1,06/01/2004
NEG,0,07/01/2004
NEG,1,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,1,02/01/2005
NEG,1,03/01/2005
NEG,1,04/01/2005
NEG,2,05/01/2005
NEG,2,06/01/2005
NEG,0,07/01/2005
NEG,2,08/01/2005
NEG,1,09/01/2005
NEG,3,10/01/2005
NEG,1,11/01/2005
NEG,1,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,6,03/01/2006
NEG,0,04/01/2006
NEG,0,05/01/2006
NEG,2,06/01/2006
NEG,3,07/01/2006
NEG,0,08/01/2006
NEG,1,09/01/2006
NEG,3,10/01/2006
NEG,1,11/01/2006
NEG,6,01/01/2007
NEG,1,02/01/2007
NEG,1,03/01/2007
NEG,5,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,2,07/01/2007
NEG,2,08/01/2007
NEG,3,09/01/2007
NEG,6,10/01/2007
NEG,1,11/01/2007
NEG,5,12/01/2007
NEG,4,01/01/2008
NEG,1,02/01/2008
NEG,3,03/01/2008
NEG,4,04/01/2008
NEG,5,05/01/2008
NEG,3,06/01/2008
NEG,5,07/01/2008
NEG,5,08/01/2008
NEG,1,09/01/2008
NEG,2,10/01/2008
NEG,4,11/01/2008
NEG,6,12/01/2008
NEG,6,01/01/2009
NEG,0,02/01/2009
NEG,3,03/01/2009
NEG,7,04/01/2009
NEG,6,05/01/2009
NEG,4,06/01/2009
NEG,4,07/01/2009
NEG,5,08/01/2009
NEG,7,09/01/2009
NEG,10,10/01/2009
NEG,4,11/01/2009
NEG,4,12/01/2009
NEG,4,01/01/2010
NEG,4,02/01/2010
NEG,3,03/01/2010
NEG,5,04/01/2010
NEG,10,05/01/2010
NEG,2,06/01/2010
NEG,5,07/01/2010
NEG,7,08/01/2010
NEG,2,09/01/2010
NEG,7,10/01/2010
NEG,5,11/01/2010
NEG,1,12/01/2010
NEG,8,01/01/2011
NEG,4,02/01/2011
NEG,5,03/01/2011
NEG,4,04/01/2011
NEG,6,05/01/2011
NEG,7,06/01/2011
NEG,8,07/01/2011
NEG,7,08/01/2011
NEG,10,09/01/2011
NEG,16,10/01/2011
NEG,12,11/01/2011
NEG,15,12/01/2011
NEG,7,01/01/2012
NEG,8,02/01/2012
NEG,8,03/01/2012
NEG,14,04/01/2012
NEG,8,05/01/2012
NEG,11,06/01/2012
NEG,23,07/01/2012
NEG,15,08/01/2012
NEG,12,09/01/2012
NEG,8,10/01/2012
NEG,6,11/01/2012
NEG,7,12/01/2012
