key,value,date
POS,10,07/01/2010
POS,17,08/01/2010
POS,26,09/01/2010
POS,36,10/01/2010
POS,29,11/01/2010
POS,26,12/01/2010
POS,28,01/01/2011
POS,14,02/01/2011
POS,25,03/01/2011
POS,43,04/01/2011
POS,28,05/01/2011
POS,31,06/01/2011
POS,40,07/01/2011
POS,40,08/01/2011
POS,40,09/01/2011
POS,45,10/01/2011
POS,40,11/01/2011
POS,33,12/01/2011
POS,67,01/01/2012
POS,35,02/01/2012
POS,40,03/01/2012
POS,40,04/01/2012
POS,36,05/01/2012
POS,36,06/01/2012
POS,47,07/01/2012
POS,43,08/01/2012
POS,47,09/01/2012
POS,43,10/01/2012
POS,29,11/01/2012
POS,15,12/01/2012
NEG,0,07/01/2010
NEG,6,08/01/2010
NEG,7,09/01/2010
NEG,5,10/01/2010
NEG,7,11/01/2010
NEG,7,12/01/2010
NEG,8,01/01/2011
NEG,6,02/01/2011
NEG,5,03/01/2011
NEG,7,04/01/2011
NEG,11,05/01/2011
NEG,11,06/01/2011
NEG,14,07/01/2011
NEG,12,08/01/2011
NEG,13,09/01/2011
NEG,5,10/01/2011
NEG,14,11/01/2011
NEG,9,12/01/2011
NEG,12,01/01/2012
NEG,5,02/01/2012
NEG,5,03/01/2012
NEG,9,04/01/2012
NEG,4,05/01/2012
NEG,7,06/01/2012
NEG,6,07/01/2012
NEG,15,08/01/2012
NEG,13,09/01/2012
NEG,10,10/01/2012
NEG,14,11/01/2012
NEG,8,12/01/2012
