key,value,date
POS,1,01/01/2002
POS,0,03/01/2002
POS,1,04/01/2002
POS,2,05/01/2002
POS,1,07/01/2002
POS,1,08/01/2002
POS,1,10/01/2002
POS,1,11/01/2002
POS,4,12/01/2002
POS,1,01/01/2003
POS,1,03/01/2003
POS,1,04/01/2003
POS,2,06/01/2003
POS,3,07/01/2003
POS,3,08/01/2003
POS,0,09/01/2003
POS,4,10/01/2003
POS,1,11/01/2003
POS,2,12/01/2003
POS,4,01/01/2004
POS,4,02/01/2004
POS,11,03/01/2004
POS,6,04/01/2004
POS,5,05/01/2004
POS,5,06/01/2004
POS,5,07/01/2004
POS,10,08/01/2004
POS,5,09/01/2004
POS,10,10/01/2004
POS,3,11/01/2004
POS,1,12/01/2004
POS,7,01/01/2005
POS,8,02/01/2005
POS,9,03/01/2005
POS,5,04/01/2005
POS,5,05/01/2005
POS,0,06/01/2005
POS,6,07/01/2005
POS,3,08/01/2005
POS,2,09/01/2005
POS,7,10/01/2005
POS,0,11/01/2005
POS,3,12/01/2005
POS,3,01/01/2006
POS,2,02/01/2006
POS,4,03/01/2006
POS,5,04/01/2006
POS,3,05/01/2006
POS,8,06/01/2006
POS,1,07/01/2006
POS,3,08/01/2006
POS,1,09/01/2006
POS,4,10/01/2006
POS,2,11/01/2006
POS,8,12/01/2006
POS,4,01/01/2007
POS,7,02/01/2007
POS,10,03/01/2007
POS,6,04/01/2007
POS,7,05/01/2007
POS,2,06/01/2007
POS,13,07/01/2007
POS,7,08/01/2007
POS,3,09/01/2007
POS,6,10/01/2007
POS,4,11/01/2007
POS,3,12/01/2007
POS,4,01/01/2008
POS,4,02/01/2008
POS,4,03/01/2008
POS,5,04/01/2008
POS,9,05/01/2008
POS,7,06/01/2008
POS,7,07/01/2008
POS,12,08/01/2008
POS,9,09/01/2008
POS,9,10/01/2008
POS,3,11/01/2008
POS,7,12/01/2008
POS,4,01/01/2009
POS,7,02/01/2009
POS,12,03/01/2009
POS,15,04/01/2009
POS,5,05/01/2009
POS,21,06/01/2009
POS,16,07/01/2009
POS,9,08/01/2009
POS,13,09/01/2009
POS,10,10/01/2009
POS,11,11/01/2009
POS,8,12/01/2009
POS,14,01/01/2010
POS,15,02/01/2010
POS,12,03/01/2010
POS,11,04/01/2010
POS,14,05/01/2010
POS,12,06/01/2010
POS,10,07/01/2010
POS,17,08/01/2010
POS,14,09/01/2010
POS,15,10/01/2010
POS,14,11/01/2010
POS,17,12/01/2010
POS,41,01/01/2011
POS,39,02/01/2011
POS,55,03/01/2011
POS,47,04/01/2011
POS,60,05/01/2011
POS,60,06/01/2011
POS,56,07/01/2011
POS,47,08/01/2011
POS,40,09/01/2011
POS,49,10/01/2011
POS,40,11/01/2011
POS,46,12/01/2011
POS,56,01/01/2012
POS,38,02/01/2012
POS,46,03/01/2012
POS,56,04/01/2012
POS,50,05/01/2012
POS,49,06/01/2012
POS,66,07/01/2012
POS,46,08/01/2012
POS,50,09/01/2012
POS,53,10/01/2012
POS,44,11/01/2012
POS,25,12/01/2012
NEG,0,01/01/2002
NEG,1,03/01/2002
NEG,0,04/01/2002
NEG,1,05/01/2002
NEG,0,07/01/2002
NEG,0,08/01/2002
NEG,0,10/01/2002
NEG,1,11/01/2002
NEG,0,12/01/2002
NEG,0,01/01/2003
NEG,0,03/01/2003
NEG,1,04/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,1,08/01/2003
NEG,1,09/01/2003
NEG,0,10/01/2003
NEG,1,11/01/2003
NEG,1,12/01/2003
NEG,1,01/01/2004
NEG,1,02/01/2004
NEG,1,03/01/2004
NEG,0,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,3,07/01/2004
NEG,1,08/01/2004
NEG,3,09/01/2004
NEG,2,10/01/2004
NEG,2,11/01/2004
NEG,5,12/01/2004
NEG,1,01/01/2005
NEG,2,02/01/2005
NEG,2,03/01/2005
NEG,0,04/01/2005
NEG,2,05/01/2005
NEG,1,06/01/2005
NEG,2,07/01/2005
NEG,1,08/01/2005
NEG,1,09/01/2005
NEG,3,10/01/2005
NEG,2,11/01/2005
NEG,1,12/01/2005
NEG,0,01/01/2006
NEG,1,02/01/2006
NEG,1,03/01/2006
NEG,1,04/01/2006
NEG,3,05/01/2006
NEG,1,06/01/2006
NEG,5,07/01/2006
NEG,3,08/01/2006
NEG,0,09/01/2006
NEG,2,10/01/2006
NEG,0,11/01/2006
NEG,1,12/01/2006
NEG,0,01/01/2007
NEG,2,02/01/2007
NEG,3,03/01/2007
NEG,3,04/01/2007
NEG,0,05/01/2007
NEG,2,06/01/2007
NEG,6,07/01/2007
NEG,2,08/01/2007
NEG,2,09/01/2007
NEG,3,10/01/2007
NEG,2,11/01/2007
NEG,1,12/01/2007
NEG,5,01/01/2008
NEG,6,02/01/2008
NEG,1,03/01/2008
NEG,5,04/01/2008
NEG,6,05/01/2008
NEG,2,06/01/2008
NEG,5,07/01/2008
NEG,9,08/01/2008
NEG,6,09/01/2008
NEG,7,10/01/2008
NEG,8,11/01/2008
NEG,2,12/01/2008
NEG,6,01/01/2009
NEG,5,02/01/2009
NEG,2,03/01/2009
NEG,5,04/01/2009
NEG,0,05/01/2009
NEG,4,06/01/2009
NEG,6,07/01/2009
NEG,5,08/01/2009
NEG,6,09/01/2009
NEG,6,10/01/2009
NEG,7,11/01/2009
NEG,6,12/01/2009
NEG,4,01/01/2010
NEG,4,02/01/2010
NEG,4,03/01/2010
NEG,5,04/01/2010
NEG,2,05/01/2010
NEG,5,06/01/2010
NEG,2,07/01/2010
NEG,9,08/01/2010
NEG,1,09/01/2010
NEG,9,10/01/2010
NEG,10,11/01/2010
NEG,4,12/01/2010
NEG,8,01/01/2011
NEG,10,02/01/2011
NEG,7,03/01/2011
NEG,9,04/01/2011
NEG,14,05/01/2011
NEG,10,06/01/2011
NEG,10,07/01/2011
NEG,15,08/01/2011
NEG,14,09/01/2011
NEG,22,10/01/2011
NEG,11,11/01/2011
NEG,16,12/01/2011
NEG,18,01/01/2012
NEG,10,02/01/2012
NEG,10,03/01/2012
NEG,16,04/01/2012
NEG,16,05/01/2012
NEG,8,06/01/2012
NEG,14,07/01/2012
NEG,14,08/01/2012
NEG,8,09/01/2012
NEG,9,10/01/2012
NEG,7,11/01/2012
NEG,9,12/01/2012
