key,value,date
POS,1,03/01/2002
POS,1,11/01/2002
POS,1,03/01/2003
POS,3,11/01/2003
POS,3,12/01/2003
POS,2,01/01/2004
POS,1,02/01/2004
POS,2,03/01/2004
POS,1,04/01/2004
POS,2,05/01/2004
POS,1,06/01/2004
POS,0,07/01/2004
POS,2,10/01/2004
POS,4,11/01/2004
POS,3,12/01/2004
POS,1,01/01/2005
POS,0,02/01/2005
POS,2,03/01/2005
POS,1,04/01/2005
POS,5,05/01/2005
POS,4,06/01/2005
POS,2,07/01/2005
POS,2,08/01/2005
POS,5,09/01/2005
POS,2,10/01/2005
POS,3,11/01/2005
POS,4,12/01/2005
POS,5,01/01/2006
POS,11,02/01/2006
POS,3,03/01/2006
POS,2,04/01/2006
POS,5,05/01/2006
POS,4,06/01/2006
POS,4,07/01/2006
POS,2,08/01/2006
POS,5,09/01/2006
POS,5,10/01/2006
POS,4,11/01/2006
POS,3,12/01/2006
POS,3,01/01/2007
POS,12,02/01/2007
POS,6,03/01/2007
POS,5,04/01/2007
POS,7,05/01/2007
POS,6,06/01/2007
POS,18,07/01/2007
POS,12,08/01/2007
POS,7,09/01/2007
POS,8,10/01/2007
POS,11,11/01/2007
POS,11,12/01/2007
POS,21,01/01/2008
POS,10,02/01/2008
POS,7,03/01/2008
POS,12,04/01/2008
POS,9,05/01/2008
POS,16,06/01/2008
POS,14,07/01/2008
POS,14,08/01/2008
POS,14,09/01/2008
POS,10,10/01/2008
POS,14,11/01/2008
POS,15,12/01/2008
POS,11,01/01/2009
POS,15,02/01/2009
POS,13,03/01/2009
POS,16,04/01/2009
POS,16,05/01/2009
POS,11,06/01/2009
POS,18,07/01/2009
POS,13,08/01/2009
POS,18,09/01/2009
POS,18,10/01/2009
POS,17,11/01/2009
POS,15,12/01/2009
POS,23,01/01/2010
POS,18,02/01/2010
POS,17,03/01/2010
POS,35,04/01/2010
POS,23,05/01/2010
POS,29,06/01/2010
POS,25,07/01/2010
POS,30,08/01/2010
POS,29,09/01/2010
POS,32,10/01/2010
POS,19,11/01/2010
POS,25,12/01/2010
POS,18,01/01/2011
POS,22,02/01/2011
POS,24,03/01/2011
POS,20,04/01/2011
POS,27,05/01/2011
POS,25,06/01/2011
POS,26,07/01/2011
POS,32,08/01/2011
POS,26,09/01/2011
POS,22,10/01/2011
POS,24,11/01/2011
POS,17,12/01/2011
POS,32,01/01/2012
POS,29,02/01/2012
POS,23,03/01/2012
POS,32,04/01/2012
POS,48,05/01/2012
POS,43,06/01/2012
POS,50,07/01/2012
POS,36,08/01/2012
POS,44,09/01/2012
POS,19,10/01/2012
POS,35,11/01/2012
POS,17,12/01/2012
NEG,0,03/01/2002
NEG,0,11/01/2002
NEG,0,03/01/2003
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,1,03/01/2004
NEG,0,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,1,07/01/2004
NEG,0,10/01/2004
NEG,1,11/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,1,02/01/2005
NEG,0,03/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,0,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,0,03/01/2006
NEG,0,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,0,10/01/2006
NEG,0,11/01/2006
NEG,0,12/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,0,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,0,07/01/2007
NEG,1,08/01/2007
NEG,2,09/01/2007
NEG,1,10/01/2007
NEG,0,11/01/2007
NEG,2,12/01/2007
NEG,1,01/01/2008
NEG,0,02/01/2008
NEG,1,03/01/2008
NEG,2,04/01/2008
NEG,0,05/01/2008
NEG,0,06/01/2008
NEG,1,07/01/2008
NEG,2,08/01/2008
NEG,0,09/01/2008
NEG,3,10/01/2008
NEG,0,11/01/2008
NEG,1,12/01/2008
NEG,1,01/01/2009
NEG,1,02/01/2009
NEG,1,03/01/2009
NEG,1,04/01/2009
NEG,0,05/01/2009
NEG,3,06/01/2009
NEG,3,07/01/2009
NEG,2,08/01/2009
NEG,1,09/01/2009
NEG,1,10/01/2009
NEG,1,11/01/2009
NEG,1,12/01/2009
NEG,1,01/01/2010
NEG,1,02/01/2010
NEG,1,03/01/2010
NEG,4,04/01/2010
NEG,0,05/01/2010
NEG,2,06/01/2010
NEG,1,07/01/2010
NEG,3,08/01/2010
NEG,2,09/01/2010
NEG,0,10/01/2010
NEG,4,11/01/2010
NEG,1,12/01/2010
NEG,2,01/01/2011
NEG,1,02/01/2011
NEG,1,03/01/2011
NEG,2,04/01/2011
NEG,2,05/01/2011
NEG,3,06/01/2011
NEG,2,07/01/2011
NEG,2,08/01/2011
NEG,2,09/01/2011
NEG,3,10/01/2011
NEG,1,11/01/2011
NEG,2,12/01/2011
NEG,4,01/01/2012
NEG,4,02/01/2012
NEG,5,03/01/2012
NEG,2,04/01/2012
NEG,3,05/01/2012
NEG,0,06/01/2012
NEG,4,07/01/2012
NEG,7,08/01/2012
NEG,5,09/01/2012
NEG,7,10/01/2012
NEG,9,11/01/2012
NEG,2,12/01/2012
