label,count,month
POS,0,05/01/2006
POS,7,03/01/2007
POS,6,04/01/2007
POS,7,05/01/2007
POS,2,06/01/2007
POS,3,07/01/2007
POS,3,08/01/2007
POS,7,09/01/2007
POS,7,10/01/2007
POS,10,11/01/2007
POS,3,12/01/2007
POS,2,01/01/2008
POS,2,02/01/2008
POS,2,03/01/2008
POS,3,04/01/2008
POS,4,05/01/2008
POS,7,06/01/2008
POS,4,07/01/2008
POS,9,08/01/2008
POS,2,09/01/2008
POS,11,10/01/2008
POS,9,11/01/2008
POS,3,12/01/2008
POS,4,01/01/2009
POS,2,02/01/2009
POS,4,03/01/2009
POS,6,04/01/2009
POS,4,05/01/2009
POS,8,06/01/2009
POS,5,07/01/2009
POS,3,08/01/2009
POS,8,09/01/2009
POS,2,10/01/2009
POS,2,11/01/2009
POS,3,12/01/2009
POS,7,01/01/2010
POS,5,02/01/2010
POS,3,03/01/2010
POS,6,04/01/2010
POS,5,05/01/2010
POS,5,06/01/2010
POS,4,07/01/2010
POS,6,08/01/2010
POS,5,09/01/2010
POS,6,10/01/2010
POS,5,11/01/2010
POS,4,12/01/2010
POS,0,01/01/2011
POS,3,02/01/2011
POS,5,03/01/2011
POS,6,04/01/2011
POS,0,05/01/2011
POS,0,06/01/2011
POS,2,07/01/2011
POS,4,08/01/2011
POS,5,09/01/2011
POS,11,10/01/2011
POS,7,11/01/2011
POS,6,12/01/2011
POS,3,01/01/2012
POS,8,02/01/2012
POS,1,03/01/2012
POS,4,04/01/2012
POS,5,05/01/2012
POS,9,06/01/2012
POS,9,07/01/2012
POS,14,08/01/2012
POS,5,09/01/2012
POS,6,10/01/2012
POS,11,11/01/2012
POS,5,12/01/2012
NEG,1,05/01/2006
NEG,2,03/01/2007
NEG,7,04/01/2007
NEG,3,05/01/2007
NEG,7,06/01/2007
NEG,6,07/01/2007
NEG,3,08/01/2007
NEG,5,09/01/2007
NEG,10,10/01/2007
NEG,7,11/01/2007
NEG,10,12/01/2007
NEG,6,01/01/2008
NEG,3,02/01/2008
NEG,6,03/01/2008
NEG,2,04/01/2008
NEG,8,05/01/2008
NEG,9,06/01/2008
NEG,3,07/01/2008
NEG,3,08/01/2008
NEG,9,09/01/2008
NEG,7,10/01/2008
NEG,7,11/01/2008
NEG,6,12/01/2008
NEG,3,01/01/2009
NEG,3,02/01/2009
NEG,10,03/01/2009
NEG,7,04/01/2009
NEG,3,05/01/2009
NEG,1,06/01/2009
NEG,0,07/01/2009
NEG,5,08/01/2009
NEG,3,09/01/2009
NEG,7,10/01/2009
NEG,4,11/01/2009
NEG,3,12/01/2009
NEG,2,01/01/2010
NEG,2,02/01/2010
NEG,2,03/01/2010
NEG,1,04/01/2010
NEG,9,05/01/2010
NEG,2,06/01/2010
NEG,4,07/01/2010
NEG,4,08/01/2010
NEG,7,09/01/2010
NEG,9,10/01/2010
NEG,5,11/01/2010
NEG,5,12/01/2010
NEG,2,01/01/2011
NEG,2,02/01/2011
NEG,7,03/01/2011
NEG,4,04/01/2011
NEG,2,05/01/2011
NEG,1,06/01/2011
NEG,5,07/01/2011
NEG,3,08/01/2011
NEG,3,09/01/2011
NEG,7,10/01/2011
NEG,3,11/01/2011
NEG,4,12/01/2011
NEG,5,01/01/2012
NEG,1,02/01/2012
NEG,0,03/01/2012
NEG,5,04/01/2012
NEG,10,05/01/2012
NEG,5,06/01/2012
NEG,4,07/01/2012
NEG,8,08/01/2012
NEG,8,09/01/2012
NEG,6,10/01/2012
NEG,8,11/01/2012
NEG,6,12/01/2012
