key,value,date
POS,1,10/01/2006
POS,3,09/01/2007
POS,10,12/01/2007
POS,1,01/01/2008
POS,3,04/01/2008
POS,2,05/01/2008
POS,0,06/01/2008
POS,1,08/01/2008
POS,1,11/01/2008
POS,0,01/01/2009
POS,0,03/01/2009
POS,0,06/01/2009
POS,0,08/01/2009
POS,0,12/01/2009
POS,0,11/01/2010
POS,10,12/01/2010
POS,17,01/01/2011
POS,10,02/01/2011
POS,21,03/01/2011
POS,10,04/01/2011
POS,15,05/01/2011
POS,18,06/01/2011
POS,19,07/01/2011
POS,24,08/01/2011
POS,30,09/01/2011
POS,25,10/01/2011
POS,26,11/01/2011
POS,26,12/01/2011
POS,36,01/01/2012
POS,43,02/01/2012
POS,55,03/01/2012
POS,58,04/01/2012
POS,38,05/01/2012
POS,67,06/01/2012
POS,55,07/01/2012
POS,48,08/01/2012
POS,48,09/01/2012
POS,44,10/01/2012
POS,45,11/01/2012
POS,31,12/01/2012
NEG,0,10/01/2006
NEG,4,09/01/2007
NEG,10,12/01/2007
NEG,0,01/01/2008
NEG,1,04/01/2008
NEG,3,05/01/2008
NEG,3,06/01/2008
NEG,1,08/01/2008
NEG,0,11/01/2008
NEG,1,01/01/2009
NEG,1,03/01/2009
NEG,1,06/01/2009
NEG,2,08/01/2009
NEG,1,12/01/2009
NEG,2,11/01/2010
NEG,5,12/01/2010
NEG,8,01/01/2011
NEG,7,02/01/2011
NEG,12,03/01/2011
NEG,14,04/01/2011
NEG,17,05/01/2011
NEG,15,06/01/2011
NEG,30,07/01/2011
NEG,38,08/01/2011
NEG,32,09/01/2011
NEG,49,10/01/2011
NEG,46,11/01/2011
NEG,29,12/01/2011
NEG,31,01/01/2012
NEG,16,02/01/2012
NEG,40,03/01/2012
NEG,40,04/01/2012
NEG,42,05/01/2012
NEG,27,06/01/2012
NEG,45,07/01/2012
NEG,43,08/01/2012
NEG,40,09/01/2012
NEG,55,10/01/2012
NEG,61,11/01/2012
NEG,29,12/01/2012
