label,count,month
POS,0,03/01/2002
POS,1,05/01/2002
POS,1,08/01/2002
POS,1,11/01/2002
POS,0,12/01/2002
POS,1,01/01/2003
POS,1,02/01/2003
POS,1,03/01/2003
POS,0,05/01/2003
POS,1,06/01/2003
POS,2,10/01/2003
POS,0,11/01/2003
POS,0,12/01/2003
POS,4,01/01/2004
POS,1,02/01/2004
POS,6,03/01/2004
POS,6,04/01/2004
POS,8,05/01/2004
POS,4,06/01/2004
POS,1,07/01/2004
POS,1,08/01/2004
POS,2,09/01/2004
POS,4,10/01/2004
POS,2,11/01/2004
POS,4,12/01/2004
POS,3,01/01/2005
POS,6,02/01/2005
POS,5,03/01/2005
POS,4,04/01/2005
POS,4,05/01/2005
POS,3,06/01/2005
POS,5,07/01/2005
POS,5,08/01/2005
POS,5,09/01/2005
POS,3,10/01/2005
POS,5,11/01/2005
POS,7,12/01/2005
POS,5,01/01/2006
POS,6,02/01/2006
POS,4,03/01/2006
POS,9,04/01/2006
POS,11,05/01/2006
POS,6,06/01/2006
POS,2,07/01/2006
POS,7,08/01/2006
POS,6,09/01/2006
POS,7,10/01/2006
POS,7,11/01/2006
POS,2,12/01/2006
POS,8,01/01/2007
POS,4,02/01/2007
POS,4,03/01/2007
POS,12,04/01/2007
POS,5,05/01/2007
POS,12,06/01/2007
POS,10,07/01/2007
POS,10,08/01/2007
POS,15,09/01/2007
POS,16,10/01/2007
POS,8,11/01/2007
POS,6,12/01/2007
POS,12,01/01/2008
POS,14,02/01/2008
POS,12,03/01/2008
POS,14,04/01/2008
POS,9,05/01/2008
POS,14,06/01/2008
POS,19,07/01/2008
POS,17,08/01/2008
POS,8,09/01/2008
POS,7,10/01/2008
POS,9,11/01/2008
POS,9,12/01/2008
POS,12,01/01/2009
POS,7,02/01/2009
POS,11,03/01/2009
POS,15,04/01/2009
POS,20,05/01/2009
POS,17,06/01/2009
POS,11,07/01/2009
POS,21,08/01/2009
POS,16,09/01/2009
POS,17,10/01/2009
POS,12,11/01/2009
POS,10,12/01/2009
POS,16,01/01/2010
POS,13,02/01/2010
POS,17,03/01/2010
POS,12,04/01/2010
POS,18,05/01/2010
POS,21,06/01/2010
POS,12,07/01/2010
POS,14,08/01/2010
POS,17,09/01/2010
POS,14,10/01/2010
POS,10,11/01/2010
POS,9,12/01/2010
POS,10,01/01/2011
POS,21,02/01/2011
POS,9,03/01/2011
POS,19,04/01/2011
POS,16,05/01/2011
POS,14,06/01/2011
POS,32,07/01/2011
POS,28,08/01/2011
POS,35,09/01/2011
POS,25,10/01/2011
POS,21,11/01/2011
POS,32,12/01/2011
POS,38,01/01/2012
POS,25,02/01/2012
POS,26,03/01/2012
POS,25,04/01/2012
POS,19,05/01/2012
POS,34,06/01/2012
POS,43,07/01/2012
POS,36,08/01/2012
POS,16,09/01/2012
POS,32,10/01/2012
POS,26,11/01/2012
POS,21,12/01/2012
NEG,1,03/01/2002
NEG,0,05/01/2002
NEG,0,08/01/2002
NEG,0,11/01/2002
NEG,2,12/01/2002
NEG,0,01/01/2003
NEG,0,02/01/2003
NEG,0,03/01/2003
NEG,1,05/01/2003
NEG,0,06/01/2003
NEG,0,10/01/2003
NEG,1,11/01/2003
NEG,3,12/01/2003
NEG,1,01/01/2004
NEG,0,02/01/2004
NEG,0,03/01/2004
NEG,1,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,1,08/01/2004
NEG,0,09/01/2004
NEG,2,10/01/2004
NEG,1,11/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,2,02/01/2005
NEG,3,03/01/2005
NEG,1,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,0,08/01/2005
NEG,1,09/01/2005
NEG,0,10/01/2005
NEG,3,11/01/2005
NEG,1,12/01/2005
NEG,3,01/01/2006
NEG,0,02/01/2006
NEG,1,03/01/2006
NEG,0,04/01/2006
NEG,1,05/01/2006
NEG,1,06/01/2006
NEG,2,07/01/2006
NEG,5,08/01/2006
NEG,1,09/01/2006
NEG,0,10/01/2006
NEG,2,11/01/2006
NEG,3,12/01/2006
NEG,4,01/01/2007
NEG,2,02/01/2007
NEG,2,03/01/2007
NEG,2,04/01/2007
NEG,1,05/01/2007
NEG,1,06/01/2007
NEG,1,07/01/2007
NEG,1,08/01/2007
NEG,4,09/01/2007
NEG,5,10/01/2007
NEG,0,11/01/2007
NEG,1,12/01/2007
NEG,3,01/01/2008
NEG,3,02/01/2008
NEG,7,03/01/2008
NEG,2,04/01/2008
NEG,3,05/01/2008
NEG,5,06/01/2008
NEG,3,07/01/2008
NEG,5,08/01/2008
NEG,2,09/01/2008
NEG,3,10/01/2008
NEG,1,11/01/2008
NEG,3,12/01/2008
NEG,7,01/01/2009
NEG,7,02/01/2009
NEG,9,03/01/2009
NEG,17,04/01/2009
NEG,13,05/01/2009
NEG,14,06/01/2009
NEG,8,07/01/2009
NEG,6,08/01/2009
NEG,16,09/01/2009
NEG,3,10/01/2009
NEG,5,11/01/2009
NEG,2,12/01/2009
NEG,9,01/01/2010
NEG,4,02/01/2010
NEG,9,03/01/2010
NEG,12,04/01/2010
NEG,7,05/01/2010
NEG,10,06/01/2010
NEG,8,07/01/2010
NEG,9,08/01/2010
NEG,12,09/01/2010
NEG,8,10/01/2010
NEG,8,11/01/2010
NEG,6,12/01/2010
NEG,9,01/01/2011
NEG,7,02/01/2011
NEG,8,03/01/2011
NEG,10,04/01/2011
NEG,9,05/01/2011
NEG,13,06/01/2011
NEG,15,07/01/2011
NEG,15,08/01/2011
NEG,19,09/01/2011
NEG,17,10/01/2011
NEG,18,11/01/2011
NEG,14,12/01/2011
NEG,14,01/01/2012
NEG,12,02/01/2012
NEG,12,03/01/2012
NEG,13,04/01/2012
NEG,19,05/01/2012
NEG,14,06/01/2012
NEG,14,07/01/2012
NEG,21,08/01/2012
NEG,19,09/01/2012
NEG,23,10/01/2012
NEG,28,11/01/2012
NEG,6,12/01/2012
