key,value,date
POS,0,12/01/2007
POS,3,09/01/2008
POS,7,10/01/2008
POS,2,11/01/2008
POS,3,12/01/2008
POS,4,01/01/2009
POS,4,02/01/2009
POS,5,03/01/2009
POS,4,04/01/2009
POS,4,05/01/2009
POS,9,06/01/2009
POS,12,07/01/2009
POS,6,08/01/2009
POS,6,09/01/2009
POS,6,10/01/2009
POS,6,11/01/2009
POS,9,12/01/2009
POS,4,01/01/2010
POS,8,02/01/2010
POS,9,03/01/2010
POS,9,04/01/2010
POS,15,05/01/2010
POS,11,06/01/2010
POS,18,07/01/2010
POS,16,08/01/2010
POS,29,09/01/2010
POS,11,10/01/2010
POS,19,11/01/2010
POS,14,12/01/2010
POS,22,01/01/2011
POS,18,02/01/2011
POS,20,03/01/2011
POS,12,04/01/2011
POS,11,05/01/2011
POS,22,06/01/2011
POS,22,07/01/2011
POS,27,08/01/2011
POS,16,09/01/2011
POS,19,10/01/2011
POS,12,11/01/2011
POS,24,12/01/2011
POS,20,01/01/2012
POS,12,02/01/2012
POS,25,03/01/2012
POS,13,04/01/2012
POS,15,05/01/2012
POS,11,06/01/2012
POS,16,07/01/2012
POS,14,08/01/2012
POS,15,09/01/2012
POS,11,10/01/2012
POS,21,11/01/2012
POS,7,12/01/2012
NEG,1,12/01/2007
NEG,2,09/01/2008
NEG,3,10/01/2008
NEG,1,11/01/2008
NEG,0,12/01/2008
NEG,3,01/01/2009
NEG,0,02/01/2009
NEG,0,03/01/2009
NEG,1,04/01/2009
NEG,0,05/01/2009
NEG,2,06/01/2009
NEG,1,07/01/2009
NEG,2,08/01/2009
NEG,4,09/01/2009
NEG,3,10/01/2009
NEG,0,11/01/2009
NEG,3,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,4,03/01/2010
NEG,1,04/01/2010
NEG,4,05/01/2010
NEG,1,06/01/2010
NEG,2,07/01/2010
NEG,4,08/01/2010
NEG,6,09/01/2010
NEG,3,10/01/2010
NEG,1,11/01/2010
NEG,2,12/01/2010
NEG,4,01/01/2011
NEG,3,02/01/2011
NEG,2,03/01/2011
NEG,3,04/01/2011
NEG,3,05/01/2011
NEG,1,06/01/2011
NEG,1,07/01/2011
NEG,2,08/01/2011
NEG,1,09/01/2011
NEG,2,10/01/2011
NEG,4,11/01/2011
NEG,3,12/01/2011
NEG,3,01/01/2012
NEG,2,02/01/2012
NEG,8,03/01/2012
NEG,2,04/01/2012
NEG,5,05/01/2012
NEG,3,06/01/2012
NEG,3,07/01/2012
NEG,7,08/01/2012
NEG,4,09/01/2012
NEG,4,10/01/2012
NEG,2,11/01/2012
NEG,4,12/01/2012
