label,count,month
POS,1,08/01/2002
POS,1,02/01/2003
POS,1,03/01/2003
POS,2,04/01/2003
POS,1,06/01/2003
POS,2,07/01/2003
POS,4,08/01/2003
POS,1,09/01/2003
POS,5,10/01/2003
POS,2,11/01/2003
POS,1,12/01/2003
POS,4,01/01/2004
POS,2,02/01/2004
POS,5,03/01/2004
POS,3,04/01/2004
POS,4,05/01/2004
POS,10,06/01/2004
POS,11,07/01/2004
POS,9,08/01/2004
POS,9,09/01/2004
POS,8,10/01/2004
POS,5,11/01/2004
POS,8,12/01/2004
POS,13,01/01/2005
POS,3,02/01/2005
POS,8,03/01/2005
POS,10,04/01/2005
POS,8,05/01/2005
POS,7,06/01/2005
POS,5,07/01/2005
POS,10,08/01/2005
POS,7,09/01/2005
POS,4,10/01/2005
POS,6,11/01/2005
POS,7,12/01/2005
POS,17,01/01/2006
POS,8,02/01/2006
POS,15,03/01/2006
POS,11,04/01/2006
POS,14,05/01/2006
POS,8,06/01/2006
POS,8,07/01/2006
POS,11,08/01/2006
POS,4,09/01/2006
POS,10,10/01/2006
POS,9,11/01/2006
POS,3,12/01/2006
POS,11,01/01/2007
POS,8,02/01/2007
POS,8,03/01/2007
POS,11,04/01/2007
POS,5,05/01/2007
POS,16,06/01/2007
POS,12,07/01/2007
POS,17,08/01/2007
POS,15,09/01/2007
POS,10,10/01/2007
POS,13,11/01/2007
POS,15,12/01/2007
POS,13,01/01/2008
POS,12,02/01/2008
POS,17,03/01/2008
POS,13,04/01/2008
POS,17,05/01/2008
POS,13,06/01/2008
POS,23,07/01/2008
POS,12,08/01/2008
POS,7,09/01/2008
POS,12,10/01/2008
POS,10,11/01/2008
POS,6,12/01/2008
POS,8,01/01/2009
POS,15,02/01/2009
POS,13,03/01/2009
POS,11,04/01/2009
POS,6,05/01/2009
POS,25,06/01/2009
POS,18,07/01/2009
POS,22,08/01/2009
POS,11,09/01/2009
POS,20,10/01/2009
POS,17,11/01/2009
POS,6,12/01/2009
POS,12,01/01/2010
POS,19,02/01/2010
POS,15,03/01/2010
POS,17,04/01/2010
POS,17,05/01/2010
POS,13,06/01/2010
POS,28,07/01/2010
POS,27,08/01/2010
POS,22,09/01/2010
POS,27,10/01/2010
POS,27,11/01/2010
POS,21,12/01/2010
POS,15,01/01/2011
POS,16,02/01/2011
POS,17,03/01/2011
POS,19,04/01/2011
POS,21,05/01/2011
POS,43,06/01/2011
POS,55,07/01/2011
POS,58,08/01/2011
POS,61,09/01/2011
POS,55,10/01/2011
POS,58,11/01/2011
POS,43,12/01/2011
POS,69,01/01/2012
POS,48,02/01/2012
POS,47,03/01/2012
POS,52,04/01/2012
POS,57,05/01/2012
POS,83,06/01/2012
POS,98,07/01/2012
POS,77,08/01/2012
POS,58,09/01/2012
POS,87,10/01/2012
POS,65,11/01/2012
POS,44,12/01/2012
NEG,0,08/01/2002
NEG,0,02/01/2003
NEG,0,03/01/2003
NEG,0,04/01/2003
NEG,0,06/01/2003
NEG,1,07/01/2003
NEG,4,08/01/2003
NEG,0,09/01/2003
NEG,1,10/01/2003
NEG,2,11/01/2003
NEG,1,12/01/2003
NEG,2,01/01/2004
NEG,0,02/01/2004
NEG,2,03/01/2004
NEG,1,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,1,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,1,12/01/2004
NEG,3,01/01/2005
NEG,2,02/01/2005
NEG,2,03/01/2005
NEG,1,04/01/2005
NEG,2,05/01/2005
NEG,0,06/01/2005
