label,count,month
POS,0,08/01/2002
POS,1,12/01/2002
POS,1,08/01/2003
POS,1,10/01/2003
POS,7,01/01/2004
POS,6,02/01/2004
POS,10,03/01/2004
POS,6,04/01/2004
POS,5,05/01/2004
POS,7,06/01/2004
POS,5,07/01/2004
POS,9,08/01/2004
POS,4,09/01/2004
POS,6,10/01/2004
POS,3,11/01/2004
POS,5,12/01/2004
POS,9,01/01/2005
POS,5,02/01/2005
POS,4,03/01/2005
POS,9,04/01/2005
POS,5,05/01/2005
POS,2,06/01/2005
POS,6,07/01/2005
POS,1,08/01/2005
POS,3,09/01/2005
POS,6,10/01/2005
POS,7,11/01/2005
POS,2,12/01/2005
POS,8,01/01/2006
POS,9,02/01/2006
POS,16,03/01/2006
POS,11,04/01/2006
POS,11,05/01/2006
POS,4,06/01/2006
POS,3,07/01/2006
POS,9,08/01/2006
POS,7,09/01/2006
POS,9,10/01/2006
POS,6,11/01/2006
POS,7,12/01/2006
POS,7,01/01/2007
POS,9,02/01/2007
POS,10,03/01/2007
POS,16,04/01/2007
POS,6,05/01/2007
POS,10,06/01/2007
POS,10,07/01/2007
POS,5,08/01/2007
POS,3,09/01/2007
POS,8,10/01/2007
POS,17,11/01/2007
POS,9,12/01/2007
POS,16,01/01/2008
POS,15,02/01/2008
POS,14,03/01/2008
POS,11,04/01/2008
POS,12,05/01/2008
POS,7,06/01/2008
POS,9,07/01/2008
POS,9,08/01/2008
POS,12,09/01/2008
POS,12,10/01/2008
POS,5,11/01/2008
POS,8,12/01/2008
POS,8,01/01/2009
POS,10,02/01/2009
POS,6,03/01/2009
POS,13,04/01/2009
POS,14,05/01/2009
POS,8,06/01/2009
POS,17,07/01/2009
POS,12,08/01/2009
POS,15,09/01/2009
POS,20,10/01/2009
POS,12,11/01/2009
POS,5,12/01/2009
POS,18,01/01/2010
POS,14,02/01/2010
POS,18,03/01/2010
POS,12,04/01/2010
POS,19,05/01/2010
POS,16,06/01/2010
POS,14,07/01/2010
POS,13,08/01/2010
POS,18,09/01/2010
POS,17,10/01/2010
POS,20,11/01/2010
POS,23,12/01/2010
POS,22,01/01/2011
POS,31,02/01/2011
POS,22,03/01/2011
POS,20,04/01/2011
POS,24,05/01/2011
POS,35,06/01/2011
POS,36,07/01/2011
POS,34,08/01/2011
POS,41,09/01/2011
POS,36,10/01/2011
POS,37,11/01/2011
POS,35,12/01/2011
POS,42,01/01/2012
POS,47,02/01/2012
POS,39,03/01/2012
POS,45,04/01/2012
POS,36,05/01/2012
POS,41,06/01/2012
POS,51,07/01/2012
POS,44,08/01/2012
POS,43,09/01/2012
POS,38,10/01/2012
POS,33,11/01/2012
POS,24,12/01/2012
NEG,1,08/01/2002
NEG,0,12/01/2002
NEG,0,08/01/2003
NEG,0,10/01/2003
NEG,1,01/01/2004
NEG,0,02/01/2004
NEG,0,03/01/2004
NEG,0,04/01/2004
NEG,2,05/01/2004
NEG,0,06/01/2004
NEG,1,07/01/2004
NEG,0,08/01/2004
NEG,0,09/01/2004
NEG,1,10/01/2004
NEG,0,11/01/2004
NEG,1,12/01/2004
NEG,1,01/01/2005
NEG,1,02/01/2005
NEG,0,03/01/2005
NEG,0,04/01/2005
NEG,0,05/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,1,08/01/2005
NEG,0,09/01/2005
NEG,0,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,1,01/01/2006
NEG,0,02/01/2006
NEG,1,03/01/2006
NEG,2,04/01/2006
NEG,0,05/01/2006
NEG,1,06/01/2006
NEG,1,07/01/2006
NEG,2,08/01/2006
NEG,6,09/01/2006
NEG,3,10/01/2006
NEG,2,11/01/2006
NEG,2,12/01/2006
NEG,0,01/01/2007
NEG,3,02/01/2007
NEG,1,03/01/2007
NEG,2,04/01/2007
NEG,2,05/01/2007
NEG,1,06/01/2007
NEG,4,07/01/2007
NEG,1,08/01/2007
NEG,3,09/01/2007
NEG,4,10/01/2007
NEG,4,11/01/2007
NEG,4,12/01/2007
NEG,6,01/01/2008
NEG,9,02/01/2008
NEG,3,03/01/2008
NEG,12,04/01/2008
NEG,12,05/01/2008
NEG,1,06/01/2008
NEG,5,07/01/2008
NEG,6,08/01/2008
NEG,6,09/01/2008
