key,value,date
POS,0,06/01/2008
POS,0,09/01/2009
POS,6,10/01/2009
POS,7,11/01/2009
POS,8,12/01/2009
POS,35,01/01/2010
POS,52,02/01/2010
POS,51,03/01/2010
POS,23,04/01/2010
POS,22,05/01/2010
POS,35,06/01/2010
POS,49,07/01/2010
POS,35,08/01/2010
POS,22,09/01/2010
POS,36,10/01/2010
POS,28,11/01/2010
POS,35,12/01/2010
POS,44,01/01/2011
POS,25,02/01/2011
POS,31,03/01/2011
POS,25,04/01/2011
POS,30,05/01/2011
POS,45,06/01/2011
POS,43,07/01/2011
POS,52,08/01/2011
POS,34,09/01/2011
POS,40,10/01/2011
POS,34,11/01/2011
POS,39,12/01/2011
POS,59,01/01/2012
POS,47,02/01/2012
POS,46,03/01/2012
POS,57,04/01/2012
POS,48,05/01/2012
POS,48,06/01/2012
POS,81,07/01/2012
POS,48,08/01/2012
POS,34,09/01/2012
POS,28,10/01/2012
POS,29,11/01/2012
POS,14,12/01/2012
NEG,1,06/01/2008
NEG,2,09/01/2009
NEG,7,10/01/2009
NEG,3,11/01/2009
NEG,10,12/01/2009
NEG,11,01/01/2010
NEG,18,02/01/2010
NEG,9,03/01/2010
NEG,11,04/01/2010
NEG,21,05/01/2010
NEG,16,06/01/2010
NEG,18,07/01/2010
NEG,18,08/01/2010
NEG,22,09/01/2010
NEG,20,10/01/2010
NEG,25,11/01/2010
NEG,29,12/01/2010
NEG,23,01/01/2011
NEG,14,02/01/2011
NEG,18,03/01/2011
NEG,22,04/01/2011
NEG,16,05/01/2011
NEG,15,06/01/2011
NEG,23,07/01/2011
NEG,28,08/01/2011
NEG,21,09/01/2011
NEG,38,10/01/2011
NEG,42,11/01/2011
NEG,25,12/01/2011
NEG,31,01/01/2012
NEG,28,02/01/2012
NEG,32,03/01/2012
NEG,21,04/01/2012
NEG,26,05/01/2012
NEG,23,06/01/2012
NEG,27,07/01/2012
NEG,34,08/01/2012
NEG,26,09/01/2012
NEG,30,10/01/2012
NEG,30,11/01/2012
NEG,14,12/01/2012
