label,count,month
POS,0,08/01/2002
POS,1,09/01/2002
POS,1,10/01/2002
POS,1,01/01/2003
POS,1,02/01/2003
POS,1,04/01/2003
POS,2,05/01/2003
POS,3,06/01/2003
POS,3,07/01/2003
POS,5,08/01/2003
POS,2,09/01/2003
POS,1,10/01/2003
POS,2,11/01/2003
POS,2,12/01/2003
POS,3,01/01/2004
POS,1,02/01/2004
POS,7,03/01/2004
POS,6,04/01/2004
POS,3,05/01/2004
POS,9,06/01/2004
POS,7,07/01/2004
POS,5,08/01/2004
POS,8,09/01/2004
POS,8,10/01/2004
POS,3,11/01/2004
POS,6,12/01/2004
POS,18,01/01/2005
POS,5,02/01/2005
POS,7,03/01/2005
POS,7,04/01/2005
POS,7,05/01/2005
POS,10,06/01/2005
POS,9,07/01/2005
POS,8,08/01/2005
POS,4,09/01/2005
POS,12,10/01/2005
POS,8,11/01/2005
POS,5,12/01/2005
POS,14,01/01/2006
POS,15,02/01/2006
POS,8,03/01/2006
POS,6,04/01/2006
POS,10,05/01/2006
POS,6,06/01/2006
POS,8,07/01/2006
POS,6,08/01/2006
POS,11,09/01/2006
POS,6,10/01/2006
POS,9,11/01/2006
POS,11,12/01/2006
POS,19,01/01/2007
POS,15,02/01/2007
POS,6,03/01/2007
POS,21,04/01/2007
POS,9,05/01/2007
POS,12,06/01/2007
POS,8,07/01/2007
POS,8,08/01/2007
POS,8,09/01/2007
POS,12,10/01/2007
POS,10,11/01/2007
POS,10,12/01/2007
POS,15,01/01/2008
POS,13,02/01/2008
POS,18,03/01/2008
POS,18,04/01/2008
POS,30,05/01/2008
POS,15,06/01/2008
POS,14,07/01/2008
POS,10,08/01/2008
POS,14,09/01/2008
POS,15,10/01/2008
POS,8,11/01/2008
POS,12,12/01/2008
POS,21,01/01/2009
POS,21,02/01/2009
POS,18,03/01/2009
POS,23,04/01/2009
POS,24,05/01/2009
POS,13,06/01/2009
POS,15,07/01/2009
POS,13,08/01/2009
POS,23,09/01/2009
POS,17,10/01/2009
POS,28,11/01/2009
POS,22,12/01/2009
POS,33,01/01/2010
POS,17,02/01/2010
POS,26,03/01/2010
POS,24,04/01/2010
POS,18,05/01/2010
POS,20,06/01/2010
POS,15,07/01/2010
POS,19,08/01/2010
