key,value,date
POS,1,08/01/2002
POS,1,11/01/2002
POS,0,05/01/2003
POS,1,06/01/2003
POS,1,07/01/2003
POS,0,09/01/2003
POS,3,10/01/2003
POS,0,12/01/2003
POS,1,01/01/2004
POS,1,03/01/2004
POS,2,05/01/2004
POS,1,06/01/2004
POS,1,07/01/2004
POS,1,08/01/2004
POS,1,10/01/2004
POS,2,11/01/2004
POS,4,12/01/2004
POS,1,01/01/2005
POS,1,02/01/2005
POS,2,03/01/2005
POS,0,04/01/2005
POS,2,05/01/2005
POS,0,06/01/2005
POS,2,07/01/2005
POS,1,08/01/2005
POS,1,09/01/2005
POS,0,10/01/2005
POS,3,11/01/2005
POS,3,12/01/2005
POS,4,01/01/2006
POS,2,03/01/2006
POS,6,04/01/2006
POS,2,05/01/2006
POS,3,06/01/2006
POS,4,07/01/2006
POS,3,08/01/2006
POS,8,09/01/2006
POS,6,10/01/2006
POS,6,11/01/2006
POS,4,12/01/2006
POS,3,01/01/2007
POS,6,02/01/2007
POS,13,03/01/2007
POS,17,04/01/2007
POS,19,05/01/2007
POS,16,06/01/2007
POS,23,07/01/2007
POS,19,08/01/2007
POS,24,09/01/2007
POS,21,10/01/2007
POS,31,11/01/2007
POS,24,12/01/2007
POS,25,01/01/2008
POS,16,02/01/2008
POS,28,03/01/2008
POS,26,04/01/2008
POS,23,05/01/2008
POS,21,06/01/2008
POS,24,07/01/2008
POS,27,08/01/2008
POS,20,09/01/2008
POS,21,10/01/2008
POS,17,11/01/2008
POS,19,12/01/2008
POS,28,01/01/2009
POS,12,02/01/2009
POS,14,03/01/2009
POS,14,04/01/2009
POS,19,05/01/2009
POS,20,06/01/2009
POS,13,07/01/2009
POS,21,08/01/2009
POS,15,09/01/2009
POS,20,10/01/2009
POS,24,11/01/2009
POS,24,12/01/2009
POS,19,01/01/2010
POS,18,02/01/2010
POS,12,03/01/2010
POS,15,04/01/2010
POS,15,05/01/2010
POS,19,06/01/2010
POS,18,07/01/2010
POS,23,08/01/2010
POS,23,09/01/2010
POS,23,10/01/2010
POS,15,11/01/2010
POS,15,12/01/2010
POS,17,01/01/2011
POS,12,02/01/2011
POS,18,03/01/2011
POS,23,04/01/2011
POS,24,05/01/2011
POS,25,06/01/2011
POS,31,07/01/2011
POS,37,08/01/2011
POS,41,09/01/2011
POS,38,10/01/2011
POS,25,11/01/2011
POS,27,12/01/2011
POS,29,01/01/2012
POS,25,02/01/2012
POS,33,03/01/2012
POS,33,04/01/2012
POS,30,05/01/2012
POS,26,06/01/2012
POS,33,07/01/2012
POS,34,08/01/2012
POS,31,09/01/2012
POS,37,10/01/2012
POS,36,11/01/2012
POS,19,12/01/2012
NEG,0,08/01/2002
NEG,0,11/01/2002
NEG,1,05/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,1,09/01/2003
NEG,0,10/01/2003
NEG,1,12/01/2003
NEG,0,01/01/2004
NEG,1,03/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,2,08/01/2004
NEG,2,10/01/2004
NEG,0,11/01/2004
NEG,1,12/01/2004
NEG,1,01/01/2005
NEG,0,02/01/2005
NEG,0,03/01/2005
NEG,1,04/01/2005
NEG,1,05/01/2005
NEG,3,06/01/2005
NEG,0,07/01/2005
NEG,2,08/01/2005
NEG,0,09/01/2005
NEG,2,10/01/2005
NEG,4,11/01/2005
NEG,0,12/01/2005
NEG,1,01/01/2006
NEG,2,03/01/2006
NEG,2,04/01/2006
NEG,4,05/01/2006
NEG,0,06/01/2006
NEG,2,07/01/2006
NEG,2,08/01/2006
NEG,3,09/01/2006
NEG,3,10/01/2006
NEG,2,11/01/2006
NEG,3,12/01/2006
NEG,1,01/01/2007
NEG,0,02/01/2007
NEG,2,03/01/2007
NEG,3,04/01/2007
NEG,9,05/01/2007
NEG,4,06/01/2007
NEG,4,07/01/2007
NEG,7,08/01/2007
NEG,6,09/01/2007
NEG,9,10/01/2007
NEG,5,11/01/2007
NEG,10,12/01/2007
NEG,5,01/01/2008
NEG,6,02/01/2008
NEG,2,03/01/2008
NEG,12,04/01/2008
NEG,16,05/01/2008
NEG,14,06/01/2008
NEG,4,07/01/2008
NEG,19,08/01/2008
NEG,12,09/01/2008
NEG,13,10/01/2008
NEG,10,11/01/2008
NEG,10,12/01/2008
NEG,19,01/01/2009
NEG,10,02/01/2009
NEG,11,03/01/2009
NEG,14,04/01/2009
NEG,15,05/01/2009
NEG,10,06/01/2009
NEG,9,07/01/2009
NEG,19,08/01/2009
NEG,15,09/01/2009
NEG,14,10/01/2009
NEG,15,11/01/2009
NEG,4,12/01/2009
NEG,11,01/01/2010
NEG,14,02/01/2010
NEG,3,03/01/2010
NEG,13,04/01/2010
NEG,13,05/01/2010
NEG,15,06/01/2010
NEG,12,07/01/2010
NEG,19,08/01/2010
NEG,22,09/01/2010
NEG,24,10/01/2010
NEG,18,11/01/2010
NEG,15,12/01/2010
NEG,14,01/01/2011
