label,count,month
POS,2,04/01/2006
POS,2,05/01/2006
POS,5,06/01/2006
POS,2,07/01/2006
POS,3,08/01/2006
POS,2,09/01/2006
POS,1,10/01/2006
POS,2,11/01/2006
POS,4,12/01/2006
POS,4,01/01/2007
POS,3,02/01/2007
POS,5,03/01/2007
POS,7,04/01/2007
POS,3,05/01/2007
POS,4,06/01/2007
POS,2,07/01/2007
POS,2,08/01/2007
POS,4,09/01/2007
POS,3,10/01/2007
POS,8,11/01/2007
POS,7,12/01/2007
POS,7,01/01/2008
POS,4,02/01/2008
POS,13,03/01/2008
POS,15,04/01/2008
POS,16,05/01/2008
POS,7,06/01/2008
POS,6,07/01/2008
POS,9,08/01/2008
POS,6,09/01/2008
POS,6,10/01/2008
POS,4,11/01/2008
POS,8,12/01/2008
POS,4,01/01/2009
POS,3,02/01/2009
POS,5,03/01/2009
POS,3,04/01/2009
POS,6,05/01/2009
POS,9,06/01/2009
POS,7,07/01/2009
POS,11,08/01/2009
POS,8,09/01/2009
POS,8,10/01/2009
POS,6,11/01/2009
POS,7,12/01/2009
POS,3,01/01/2010
POS,5,02/01/2010
POS,3,03/01/2010
POS,8,04/01/2010
POS,6,05/01/2010
POS,11,06/01/2010
POS,8,07/01/2010
POS,7,08/01/2010
POS,8,09/01/2010
POS,15,10/01/2010
POS,4,11/01/2010
POS,7,12/01/2010
POS,8,01/01/2011
POS,6,02/01/2011
POS,3,03/01/2011
POS,7,04/01/2011
POS,8,05/01/2011
POS,15,06/01/2011
POS,9,07/01/2011
POS,10,08/01/2011
POS,16,09/01/2011
POS,22,10/01/2011
POS,19,11/01/2011
POS,15,12/01/2011
POS,14,01/01/2012
POS,17,02/01/2012
POS,11,03/01/2012
POS,11,04/01/2012
POS,4,05/01/2012
POS,16,06/01/2012
POS,11,07/01/2012
POS,11,08/01/2012
POS,16,09/01/2012
POS,11,10/01/2012
POS,14,11/01/2012
POS,4,12/01/2012
NEG,0,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,3,07/01/2006
NEG,2,08/01/2006
NEG,3,09/01/2006
NEG,4,10/01/2006
NEG,1,11/01/2006
NEG,2,12/01/2006
NEG,2,01/01/2007
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,2,04/01/2007
NEG,3,05/01/2007
NEG,3,06/01/2007
NEG,3,07/01/2007
NEG,5,08/01/2007
NEG,4,09/01/2007
NEG,2,10/01/2007
NEG,3,11/01/2007
NEG,4,12/01/2007
NEG,12,01/01/2008
NEG,4,02/01/2008
NEG,13,03/01/2008
NEG,7,04/01/2008
NEG,14,05/01/2008
NEG,10,06/01/2008
NEG,6,07/01/2008
NEG,8,08/01/2008
NEG,6,09/01/2008
NEG,5,10/01/2008
NEG,3,11/01/2008
NEG,3,12/01/2008
NEG,5,01/01/2009
NEG,2,02/01/2009
NEG,2,03/01/2009
NEG,9,04/01/2009
NEG,7,05/01/2009
NEG,7,06/01/2009
NEG,4,07/01/2009
NEG,5,08/01/2009
NEG,10,09/01/2009
NEG,4,10/01/2009
NEG,4,11/01/2009
NEG,4,12/01/2009
NEG,4,01/01/2010
NEG,3,02/01/2010
NEG,3,03/01/2010
NEG,3,04/01/2010
NEG,10,05/01/2010
NEG,8,06/01/2010
NEG,4,07/01/2010
NEG,4,08/01/2010
NEG,2,09/01/2010
NEG,8,10/01/2010
NEG,4,11/01/2010
NEG,4,12/01/2010
NEG,6,01/01/2011
NEG,2,02/01/2011
NEG,1,03/01/2011
NEG,6,04/01/2011
NEG,7,05/01/2011
NEG,6,06/01/2011
NEG,7,07/01/2011
NEG,9,08/01/2011
NEG,6,09/01/2011
NEG,7,10/01/2011
NEG,3,11/01/2011
NEG,4,12/01/2011
NEG,8,01/01/2012
NEG,3,02/01/2012
NEG,9,03/01/2012
NEG,5,04/01/2012
NEG,2,05/01/2012
NEG,5,06/01/2012
NEG,6,07/01/2012
NEG,7,08/01/2012
NEG,9,09/01/2012
NEG,8,10/01/2012
NEG,7,11/01/2012
NEG,4,12/01/2012
