key,value,date
POS,1,09/01/2007
POS,0,07/01/2008
POS,1,02/01/2009
POS,1,04/01/2009
POS,5,05/01/2009
POS,1,06/01/2009
POS,4,07/01/2009
POS,10,08/01/2009
POS,5,09/01/2009
POS,5,10/01/2009
POS,5,11/01/2009
POS,5,12/01/2009
POS,7,01/01/2010
POS,4,02/01/2010
POS,5,03/01/2010
POS,6,04/01/2010
POS,7,05/01/2010
POS,4,06/01/2010
POS,6,07/01/2010
POS,4,08/01/2010
POS,1,09/01/2010
POS,7,10/01/2010
POS,5,11/01/2010
POS,6,12/01/2010
POS,3,01/01/2011
POS,3,02/01/2011
POS,2,03/01/2011
POS,4,04/01/2011
POS,1,05/01/2011
POS,8,06/01/2011
POS,15,07/01/2011
POS,14,08/01/2011
POS,7,09/01/2011
POS,9,10/01/2011
POS,9,11/01/2011
POS,8,12/01/2011
POS,19,01/01/2012
POS,8,02/01/2012
POS,6,03/01/2012
POS,13,04/01/2012
POS,11,05/01/2012
POS,12,06/01/2012
POS,6,07/01/2012
POS,13,08/01/2012
POS,14,09/01/2012
POS,11,10/01/2012
POS,7,11/01/2012
POS,4,12/01/2012
NEG,0,09/01/2007
NEG,2,07/01/2008
NEG,0,02/01/2009
NEG,1,04/01/2009
NEG,4,05/01/2009
NEG,2,06/01/2009
NEG,3,07/01/2009
NEG,0,08/01/2009
NEG,1,09/01/2009
NEG,4,10/01/2009
NEG,3,11/01/2009
NEG,3,12/01/2009
NEG,2,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,2,05/01/2010
NEG,0,06/01/2010
NEG,0,07/01/2010
NEG,2,08/01/2010
NEG,0,09/01/2010
NEG,2,10/01/2010
NEG,0,11/01/2010
NEG,0,12/01/2010
NEG,3,01/01/2011
NEG,3,02/01/2011
NEG,1,03/01/2011
NEG,1,04/01/2011
NEG,0,05/01/2011
NEG,1,06/01/2011
NEG,1,07/01/2011
NEG,1,08/01/2011
NEG,3,09/01/2011
NEG,2,10/01/2011
NEG,4,11/01/2011
NEG,1,12/01/2011
NEG,3,01/01/2012
NEG,1,02/01/2012
NEG,3,03/01/2012
NEG,5,04/01/2012
NEG,4,05/01/2012
NEG,0,06/01/2012
NEG,3,07/01/2012
NEG,1,08/01/2012
NEG,3,09/01/2012
NEG,3,10/01/2012
NEG,3,11/01/2012
NEG,1,12/01/2012
