key,value,date
POS,1,02/01/2005
POS,5,03/01/2005
POS,9,04/01/2005
POS,4,05/01/2005
POS,5,06/01/2005
POS,7,07/01/2005
POS,3,08/01/2005
POS,11,09/01/2005
POS,12,10/01/2005
POS,18,11/01/2005
POS,6,12/01/2005
POS,13,01/01/2006
POS,3,02/01/2006
POS,4,03/01/2006
POS,5,04/01/2006
POS,7,05/01/2006
POS,6,06/01/2006
POS,5,07/01/2006
POS,5,08/01/2006
POS,5,09/01/2006
POS,3,10/01/2006
POS,3,11/01/2006
POS,4,01/01/2007
POS,2,02/01/2007
POS,6,03/01/2007
POS,2,04/01/2007
POS,4,05/01/2007
POS,1,06/01/2007
POS,7,07/01/2007
POS,5,08/01/2007
POS,3,09/01/2007
POS,1,10/01/2007
POS,1,11/01/2007
POS,4,12/01/2007
POS,1,01/01/2008
POS,3,02/01/2008
POS,6,03/01/2008
POS,6,04/01/2008
POS,3,05/01/2008
POS,3,06/01/2008
POS,6,07/01/2008
POS,11,08/01/2008
POS,10,09/01/2008
POS,8,10/01/2008
POS,6,11/01/2008
POS,19,12/01/2008
POS,12,01/01/2009
POS,20,02/01/2009
POS,24,03/01/2009
POS,14,04/01/2009
POS,15,05/01/2009
POS,18,06/01/2009
POS,16,07/01/2009
POS,18,08/01/2009
POS,20,09/01/2009
POS,19,10/01/2009
POS,15,11/01/2009
POS,12,12/01/2009
POS,28,01/01/2010
POS,11,02/01/2010
POS,15,03/01/2010
POS,14,04/01/2010
POS,18,05/01/2010
POS,4,06/01/2010
POS,11,07/01/2010
POS,8,08/01/2010
POS,7,09/01/2010
POS,9,10/01/2010
POS,10,11/01/2010
POS,12,12/01/2010
POS,13,01/01/2011
POS,11,02/01/2011
POS,19,03/01/2011
POS,12,04/01/2011
POS,8,05/01/2011
POS,11,06/01/2011
POS,9,07/01/2011
POS,17,08/01/2011
POS,10,09/01/2011
POS,12,10/01/2011
POS,12,11/01/2011
POS,11,12/01/2011
POS,14,01/01/2012
POS,11,02/01/2012
POS,13,03/01/2012
POS,17,04/01/2012
POS,15,05/01/2012
POS,14,06/01/2012
POS,17,07/01/2012
POS,9,08/01/2012
POS,13,09/01/2012
POS,15,10/01/2012
POS,21,11/01/2012
POS,14,12/01/2012
NEG,0,02/01/2005
NEG,0,03/01/2005
NEG,0,04/01/2005
NEG,1,05/01/2005
NEG,2,06/01/2005
NEG,0,07/01/2005
NEG,0,08/01/2005
NEG,1,09/01/2005
NEG,1,10/01/2005
NEG,1,11/01/2005
NEG,1,12/01/2005
NEG,3,01/01/2006
NEG,1,02/01/2006
NEG,0,03/01/2006
NEG,2,04/01/2006
NEG,0,05/01/2006
NEG,0,06/01/2006
NEG,1,07/01/2006
NEG,0,08/01/2006
NEG,0,09/01/2006
NEG,3,10/01/2006
NEG,0,11/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,2,04/01/2007
NEG,0,05/01/2007
NEG,0,06/01/2007
NEG,2,07/01/2007
NEG,1,08/01/2007
NEG,0,09/01/2007
NEG,0,10/01/2007
NEG,0,11/01/2007
NEG,2,12/01/2007
NEG,1,01/01/2008
NEG,0,02/01/2008
NEG,1,03/01/2008
NEG,5,04/01/2008
NEG,6,05/01/2008
NEG,1,06/01/2008
NEG,1,07/01/2008
NEG,2,08/01/2008
NEG,2,09/01/2008
NEG,2,10/01/2008
NEG,4,11/01/2008
NEG,4,12/01/2008
NEG,6,01/01/2009
NEG,5,02/01/2009
NEG,7,03/01/2009
NEG,9,04/01/2009
NEG,4,05/01/2009
NEG,2,06/01/2009
NEG,6,07/01/2009
NEG,5,08/01/2009
NEG,9,09/01/2009
NEG,8,10/01/2009
NEG,7,11/01/2009
NEG,10,12/01/2009
NEG,11,01/01/2010
NEG,9,02/01/2010
NEG,9,03/01/2010
NEG,7,04/01/2010
NEG,7,05/01/2010
NEG,9,06/01/2010
NEG,7,07/01/2010
NEG,10,08/01/2010
NEG,3,09/01/2010
NEG,9,10/01/2010
NEG,3,11/01/2010
NEG,2,12/01/2010
NEG,7,01/01/2011
NEG,5,02/01/2011
NEG,8,03/01/2011
NEG,6,04/01/2011
NEG,7,05/01/2011
NEG,12,06/01/2011
NEG,11,07/01/2011
NEG,11,08/01/2011
NEG,9,09/01/2011
NEG,10,10/01/2011
NEG,12,11/01/2011
NEG,9,12/01/2011
NEG,8,01/01/2012
NEG,10,02/01/2012
NEG,18,03/01/2012
NEG,14,04/01/2012
NEG,7,05/01/2012
NEG,7,06/01/2012
NEG,15,07/01/2012
NEG,10,08/01/2012
NEG,11,09/01/2012
NEG,11,10/01/2012
NEG,12,11/01/2012
NEG,6,12/01/2012
