label,count,month
POS,1,10/01/2007
POS,2,12/01/2007
POS,8,01/01/2008
POS,3,02/01/2008
POS,3,03/01/2008
POS,3,04/01/2008
POS,7,05/01/2008
POS,5,06/01/2008
POS,9,07/01/2008
POS,3,08/01/2008
POS,4,09/01/2008
POS,3,10/01/2008
POS,2,11/01/2008
POS,6,12/01/2008
POS,9,01/01/2009
POS,1,02/01/2009
POS,5,03/01/2009
POS,14,04/01/2009
POS,1,05/01/2009
POS,5,06/01/2009
POS,9,07/01/2009
POS,9,08/01/2009
POS,10,09/01/2009
POS,7,10/01/2009
POS,4,11/01/2009
POS,12,12/01/2009
POS,10,01/01/2010
POS,13,02/01/2010
POS,16,03/01/2010
POS,10,04/01/2010
POS,8,05/01/2010
POS,10,06/01/2010
POS,8,07/01/2010
POS,12,08/01/2010
POS,19,09/01/2010
POS,14,10/01/2010
POS,12,11/01/2010
POS,14,12/01/2010
POS,23,01/01/2011
POS,13,02/01/2011
POS,12,03/01/2011
POS,6,04/01/2011
POS,10,05/01/2011
POS,6,06/01/2011
POS,21,07/01/2011
POS,11,08/01/2011
POS,17,09/01/2011
POS,12,10/01/2011
POS,20,11/01/2011
POS,15,12/01/2011
POS,20,01/01/2012
POS,19,02/01/2012
POS,16,03/01/2012
POS,28,04/01/2012
POS,24,05/01/2012
POS,22,06/01/2012
POS,24,07/01/2012
POS,29,08/01/2012
POS,18,09/01/2012
POS,22,10/01/2012
POS,22,11/01/2012
POS,12,12/01/2012
NEG,0,10/01/2007
NEG,1,12/01/2007
NEG,0,01/01/2008
NEG,1,02/01/2008
NEG,2,03/01/2008
NEG,2,04/01/2008
NEG,0,05/01/2008
NEG,0,06/01/2008
NEG,1,07/01/2008
NEG,3,08/01/2008
NEG,4,09/01/2008
NEG,2,10/01/2008
NEG,0,11/01/2008
NEG,2,12/01/2008
NEG,0,01/01/2009
NEG,1,02/01/2009
NEG,3,03/01/2009
NEG,1,04/01/2009
NEG,4,05/01/2009
NEG,0,06/01/2009
NEG,2,07/01/2009
NEG,1,08/01/2009
NEG,1,09/01/2009
NEG,2,10/01/2009
NEG,3,11/01/2009
NEG,1,12/01/2009
NEG,3,01/01/2010
NEG,2,02/01/2010
NEG,2,03/01/2010
NEG,3,04/01/2010
NEG,0,05/01/2010
NEG,4,06/01/2010
NEG,2,07/01/2010
NEG,6,08/01/2010
NEG,8,09/01/2010
NEG,1,10/01/2010
NEG,4,11/01/2010
NEG,3,12/01/2010
NEG,1,01/01/2011
NEG,1,02/01/2011
NEG,4,03/01/2011
NEG,0,04/01/2011
NEG,2,05/01/2011
NEG,3,06/01/2011
NEG,3,07/01/2011
NEG,8,08/01/2011
NEG,6,09/01/2011
NEG,1,10/01/2011
NEG,5,11/01/2011
NEG,5,12/01/2011
NEG,7,01/01/2012
NEG,1,02/01/2012
NEG,2,03/01/2012
NEG,1,04/01/2012
NEG,3,05/01/2012
NEG,0,06/01/2012
NEG,4,07/01/2012
NEG,5,08/01/2012
NEG,5,09/01/2012
NEG,6,10/01/2012
NEG,3,11/01/2012
NEG,1,12/01/2012
