key,value,date
POS,1,07/01/2002
POS,1,12/01/2002
POS,1,03/01/2003
POS,2,04/01/2003
POS,1,06/01/2003
POS,1,08/01/2003
POS,2,09/01/2003
POS,0,10/01/2003
POS,2,12/01/2003
POS,4,01/01/2004
POS,6,02/01/2004
POS,5,03/01/2004
POS,3,04/01/2004
POS,3,05/01/2004
POS,7,06/01/2004
POS,6,07/01/2004
POS,4,08/01/2004
POS,7,09/01/2004
POS,7,10/01/2004
POS,5,11/01/2004
POS,4,12/01/2004
POS,4,01/01/2005
POS,6,02/01/2005
POS,7,03/01/2005
POS,11,04/01/2005
POS,8,05/01/2005
POS,7,06/01/2005
POS,10,07/01/2005
POS,11,08/01/2005
POS,3,09/01/2005
POS,11,10/01/2005
POS,7,11/01/2005
POS,7,12/01/2005
POS,5,01/01/2006
POS,6,02/01/2006
POS,8,03/01/2006
POS,7,04/01/2006
POS,9,05/01/2006
POS,6,06/01/2006
POS,15,07/01/2006
POS,7,08/01/2006
POS,9,09/01/2006
POS,9,10/01/2006
POS,10,11/01/2006
POS,5,12/01/2006
POS,9,01/01/2007
POS,10,02/01/2007
POS,20,03/01/2007
POS,16,04/01/2007
POS,12,05/01/2007
POS,6,06/01/2007
POS,11,07/01/2007
POS,19,08/01/2007
POS,21,09/01/2007
POS,19,10/01/2007
POS,10,11/01/2007
POS,16,12/01/2007
POS,22,01/01/2008
POS,20,02/01/2008
POS,17,03/01/2008
POS,22,04/01/2008
POS,20,05/01/2008
POS,19,06/01/2008
POS,16,07/01/2008
POS,24,08/01/2008
POS,13,09/01/2008
POS,17,10/01/2008
POS,24,11/01/2008
POS,13,12/01/2008
POS,16,01/01/2009
POS,16,02/01/2009
POS,22,03/01/2009
POS,29,04/01/2009
POS,32,05/01/2009
POS,22,06/01/2009
POS,30,07/01/2009
POS,24,08/01/2009
POS,32,09/01/2009
POS,32,10/01/2009
POS,22,11/01/2009
POS,14,12/01/2009
POS,23,01/01/2010
POS,27,02/01/2010
POS,26,03/01/2010
POS,26,04/01/2010
POS,17,05/01/2010
POS,25,06/01/2010
POS,21,07/01/2010
POS,21,08/01/2010
POS,20,09/01/2010
POS,17,10/01/2010
POS,24,11/01/2010
POS,13,12/01/2010
POS,15,01/01/2011
POS,21,02/01/2011
POS,22,03/01/2011
POS,14,04/01/2011
POS,20,05/01/2011
POS,18,06/01/2011
POS,33,07/01/2011
POS,33,08/01/2011
POS,28,09/01/2011
POS,34,10/01/2011
POS,33,11/01/2011
POS,33,12/01/2011
POS,26,01/01/2012
POS,32,02/01/2012
POS,25,03/01/2012
POS,23,04/01/2012
POS,23,05/01/2012
POS,19,06/01/2012
POS,34,07/01/2012
POS,24,08/01/2012
POS,30,09/01/2012
POS,22,10/01/2012
POS,19,11/01/2012
POS,13,12/01/2012
NEG,0,07/01/2002
NEG,0,12/01/2002
NEG,0,03/01/2003
NEG,0,04/01/2003
NEG,0,06/01/2003
NEG,1,08/01/2003
NEG,0,09/01/2003
NEG,1,10/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
NEG,0,02/01/2004
NEG,1,03/01/2004
NEG,0,04/01/2004
NEG,0,05/01/2004
NEG,0,06/01/2004
NEG,1,07/01/2004
NEG,2,08/01/2004
NEG,0,09/01/2004
NEG,0,10/01/2004
NEG,0,11/01/2004
NEG,0,12/01/2004
NEG,0,01/01/2005
NEG,0,02/01/2005
NEG,1,03/01/2005
NEG,0,04/01/2005
NEG,2,05/01/2005
NEG,0,06/01/2005
NEG,0,07/01/2005
NEG,2,08/01/2005
NEG,0,09/01/2005
NEG,3,10/01/2005
NEG,0,11/01/2005
NEG,0,12/01/2005
NEG,0,01/01/2006
NEG,0,02/01/2006
NEG,1,03/01/2006
NEG,1,04/01/2006
NEG,3,05/01/2006
NEG,3,06/01/2006
NEG,1,07/01/2006
NEG,0,08/01/2006
NEG,3,09/01/2006
NEG,3,10/01/2006
NEG,2,11/01/2006
NEG,0,12/01/2006
NEG,2,01/01/2007
NEG,1,02/01/2007
NEG,3,03/01/2007
NEG,3,04/01/2007
NEG,2,05/01/2007
NEG,2,06/01/2007
NEG,2,07/01/2007
NEG,4,08/01/2007
NEG,4,09/01/2007
NEG,4,10/01/2007
NEG,3,11/01/2007
NEG,5,12/01/2007
NEG,7,01/01/2008
NEG,11,02/01/2008
NEG,14,03/01/2008
NEG,19,04/01/2008
NEG,21,05/01/2008
NEG,11,06/01/2008
NEG,8,07/01/2008
NEG,24,08/01/2008
NEG,23,09/01/2008
NEG,22,10/01/2008
NEG,9,11/01/2008
NEG,9,12/01/2008
NEG,19,01/01/2009
NEG,10,02/01/2009
NEG,19,03/01/2009
NEG,32,04/01/2009
NEG,24,05/01/2009
NEG,20,06/01/2009
NEG,18,07/01/2009
NEG,33,08/01/2009
NEG,29,09/01/2009
NEG,23,10/01/2009
NEG,7,11/01/2009
NEG,3,12/01/2009
NEG,9,01/01/2010
NEG,9,02/01/2010
NEG,9,03/01/2010
NEG,15,04/01/2010
NEG,21,05/01/2010
NEG,24,06/01/2010
NEG,8,07/01/2010
NEG,27,08/01/2010
NEG,23,09/01/2010
NEG,15,10/01/2010
NEG,4,11/01/2010
NEG,6,12/01/2010
NEG,11,01/01/2011
NEG,7,02/01/2011
NEG,14,03/01/2011
NEG,12,04/01/2011
NEG,21,05/01/2011
NEG,14,06/01/2011
NEG,18,07/01/2011
NEG,39,08/01/2011
NEG,23,09/01/2011
NEG,30,10/01/2011
NEG,23,11/01/2011
NEG,11,12/01/2011
NEG,25,01/01/2012
NEG,24,02/01/2012
NEG,15,03/01/2012
NEG,15,04/01/2012
NEG,6,05/01/2012
NEG,5,06/01/2012
NEG,11,07/01/2012
NEG,8,08/01/2012
NEG,10,09/01/2012
NEG,12,10/01/2012
NEG,8,11/01/2012
NEG,2,12/01/2012
