label,count,month
POS,1,05/01/2011
POS,11,06/01/2011
POS,12,07/01/2011
POS,34,08/01/2011
POS,27,09/01/2011
POS,28,10/01/2011
POS,35,11/01/2011
POS,29,12/01/2011
POS,37,01/01/2012
POS,33,02/01/2012
POS,56,03/01/2012
POS,56,04/01/2012
POS,50,05/01/2012
POS,48,06/01/2012
POS,45,07/01/2012
POS,52,08/01/2012
POS,49,09/01/2012
POS,38,10/01/2012
POS,34,11/01/2012
POS,25,12/01/2012
NEG,1,05/01/2011
NEG,2,06/01/2011
NEG,4,07/01/2011
NEG,4,08/01/2011
NEG,3,09/01/2011
NEG,7,10/01/2011
NEG,3,11/01/2011
NEG,7,12/01/2011
NEG,5,01/01/2012
NEG,4,02/01/2012
NEG,7,03/01/2012
NEG,7,04/01/2012
NEG,5,05/01/2012
NEG,4,06/01/2012
NEG,6,07/01/2012
NEG,11,08/01/2012
NEG,9,09/01/2012
NEG,10,10/01/2012
NEG,5,11/01/2012
NEG,4,12/01/2012
