key,value,date
POS,1,07/01/2007
POS,0,09/01/2007
POS,0,06/01/2009
POS,0,10/01/2009
POS,0,01/01/2011
POS,0,08/01/2011
POS,1,10/01/2011
POS,0,01/01/2012
POS,1,06/01/2012
POS,45,07/01/2012
POS,40,08/01/2012
POS,51,09/01/2012
POS,38,10/01/2012
POS,69,11/01/2012
POS,47,12/01/2012
NEG,0,07/01/2007
NEG,2,09/01/2007
NEG,1,06/01/2009
NEG,1,10/01/2009
NEG,1,01/01/2011
NEG,1,08/01/2011
NEG,0,10/01/2011
NEG,1,01/01/2012
NEG,1,06/01/2012
NEG,17,07/01/2012
NEG,17,08/01/2012
NEG,20,09/01/2012
NEG,26,10/01/2012
NEG,29,11/01/2012
NEG,11,12/01/2012
