key,value,date
POS,4,10/01/2010
POS,12,11/01/2010
POS,20,12/01/2010
POS,8,01/01/2011
POS,8,02/01/2011
POS,14,03/01/2011
POS,14,04/01/2011
POS,18,05/01/2011
POS,14,06/01/2011
POS,19,07/01/2011
POS,27,08/01/2011
POS,24,09/01/2011
POS,13,10/01/2011
POS,15,11/01/2011
POS,17,12/01/2011
POS,31,01/01/2012
POS,23,02/01/2012
POS,21,03/01/2012
POS,14,04/01/2012
POS,15,05/01/2012
POS,20,06/01/2012
POS,18,07/01/2012
POS,16,08/01/2012
POS,14,09/01/2012
POS,16,10/01/2012
POS,17,11/01/2012
POS,10,12/01/2012
NEG,0,10/01/2010
NEG,6,11/01/2010
NEG,1,12/01/2010
NEG,5,01/01/2011
NEG,3,02/01/2011
NEG,1,03/01/2011
NEG,3,04/01/2011
NEG,3,05/01/2011
NEG,4,06/01/2011
NEG,3,07/01/2011
NEG,11,08/01/2011
NEG,9,09/01/2011
NEG,3,10/01/2011
NEG,6,11/01/2011
NEG,2,12/01/2011
NEG,5,01/01/2012
NEG,3,02/01/2012
NEG,4,03/01/2012
NEG,0,04/01/2012
NEG,5,05/01/2012
NEG,4,06/01/2012
NEG,9,07/01/2012
NEG,7,08/01/2012
NEG,12,09/01/2012
NEG,3,10/01/2012
NEG,2,11/01/2012
NEG,3,12/01/2012
