key,value,date
POS,1,01/01/2003
POS,2,03/01/2003
POS,2,04/01/2003
POS,4,05/01/2003
POS,3,06/01/2003
POS,5,07/01/2003
POS,5,08/01/2003
POS,4,09/01/2003
POS,3,10/01/2003
POS,4,11/01/2003
POS,4,12/01/2003
POS,6,01/01/2004
POS,6,02/01/2004
POS,7,03/01/2004
POS,7,04/01/2004
POS,11,05/01/2004
POS,8,06/01/2004
POS,15,07/01/2004
POS,12,08/01/2004
POS,10,09/01/2004
POS,9,10/01/2004
POS,10,11/01/2004
POS,7,12/01/2004
POS,15,01/01/2005
POS,10,02/01/2005
POS,16,03/01/2005
POS,22,04/01/2005
POS,11,05/01/2005
POS,12,06/01/2005
POS,14,07/01/2005
POS,16,08/01/2005
POS,16,09/01/2005
POS,15,10/01/2005
POS,23,11/01/2005
POS,13,12/01/2005
POS,21,01/01/2006
POS,20,02/01/2006
POS,18,03/01/2006
POS,25,04/01/2006
POS,24,05/01/2006
POS,10,06/01/2006
POS,27,07/01/2006
POS,20,08/01/2006
POS,12,09/01/2006
POS,24,10/01/2006
POS,19,11/01/2006
POS,12,12/01/2006
POS,18,01/01/2007
POS,24,02/01/2007
POS,30,03/01/2007
POS,34,04/01/2007
POS,16,05/01/2007
POS,19,06/01/2007
POS,32,07/01/2007
POS,23,08/01/2007
POS,19,09/01/2007
POS,18,10/01/2007
POS,17,11/01/2007
POS,22,12/01/2007
POS,26,01/01/2008
POS,22,02/01/2008
POS,23,03/01/2008
POS,26,04/01/2008
POS,16,05/01/2008
POS,15,06/01/2008
POS,15,07/01/2008
POS,20,08/01/2008
POS,20,09/01/2008
POS,16,10/01/2008
POS,18,11/01/2008
POS,13,12/01/2008
POS,21,01/01/2009
POS,13,02/01/2009
POS,10,03/01/2009
POS,11,04/01/2009
POS,19,05/01/2009
POS,25,06/01/2009
POS,27,07/01/2009
POS,19,08/01/2009
POS,19,09/01/2009
POS,24,10/01/2009
POS,15,11/01/2009
POS,19,12/01/2009
POS,22,01/01/2010
POS,28,02/01/2010
POS,34,03/01/2010
POS,19,04/01/2010
POS,26,05/01/2010
POS,22,06/01/2010
POS,23,07/01/2010
POS,22,08/01/2010
POS,18,09/01/2010
POS,22,10/01/2010
POS,22,11/01/2010
POS,22,12/01/2010
POS,29,01/01/2011
POS,25,02/01/2011
POS,19,03/01/2011
POS,23,04/01/2011
POS,24,05/01/2011
POS,27,06/01/2011
POS,46,07/01/2011
POS,43,08/01/2011
POS,35,09/01/2011
POS,37,10/01/2011
POS,32,11/01/2011
POS,37,12/01/2011
POS,45,01/01/2012
POS,31,02/01/2012
POS,46,03/01/2012
POS,30,04/01/2012
POS,27,05/01/2012
POS,39,06/01/2012
POS,32,07/01/2012
POS,41,08/01/2012
POS,35,09/01/2012
POS,33,10/01/2012
POS,38,11/01/2012
POS,18,12/01/2012
NEG,0,01/01/2003
NEG,0,03/01/2003
NEG,0,04/01/2003
NEG,0,05/01/2003
NEG,0,06/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,0,09/01/2003
NEG,1,10/01/2003
NEG,0,11/01/2003
NEG,0,12/01/2003
NEG,0,01/01/2004
