label,count,month
POS,0,07/01/2009
POS,3,04/01/2010
POS,5,05/01/2010
POS,11,06/01/2010
POS,2,07/01/2010
POS,9,08/01/2010
POS,5,09/01/2010
POS,10,10/01/2010
POS,6,11/01/2010
POS,4,12/01/2010
POS,10,01/01/2011
POS,7,02/01/2011
POS,8,03/01/2011
POS,14,04/01/2011
POS,10,05/01/2011
POS,15,06/01/2011
POS,11,07/01/2011
POS,13,08/01/2011
POS,8,09/01/2011
POS,9,10/01/2011
POS,15,11/01/2011
POS,18,12/01/2011
POS,10,01/01/2012
POS,9,02/01/2012
POS,14,03/01/2012
POS,21,04/01/2012
POS,20,05/01/2012
POS,21,06/01/2012
POS,20,07/01/2012
POS,28,08/01/2012
POS,9,09/01/2012
POS,20,10/01/2012
POS,14,11/01/2012
POS,9,12/01/2012
NEG,1,07/01/2009
NEG,2,04/01/2010
NEG,1,05/01/2010
NEG,1,06/01/2010
NEG,0,07/01/2010
NEG,2,08/01/2010
NEG,2,09/01/2010
NEG,4,10/01/2010
NEG,0,11/01/2010
NEG,3,12/01/2010
NEG,1,01/01/2011
NEG,1,02/01/2011
NEG,3,03/01/2011
NEG,1,04/01/2011
NEG,5,05/01/2011
NEG,1,06/01/2011
NEG,1,07/01/2011
NEG,6,08/01/2011
NEG,2,09/01/2011
NEG,2,10/01/2011
NEG,3,11/01/2011
NEG,2,12/01/2011
NEG,5,01/01/2012
NEG,1,02/01/2012
NEG,3,03/01/2012
NEG,3,04/01/2012
NEG,4,05/01/2012
NEG,3,06/01/2012
NEG,4,07/01/2012
NEG,6,08/01/2012
NEG,1,09/01/2012
NEG,3,10/01/2012
NEG,10,11/01/2012
NEG,5,12/01/2012
