key,value,date
POS,1,07/01/2008
POS,3,09/01/2008
POS,3,10/01/2008
POS,1,11/01/2008
POS,3,12/01/2008
POS,11,01/01/2009
POS,7,02/01/2009
POS,8,03/01/2009
POS,11,04/01/2009
POS,11,05/01/2009
POS,6,06/01/2009
POS,10,07/01/2009
POS,7,08/01/2009
POS,9,09/01/2009
POS,9,10/01/2009
POS,4,11/01/2009
POS,8,12/01/2009
POS,4,01/01/2010
POS,1,02/01/2010
POS,6,03/01/2010
POS,5,04/01/2010
POS,7,05/01/2010
POS,4,06/01/2010
POS,7,07/01/2010
POS,5,08/01/2010
POS,7,09/01/2010
POS,3,10/01/2010
POS,5,11/01/2010
POS,6,12/01/2010
POS,8,01/01/2011
POS,11,02/01/2011
POS,14,03/01/2011
POS,15,04/01/2011
POS,10,05/01/2011
POS,13,06/01/2011
POS,20,07/01/2011
POS,12,08/01/2011
POS,15,09/01/2011
POS,14,10/01/2011
POS,9,11/01/2011
POS,5,12/01/2011
POS,20,01/01/2012
POS,18,02/01/2012
POS,11,03/01/2012
POS,15,04/01/2012
POS,16,05/01/2012
POS,14,06/01/2012
POS,19,07/01/2012
POS,11,08/01/2012
POS,22,09/01/2012
POS,12,10/01/2012
POS,15,11/01/2012
POS,9,12/01/2012
NEG,0,07/01/2008
NEG,3,09/01/2008
NEG,2,10/01/2008
NEG,3,11/01/2008
NEG,1,12/01/2008
NEG,11,01/01/2009
NEG,5,02/01/2009
NEG,5,03/01/2009
NEG,9,04/01/2009
NEG,11,05/01/2009
NEG,5,06/01/2009
NEG,6,07/01/2009
NEG,8,08/01/2009
NEG,8,09/01/2009
NEG,9,10/01/2009
NEG,8,11/01/2009
NEG,4,12/01/2009
NEG,4,01/01/2010
NEG,2,02/01/2010
NEG,1,03/01/2010
NEG,3,04/01/2010
NEG,4,05/01/2010
NEG,8,06/01/2010
NEG,2,07/01/2010
NEG,4,08/01/2010
NEG,4,09/01/2010
NEG,7,10/01/2010
NEG,4,11/01/2010
NEG,3,12/01/2010
NEG,9,01/01/2011
NEG,5,02/01/2011
NEG,5,03/01/2011
NEG,6,04/01/2011
NEG,3,05/01/2011
NEG,5,06/01/2011
NEG,4,07/01/2011
NEG,9,08/01/2011
NEG,11,09/01/2011
NEG,15,10/01/2011
NEG,10,11/01/2011
NEG,7,12/01/2011
NEG,9,01/01/2012
NEG,8,02/01/2012
NEG,4,03/01/2012
NEG,9,04/01/2012
NEG,10,05/01/2012
NEG,9,06/01/2012
NEG,7,07/01/2012
NEG,12,08/01/2012
NEG,10,09/01/2012
NEG,14,10/01/2012
NEG,13,11/01/2012
NEG,10,12/01/2012
