label,count,month
POS,17,04/01/2010
POS,29,05/01/2010
POS,38,06/01/2010
POS,17,07/01/2010
POS,36,08/01/2010
POS,26,09/01/2010
POS,55,10/01/2010
POS,34,11/01/2010
POS,37,12/01/2010
POS,34,01/01/2011
POS,43,02/01/2011
POS,40,03/01/2011
POS,43,04/01/2011
POS,41,05/01/2011
POS,56,06/01/2011
POS,42,07/01/2011
POS,62,08/01/2011
POS,72,09/01/2011
POS,55,10/01/2011
POS,63,11/01/2011
POS,41,12/01/2011
POS,64,01/01/2012
POS,64,02/01/2012
POS,66,03/01/2012
POS,61,04/01/2012
POS,55,05/01/2012
POS,50,06/01/2012
POS,66,07/01/2012
POS,74,08/01/2012
POS,55,09/01/2012
POS,58,10/01/2012
POS,47,11/01/2012
POS,23,12/01/2012
NEG,2,04/01/2010
NEG,6,05/01/2010
NEG,2,06/01/2010
NEG,2,07/01/2010
NEG,1,08/01/2010
NEG,7,09/01/2010
NEG,5,10/01/2010
NEG,7,11/01/2010
NEG,7,12/01/2010
NEG,9,01/01/2011
NEG,6,02/01/2011
NEG,11,03/01/2011
NEG,14,04/01/2011
NEG,16,05/01/2011
NEG,10,06/01/2011
NEG,11,07/01/2011
NEG,23,08/01/2011
NEG,9,09/01/2011
NEG,19,10/01/2011
NEG,12,11/01/2011
NEG,12,12/01/2011
NEG,16,01/01/2012
NEG,20,02/01/2012
NEG,17,03/01/2012
NEG,16,04/01/2012
NEG,11,05/01/2012
NEG,11,06/01/2012
NEG,11,07/01/2012
NEG,17,08/01/2012
NEG,11,09/01/2012
NEG,17,10/01/2012
NEG,9,11/01/2012
NEG,2,12/01/2012
