label,count,month
POS,2,04/01/2002
POS,1,08/01/2002
POS,1,11/01/2002
POS,1,12/01/2002
POS,4,01/01/2003
POS,1,02/01/2003
POS,3,03/01/2003
POS,2,04/01/2003
POS,4,05/01/2003
POS,5,06/01/2003
POS,12,07/01/2003
POS,14,08/01/2003
POS,10,09/01/2003
POS,14,10/01/2003
POS,8,11/01/2003
POS,13,12/01/2003
POS,10,01/01/2004
POS,10,02/01/2004
POS,11,03/01/2004
POS,10,04/01/2004
POS,10,05/01/2004
POS,15,06/01/2004
POS,11,07/01/2004
POS,12,08/01/2004
POS,8,09/01/2004
POS,19,10/01/2004
POS,13,11/01/2004
POS,10,12/01/2004
POS,17,01/01/2005
POS,20,02/01/2005
POS,17,03/01/2005
POS,18,04/01/2005
POS,26,05/01/2005
POS,22,06/01/2005
POS,22,07/01/2005
POS,23,08/01/2005
POS,19,09/01/2005
POS,19,10/01/2005
POS,15,11/01/2005
POS,15,12/01/2005
POS,22,01/01/2006
POS,10,02/01/2006
POS,26,03/01/2006
POS,15,04/01/2006
POS,14,05/01/2006
POS,11,06/01/2006
POS,14,07/01/2006
POS,8,08/01/2006
POS,17,09/01/2006
POS,11,10/01/2006
POS,15,11/01/2006
POS,9,12/01/2006
POS,10,01/01/2007
POS,12,02/01/2007
POS,15,03/01/2007
POS,14,04/01/2007
POS,18,05/01/2007
POS,9,06/01/2007
POS,22,07/01/2007
POS,13,08/01/2007
POS,14,09/01/2007
POS,10,10/01/2007
POS,18,11/01/2007
POS,13,12/01/2007
POS,12,01/01/2008
POS,13,02/01/2008
POS,19,03/01/2008
POS,11,04/01/2008
POS,17,05/01/2008
POS,17,06/01/2008
POS,12,07/01/2008
POS,21,08/01/2008
POS,22,09/01/2008
POS,20,10/01/2008
POS,2,11/01/2008
POS,7,12/01/2008
POS,11,01/01/2009
POS,14,02/01/2009
POS,15,03/01/2009
POS,11,04/01/2009
POS,14,05/01/2009
POS,11,06/01/2009
POS,12,07/01/2009
POS,8,08/01/2009
POS,22,09/01/2009
POS,23,10/01/2009
POS,12,11/01/2009
POS,17,12/01/2009
POS,19,01/01/2010
POS,12,02/01/2010
POS,20,03/01/2010
POS,20,04/01/2010
POS,22,05/01/2010
POS,20,06/01/2010
POS,22,07/01/2010
POS,22,08/01/2010
POS,17,09/01/2010
POS,16,10/01/2010
POS,19,11/01/2010
POS,27,12/01/2010
POS,17,01/01/2011
POS,17,02/01/2011
POS,18,03/01/2011
POS,25,04/01/2011
POS,23,05/01/2011
POS,25,06/01/2011
POS,26,07/01/2011
POS,43,08/01/2011
POS,36,09/01/2011
POS,24,10/01/2011
POS,31,11/01/2011
POS,36,12/01/2011
POS,27,01/01/2012
POS,31,02/01/2012
POS,29,03/01/2012
POS,25,04/01/2012
POS,17,05/01/2012
POS,28,06/01/2012
POS,34,07/01/2012
POS,29,08/01/2012
POS,31,09/01/2012
POS,34,10/01/2012
POS,32,11/01/2012
POS,17,12/01/2012
NEG,0,04/01/2002
NEG,0,08/01/2002
NEG,0,11/01/2002
NEG,0,12/01/2002
NEG,1,01/01/2003
NEG,0,02/01/2003
NEG,0,03/01/2003
NEG,1,04/01/2003
NEG,1,05/01/2003
NEG,1,06/01/2003
NEG,0,07/01/2003
NEG,0,08/01/2003
NEG,1,09/01/2003
NEG,0,10/01/2003
NEG,2,11/01/2003
NEG,1,12/01/2003
NEG,3,01/01/2004
NEG,2,02/01/2004
NEG,0,03/01/2004
NEG,1,04/01/2004
NEG,2,05/01/2004
NEG,0,06/01/2004
NEG,0,07/01/2004
NEG,0,08/01/2004
NEG,2,09/01/2004
NEG,1,10/01/2004
NEG,3,11/01/2004
NEG,0,12/01/2004
