key,value,date
POS,0,07/01/2007
POS,1,09/01/2007
POS,0,12/01/2007
POS,1,01/01/2008
POS,1,04/01/2008
POS,4,01/01/2011
POS,8,02/01/2011
POS,5,03/01/2011
POS,15,04/01/2011
POS,10,05/01/2011
POS,14,06/01/2011
POS,8,07/01/2011
POS,8,08/01/2011
POS,11,09/01/2011
POS,19,10/01/2011
POS,13,11/01/2011
POS,8,12/01/2011
POS,11,01/01/2012
POS,12,02/01/2012
POS,20,03/01/2012
POS,14,04/01/2012
POS,15,05/01/2012
POS,21,06/01/2012
POS,11,07/01/2012
POS,18,08/01/2012
POS,13,09/01/2012
POS,9,10/01/2012
POS,26,11/01/2012
POS,17,12/01/2012
NEG,1,07/01/2007
NEG,1,09/01/2007
NEG,2,12/01/2007
NEG,0,01/01/2008
NEG,0,04/01/2008
NEG,4,01/01/2011
NEG,0,02/01/2011
NEG,10,03/01/2011
NEG,4,04/01/2011
NEG,15,05/01/2011
NEG,6,06/01/2011
NEG,9,07/01/2011
NEG,12,08/01/2011
NEG,7,09/01/2011
NEG,8,10/01/2011
NEG,7,11/01/2011
NEG,7,12/01/2011
NEG,8,01/01/2012
NEG,4,02/01/2012
NEG,4,03/01/2012
NEG,8,04/01/2012
NEG,7,05/01/2012
NEG,4,06/01/2012
NEG,5,07/01/2012
NEG,7,08/01/2012
NEG,9,09/01/2012
NEG,4,10/01/2012
NEG,7,11/01/2012
NEG,3,12/01/2012
